"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",395746,395746,695236,"Species","Acanthephyra acanthitelsonis","Spence Bate, 1888",240809,1,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra acanthitelsonis","Malacostraca",NA,NA,NA,NA,"Amazonia"
"2",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,2,1,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,NA,"Amazonia"
"3",396214,396214,737105,"Genus","Acanthurus","Forsskål, 1775",125908,1,1,"Chordata","Perciformes","Acanthuridae","Acanthurus",NA,"Actinopteri",NA,NA,NA,NA,"Amazonia"
"4",396675,396675,396662,"Species","Achnanthes brevipes","C.Agardh, 1824",149387,2,2,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes brevipes","Bacillariophyceae",NA,NA,NA,NA,"Amazonia"
"5",396745,396745,396662,"Species","Achnanthes parvula","Kützing, 1844",149193,1,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes parvula","Bacillariophyceae",NA,NA,NA,NA,"Amazonia"
"6",396867,396867,779142,"Family","Acmaeidae","Forbes, 1850",114,1,1,"Mollusca",NA,"Acmaeidae",NA,NA,"Gastropoda",NA,NA,NA,NA,"Amazonia"
"7",396961,396961,695290,"Species","Acrocalanus longicornis","Giesbrecht, 1888",104646,1,1,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus longicornis",NA,NA,NA,NA,NA,"Amazonia"
"8",397893,397893,849984,"Species","Actinocyclus curvatulus","Janisch, 1874",345847,12,1,"Ochrophyta","Coscinodiscales","Hemidiscaceae","Actinocyclus","Actinocyclus curvatulus","Bacillariophyceae",NA,NA,NA,NA,"Amazonia"
"9",398083,398083,398029,"Species","Actinoptychus senarius","(Ehrenberg) Ehrenberg, 1843",148948,24,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus senarius","Bacillariophyceae",NA,NA,NA,NA,"Amazonia"
"10",398085,398085,398029,"Species","Actinoptychus splendens","(Shadbolt) Ralfs ex Pritchard, 1861",148949,3,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus splendens","Bacillariophyceae",NA,NA,NA,NA,"Amazonia"
"11",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",117851,7,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Aglaura hemistoma","Hydrozoa",NA,NA,NA,NA,"Amazonia"
"12",399068,399068,775631,"Species","Aidanosagitta regularis","(Aida, 1897)",266712,2,1,"Chaetognatha","Aphragmophora","Sagittidae","Aidanosagitta","Aidanosagitta regularis","Sagittoidea",NA,NA,NA,NA,"Amazonia"
