"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",395866,395866,769187,"Genus","Acanthochondria","Oakley, 1930",128615,1,1,"Arthropoda","Poecilostomatoida","Chondracanthidae","Acanthochondria",NA,NA,NA,NA,NA,NA,"Araucanian"
"2",396211,396211,768835,"Species","Acanthotrochus mirabilis","Danielssen & Koren, 1881",124440,1,1,"Echinodermata","Apodida","Myriotrochidae","Acanthotrochus","Acanthotrochus mirabilis","Holothuroidea",NA,NA,NA,NA,"Araucanian"
"3",398203,398203,776115,"Species","Aculeola nigra","de Buen, 1959",279502,4,2,"Chordata","Squaliformes","Etmopteridae","Aculeola","Aculeola nigra","Elasmobranchii",TRUE,"DD",NA,NA,"Araucanian"
"4",398635,398635,398634,"Genus","Aetideopsis","Sars G.O., 1903",104111,3,1,"Arthropoda","Calanoida","Aetideidae","Aetideopsis",NA,NA,NA,NA,NA,NA,"Araucanian"
"5",398644,398644,398634,"Genus","Aetideus","Brady, 1883",104112,7,1,"Arthropoda","Calanoida","Aetideidae","Aetideus",NA,NA,NA,NA,NA,NA,"Araucanian"
"6",398647,398647,398644,"Species","Aetideus armatus","(Boeck, 1872)",104275,34,1,"Arthropoda","Calanoida","Aetideidae","Aetideus","Aetideus armatus",NA,NA,NA,NA,NA,"Araucanian"
"7",398873,398873,598231,"Species","Aglaophamus macroura","(Schmarda, 1861)",173673,3,1,"Annelida","Phyllodocida","Nephtyidae","Aglaophamus","Aglaophamus macroura","Polychaeta",NA,NA,NA,NA,"Araucanian"
"8",399118,399118,775756,"Species","Aiptasiomorpha elongata","Carlgren, 1951",289373,2,2,"Cnidaria","Actiniaria","Aiptasiomorphidae","Aiptasiomorpha","Aiptasiomorpha elongata","Anthozoa",NA,NA,NA,NA,"Araucanian"
"9",399710,399710,477492,"Genus","Alluroteuthis","Odhner, 1923",325301,1,1,"Mollusca","Oegopsida","Neoteuthidae","Alluroteuthis",NA,"Cephalopoda",NA,NA,NA,NA,"Araucanian"
"10",400237,400237,737817,"Species","Amallothrix valida","(Farran, 1908)",220858,1,1,"Arthropoda","Calanoida","Scolecitrichidae","Amallothrix","Amallothrix valida",NA,NA,NA,NA,NA,"Araucanian"
