"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"1",395764,395764,695236,"Species","Acanthephyra pelagica","(Risso, 1816)",107581,13,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","Malacostraca",NA,NA,NA,"Baffin Bay - Davis Strait"
"2",396199,396199,596574,"Species","Acanthostepheia malmgreni","(Goës, 1866)",102864,17,1,"Arthropoda","Amphipoda","Oedicerotidae","Acanthostepheia","Acanthostepheia malmgreni","Malacostraca",NA,NA,NA,"Baffin Bay - Davis Strait"
"3",398285,398285,768217,"Species","Adercotryma glomerata","(Brady, 1878)",113837,3,1,"Foraminifera","Lituolida","Adercotrymidae","Adercotryma","Adercotryma glomerata","Globothalamea",NA,NA,NA,"Baffin Bay - Davis Strait"
"4",398391,398391,737450,"Genus","Aega","Leach, 1815",118394,8,1,"Arthropoda","Isopoda","Aegidae","Aega",NA,"Malacostraca",NA,NA,NA,"Baffin Bay - Davis Strait"
"5",398461,398461,698934,"Family","Aeginidae","Gegenbaur, 1857",16846,1,1,"Cnidaria","Narcomedusae","Aeginidae",NA,NA,"Hydrozoa",NA,NA,NA,"Baffin Bay - Davis Strait"
"6",399275,399275,769788,"Species","Alca torda","Linnaeus, 1758",137128,3,1,"Chordata","Charadriiformes","Alcidae","Alca","Alca torda","Aves",TRUE,"LC",NA,"Baffin Bay - Davis Strait"
"7",399451,399451,737659,"Species","Alepocephalus agassizii","Goode & Bean, 1883",126681,1,1,"Chordata","Osmeriformes","Alepocephalidae","Alepocephalus","Alepocephalus agassizii","Actinopteri",NA,NA,NA,"Baffin Bay - Davis Strait"
"8",399583,399583,769789,"Species","Alle alle","(Linnaeus, 1758)",137129,3300,3,"Chordata","Charadriiformes","Alcidae","Alle","Alle alle","Aves",TRUE,"LC",NA,"Baffin Bay - Davis Strait"
"9",400505,400505,400500,"Species","Amblyraja jenseni","(Bigelow & Schroeder, 1950)",105864,1,1,"Chordata","Rajiformes","Rajidae","Amblyraja","Amblyraja jenseni","Elasmobranchii",TRUE,"LC",NA,"Baffin Bay - Davis Strait"
"10",400506,400506,400500,"Species","Amblyraja radiata","(Donovan, 1808)",105865,75,2,"Chordata","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata","Elasmobranchii",TRUE,"VU",NA,"Baffin Bay - Davis Strait"
"11",400942,400942,400925,"Species","Amphianthus margaritaceus","(Danielssen, 1890)",100941,1,1,"Cnidaria","Actiniaria","Hormathiidae","Amphianthus","Amphianthus margaritaceus","Anthozoa",NA,NA,NA,"Baffin Bay - Davis Strait"
"12",401369,401369,401367,"Species","Amphiporus angulatus","(Müller, 1774)",122645,1,1,"Nemertea","Monostilifera","Amphiporidae","Amphiporus","Amphiporus angulatus","Enopla",NA,NA,NA,"Baffin Bay - Davis Strait"
"13",401633,401633,401717,"Genus","Amphiura","Forbes, 1843",123613,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura",NA,"Ophiuroidea",NA,NA,NA,"Baffin Bay - Davis Strait"
"14",402405,402405,600649,"Species","Anarhichas denticulatus","Krøyer, 1845",126757,26,2,"Chordata","Perciformes","Anarhichadidae","Anarhichas","Anarhichas denticulatus","Actinopteri",NA,NA,NA,"Baffin Bay - Davis Strait"
"15",402406,402406,600649,"Species","Anarhichas lupus","Linnaeus, 1758",126758,8,2,"Chordata","Perciformes","Anarhichadidae","Anarhichas","Anarhichas lupus","Actinopteri",NA,NA,NA,"Baffin Bay - Davis Strait"
"16",403212,403212,781281,"Genus","Anonyx","Krøyer, 1838",101592,3,1,"Arthropoda","Amphipoda","Uristidae","Anonyx",NA,"Malacostraca",NA,NA,NA,"Baffin Bay - Davis Strait"
"17",403684,403684,771628,"Species","Antholoba achates","(Drayton in Dana, 1846)",287436,1,1,"Cnidaria","Actiniaria","Actinostolidae","Antholoba","Antholoba achates","Anthozoa",NA,NA,NA,"Baffin Bay - Davis Strait"
"18",403921,403921,738473,"Species","Antimora rostrata","(Günther, 1878)",126486,3,1,"Chordata","Gadiformes","Moridae","Antimora","Antimora rostrata","Actinopteri",NA,NA,NA,"Baffin Bay - Davis Strait"
"19",404212,404212,404208,"Species","Aphanopus carbo","Lowe, 1839",127085,1,1,"Chordata","Perciformes","Trichiuridae","Aphanopus","Aphanopus carbo","Actinopteri",NA,NA,NA,"Baffin Bay - Davis Strait"
"20",404326,404326,601831,"Species","Aphrodita hastata","Moore, 1905",157181,1,1,"Annelida","Phyllodocida","Aphroditidae","Aphrodita","Aphrodita hastata","Polychaeta",NA,NA,NA,"Baffin Bay - Davis Strait"
"21",405686,405686,405684,"Species","Arctogadus glacialis","(Peters, 1872)",126432,65,2,"Chordata","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","Actinopteri",NA,NA,NA,"Baffin Bay - Davis Strait"
"22",405878,405878,405864,"Species","Argentina silus","(Ascanius, 1775)",126715,1,1,"Chordata","Osmeriformes","Argentinidae","Argentina","Argentina silus","Actinopteri",NA,NA,NA,"Baffin Bay - Davis Strait"
"23",405890,405890,428222,"Genus","Argis","Krøyer, 1843",107006,3,1,"Arthropoda","Decapoda","Crangonidae","Argis",NA,"Malacostraca",NA,NA,NA,"Baffin Bay - Davis Strait"
"24",406448,406448,743064,"Genus","Artediellus","Jordan, 1885",126147,73,2,"Chordata","Scorpaeniformes","Cottidae","Artediellus",NA,"Actinopteri",NA,NA,NA,"Baffin Bay - Davis Strait"
"25",406449,406449,406448,"Species","Artediellus atlanticus","Jordan & Evermann, 1898",127193,173,3,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Artediellus atlanticus","Actinopteri",NA,NA,NA,"Baffin Bay - Davis Strait"
"26",406460,406460,406448,"Species","Artediellus uncinatus","(Reinhardt, 1834)",127195,17,1,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Artediellus uncinatus","Actinopteri",NA,NA,NA,"Baffin Bay - Davis Strait"
