"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",541,541,473963,"Species","Muriceides kuekenthali","(Broch, 1912)",125382,2,2,"Cnidaria","Alcyonacea","Plexauridae","Muriceides","Muriceides kuekenthali","Anthozoa",NA,NA,NA,NA,"Bahamian"
"2",395467,395467,438892,"Genus","Abralia","Gray, 1849",137930,1,1,"Mollusca","Oegopsida","Enoploteuthidae","Abralia",NA,"Cephalopoda",NA,NA,NA,NA,"Bahamian"
"3",395486,395486,438892,"Genus","Abraliopsis","Joubin, 1896",137931,1,1,"Mollusca","Oegopsida","Enoploteuthidae","Abraliopsis",NA,"Cephalopoda",NA,NA,NA,NA,"Bahamian"
"4",395571,395571,695224,"Species","Abyla trigona","Quoy & Gaimard, 1827",135402,3,1,"Cnidaria","Siphonophorae","Abylidae","Abyla","Abyla trigona","Hydrozoa",NA,NA,NA,NA,"Bahamian"
"5",395596,395596,774540,"Species","Abyssobrotula galatheae","Nielsen, 1977",236126,2,2,"Chordata","Ophidiiformes","Ophidiidae","Abyssobrotula","Abyssobrotula galatheae","Actinopteri",NA,NA,NA,NA,"Bahamian"
"6",395613,395613,736983,"Species","Abyssopathes lyriformis","Opresko, 2002",289304,1,1,"Cnidaria","Antipatharia","Schizopathidae","Abyssopathes","Abyssopathes lyriformis","Anthozoa",NA,NA,NA,NA,"Bahamian"
"7",395617,395617,774480,"Genus","Abyssothyris","Thomson, 1927",235231,2,1,"Brachiopoda","Terebratulida","Dyscoliidae","Abyssothyris",NA,"Rhynchonellata",NA,NA,NA,NA,"Bahamian"
"8",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,180,2,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",NA,NA,NA,NA,"Bahamian"
"9",395653,395653,395650,"Species","Acanella eburnea","(Pourtalès, 1868)",286299,14,2,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella eburnea","Anthozoa",NA,NA,NA,NA,"Bahamian"
"10",395657,395657,774929,"Species","Acanthacaris caeca","A. Milne-Edwards, 1881",293250,1,1,"Arthropoda","Decapoda","Nephropidae","Acanthacaris","Acanthacaris caeca","Malacostraca",TRUE,"LC",NA,NA,"Bahamian"
"11",395743,395743,395729,"Species","Acanthemblemaria spinosa","Metzelaar, 1919",254883,2,2,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria spinosa","Actinopteri",TRUE,"LC",NA,NA,"Bahamian"
"12",395754,395754,695236,"Species","Acanthephyra eximia","Smith, 1884",564909,2,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra eximia","Malacostraca",NA,NA,NA,NA,"Bahamian"
"13",395764,395764,695236,"Species","Acanthephyra pelagica","(Risso, 1816)",107581,13,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","Malacostraca",NA,NA,NA,NA,"Bahamian"
"14",395815,395815,395814,"Species","Acanthocarpus alexandri","Stimpson, 1871",158044,1,1,"Arthropoda","Decapoda","Calappidae","Acanthocarpus","Acanthocarpus alexandri","Malacostraca",NA,NA,NA,NA,"Bahamian"
"15",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,666,4,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,NA,"Bahamian"
"16",395978,395978,759725,"Genus","Acantholaimus","Allgén, 1933",2303,3,1,"Nematoda","Chromadorida","Chromadoridae","Acantholaimus",NA,"Chromadorea",NA,NA,NA,NA,"Bahamian"
