"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","hab","redlist","status","gisd","ecoregion"
"1",395409,395409,395408,"Species","Abietinaria abietina","(Linnaeus, 1758)",117870,2,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria abietina","Hydrozoa",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"2",395927,395927,395925,"Species","Acanthodoris pilosa","(Abildgaard in Müller, 1789)",140627,2,1,"Mollusca","Nudibranchia","Onchidorididae","Acanthodoris","Acanthodoris pilosa","Gastropoda",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"3",396016,396016,775539,"Species","Acantholumpenus mackayi","(Gilbert, 1896)",249703,55,2,"Chordata","Perciformes","Stichaeidae","Acantholumpenus","Acantholumpenus mackayi","Actinopteri",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"4",396197,396197,596574,"Species","Acanthostepheia behringiensis","(Lockington, 1877)",102862,14,7,"Arthropoda","Amphipoda","Oedicerotidae","Acanthostepheia","Acanthostepheia behringiensis","Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"5",396199,396199,596574,"Species","Acanthostepheia malmgreni","(Goës, 1866)",102864,36,5,"Arthropoda","Amphipoda","Oedicerotidae","Acanthostepheia","Acanthostepheia malmgreni","Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"6",396290,396290,405225,"Subclass","Acari","Leach, 1817",292684,11,1,"Arthropoda",NA,NA,NA,NA,"Arachnida",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"7",396314,396314,770838,"Species","Acartia (Acanthacartia) bifilosa","(Giesbrecht, 1881)",345919,110,4,"Arthropoda","Calanoida","Acartiidae","Acartia","Acartia (Acanthacartia) bifilosa",NA,NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"8",396326,396326,770837,"Species","Acartia (Acartiura) clausi","Giesbrecht, 1889",149755,206,4,"Arthropoda","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",NA,NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"9",396497,396497,699147,"Genus","Aceroides","Sars, 1895",101687,5,2,"Arthropoda","Amphipoda","Oedicerotidae","Aceroides",NA,"Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"10",396662,396662,770793,"Genus","Achnanthes","Bory de Saint-Vincent, 1822",149191,7,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes",NA,"Bacillariophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"11",398468,398468,398461,"Genus","Aeginopsis","Brandt, 1835",116995,4,1,"Cnidaria","Narcomedusae","Aeginidae","Aeginopsis",NA,"Hydrozoa",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"12",398634,398634,740483,"Family","Aetideidae","Giesbrecht, 1892",104075,4,4,"Arthropoda","Calanoida","Aetideidae",NA,NA,NA,NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"13",398853,398853,700249,"Genus","Aglantha","Haeckel, 1879",117212,4,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglantha",NA,"Hydrozoa",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"14",399044,399044,399042,"Species","Ahnfeltia plicata","(Hudson) E.M.Fries, 1836",144422,10,1,"Rhodophyta","Ahnfeltiales","Ahnfeltiaceae","Ahnfeltia","Ahnfeltia plicata","Florideophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"15",399214,399214,399212,"Species","Alaria esculenta","(Linnaeus) Greville, 1830",145716,13,1,"Ochrophyta","Laminariales","Alariaceae","Alaria","Alaria esculenta","Phaeophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"16",399317,399317,399316,"Genus","Alcyonidium","J.V.F.Lamouroux, 1813",110993,20,3,"Bryozoa","Ctenostomatida","Alcyonidiidae","Alcyonidium",NA,"Gymnolaemata",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"17",399326,399326,399317,"Species","Alcyonidium gelatinosum","(Hudson) J.V.Lamouroux",111600,43,2,"Bryozoa","Ctenostomatida","Alcyonidiidae","Alcyonidium","Alcyonidium gelatinosum","Gymnolaemata",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"18",399329,399329,399317,"Species","Alcyonidium mamillatum","Alder, 1857",111602,7,1,"Bryozoa","Ctenostomatida","Alcyonidiidae","Alcyonidium","Alcyonidium mamillatum","Gymnolaemata",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"19",399988,399988,771249,"Species","Altenaeum dawsoni","(Jeffreys, 1864)",152312,3,2,"Mollusca",NA,"Montacutidae","Altenaeum","Altenaeum dawsoni","Bivalvia",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"20",400170,400170,599177,"Species","Amage auricula","Malmgren, 1866",129771,10,1,"Annelida","Terebellida","Ampharetidae","Amage","Amage auricula","Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"21",400318,400318,756379,"Genus","Amauropsis","Mörch, 1857",138236,3,1,"Mollusca","Littorinimorpha","Naticidae","Amauropsis",NA,"Gastropoda",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"22",400321,400321,400318,"Species","Amauropsis islandica","(Gmelin, 1791)",140521,1,1,"Mollusca","Littorinimorpha","Naticidae","Amauropsis","Amauropsis islandica","Gastropoda",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"23",400820,400820,737935,"Species","Ampelisca eschrichtii","Krøyer, 1842",101897,5,1,"Arthropoda","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca eschrichtii","Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"24",400882,400882,628170,"Family","Ampeliscidae","Krøyer, 1842",101364,3,1,"Arthropoda","Amphipoda","Ampeliscidae",NA,NA,"Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"25",400896,400896,599696,"Species","Ampharete acutifrons","(Grube, 1860)",129775,16,3,"Annelida","Terebellida","Ampharetidae","Ampharete","Ampharete acutifrons","Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"26",400898,400898,599696,"Species","Ampharete arctica","Malmgren, 1866",159916,3,3,"Annelida","Terebellida","Ampharetidae","Ampharete","Ampharete arctica","Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"27",400901,400901,599696,"Species","Ampharete finmarchica","(M. Sars, 1865)",129778,2,1,"Annelida","Terebellida","Ampharetidae","Ampharete","Ampharete finmarchica","Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"28",400903,400903,599696,"Species","Ampharete goesi","Malmgren, 1866",129779,3,2,"Annelida","Terebellida","Ampharetidae","Ampharete","Ampharete goesi","Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"29",401024,401024,401022,"Species","Amphicteis gunneri","(M. Sars, 1835)",129784,1,1,"Annelida","Terebellida","Ampharetidae","Amphicteis","Amphicteis gunneri","Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"30",401030,401030,401022,"Species","Amphicteis sundevalli","Malmgren, 1866",129787,1,1,"Annelida","Terebellida","Ampharetidae","Amphicteis","Amphicteis sundevalli","Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"31",401064,401064,738008,"Species","Amphidinium longum","Lohmann, 1908",109741,2,1,"Myzozoa","Gymnodiniales","Gymnodiniaceae","Amphidinium","Amphidinium longum","Dinophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"32",401426,401426,770824,"Genus","Amphiprora","Ehrenberg, 1843",149140,2,1,"Ochrophyta","Naviculales","Amphipleuraceae","Amphiprora",NA,"Bacillariophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"33",401618,401618,777676,"Genus","Amphitrite","Müller, 1771",129686,4,1,"Annelida","Terebellida","Terebellidae","Amphitrite",NA,"Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"34",401633,401633,401717,"Genus","Amphiura","Forbes, 1843",123613,2,2,"Echinodermata","Ophiurida","Amphiuridae","Amphiura",NA,"Ophiuroidea",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"35",401714,401714,401633,"Species","Amphiura sundevalli","(Müller & Troschel, 1842)",125100,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura","Amphiura sundevalli","Ophiuroidea",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"36",401723,401723,770794,"Genus","Amphora","Ehrenberg ex Kützing, 1844",149200,3,1,"Ochrophyta","Thalassiophysales","Catenulaceae","Amphora",NA,"Bacillariophyceae",TRUE,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"37",401922,401922,401723,"Species","Amphora ocellata","Donkin, 1861",160715,22,1,"Ochrophyta","Thalassiophysales","Catenulaceae","Amphora","Amphora ocellata","Bacillariophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"38",402999,402999,769056,"Species","Anisarchus medius","(Reinhardt, 1837)",127070,17,4,"Chordata","Perciformes","Stichaeidae","Anisarchus","Anisarchus medius","Actinopteri",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
