"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"1",396197,396197,596574,"Species","Acanthostepheia behringiensis","(Lockington, 1877)",102862,1,1,"Arthropoda","Amphipoda","Oedicerotidae","Acanthostepheia","Acanthostepheia behringiensis","Malacostraca",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"2",396290,396290,405225,"Subclass","Acari","Leach, 1817",292684,1,1,"Arthropoda",NA,NA,NA,NA,"Arachnida",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"3",396314,396314,770838,"Species","Acartia (Acanthacartia) bifilosa","(Giesbrecht, 1881)",345919,5,1,"Arthropoda","Calanoida","Acartiidae","Acartia","Acartia (Acanthacartia) bifilosa",NA,NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"4",396326,396326,770837,"Species","Acartia (Acartiura) clausi","Giesbrecht, 1889",149755,1,1,"Arthropoda","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",NA,NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"5",398561,398561,767084,"Genus","Aequorea","Péron & Lesueur, 1810",116998,1,1,"Cnidaria","Leptothecata","Aequoreidae","Aequorea",NA,"Hydrozoa",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"6",398634,398634,740483,"Family","Aetideidae","Giesbrecht, 1892",104075,21,2,"Arthropoda","Calanoida","Aetideidae",NA,NA,NA,NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"7",398647,398647,398644,"Species","Aetideus armatus","(Boeck, 1872)",104275,1,1,"Arthropoda","Calanoida","Aetideidae","Aetideus","Aetideus armatus",NA,NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"8",400648,400648,599445,"Species","Ammodytes dubius","Reinhardt, 1837",151520,2,2,"Chordata","Perciformes","Ammodytidae","Ammodytes","Ammodytes dubius","Actinopteri",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"9",400820,400820,737935,"Species","Ampelisca eschrichtii","Krøyer, 1842",101897,2,1,"Arthropoda","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca eschrichtii","Malacostraca",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"10",401024,401024,401022,"Species","Amphicteis gunneri","(M. Sars, 1835)",129784,3,1,"Annelida","Terebellida","Ampharetidae","Amphicteis","Amphicteis gunneri","Polychaeta",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"11",402999,402999,769056,"Species","Anisarchus medius","(Reinhardt, 1837)",127070,154,2,"Chordata","Perciformes","Stichaeidae","Anisarchus","Anisarchus medius","Actinopteri",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"12",403344,403344,403343,"Species","Anser albifrons","(Scopoli, 1769)",159159,2,1,"Chordata","Anseriformes","Anatidae","Anser","Anser albifrons","Aves",TRUE,"LC",NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"13",405685,405685,405684,"Species","Arctogadus borisovi","Dryagin, 1932",272297,10,1,"Chordata","Gadiformes","Gadidae","Arctogadus","Arctogadus borisovi","Actinopteri",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"14",405686,405686,405684,"Species","Arctogadus glacialis","(Peters, 1872)",126432,87,2,"Chordata","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","Actinopteri",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"15",406459,406459,406448,"Species","Artediellus scaber","Knipowitsch, 1907",127194,36,2,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Artediellus scaber","Actinopteri",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"16",406460,406460,406448,"Species","Artediellus uncinatus","(Reinhardt, 1834)",127195,1,1,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Artediellus uncinatus","Actinopteri",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"17",406613,406613,603103,"Species","Ascidia obliqua","Alder, 1863",103713,1,1,"Chordata","Phlebobranchia","Ascidiidae","Ascidia","Ascidia obliqua","Ascidiacea",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"18",406868,406868,406862,"Species","Aspidophoroides olrikii","Lütken, 1877",309268,314,4,"Chordata","Scorpaeniformes","Agonidae","Aspidophoroides","Aspidophoroides olrikii","Actinopteri",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"19",407010,407010,739018,"Species","Astarte borealis","(Schumacher, 1817)",138818,2,1,"Mollusca","Carditoida","Astartidae","Astarte","Astarte borealis","Bivalvia",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"20",407013,407013,739018,"Species","Astarte crenata","(Gray, 1824)",138820,1,1,"Mollusca","Carditoida","Astartidae","Astarte","Astarte crenata","Bivalvia",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"21",409229,409229,769778,"Species","Balaena mysticetus","Linnaeus, 1758",137086,129,3,"Chordata","Cetartiodactyla","Balaenidae","Balaena","Balaena mysticetus","Mammalia",TRUE,"LC",NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"22",410261,410261,410258,"Species","Bathyarca glacialis","(Gray, 1824)",138797,3,1,"Mollusca","Arcoida","Arcidae","Bathyarca","Bathyarca glacialis","Bivalvia",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"23",413092,413092,771713,"Species","Branta bernicla","(Linnaeus, 1758)",159175,2,1,"Chordata","Anseriformes","Anatidae","Branta","Branta bernicla","Aves",TRUE,"LC",NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"24",413094,413094,771713,"Species","Branta canadensis","(Linnaeus, 1758)",159176,1,1,"Chordata","Anseriformes","Anatidae","Branta","Branta canadensis","Aves",TRUE,"LC",TRUE,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
"25",413527,413527,413521,"Species","Buccinum ciliatum","(Fabricius, 1780)",138860,1,1,"Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum ciliatum","Gastropoda",NA,NA,NA,"Beaufort-Amundsen-Viscount Melville-Queen Maud"
