"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"1",362,362,397533,"Species","Acteon melampoides","Dall, 1881",159968,4,1,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon","Acteon melampoides","Gastropoda",NA,NA,NA,"Bermuda"
"2",395486,395486,438892,"Genus","Abraliopsis","Joubin, 1896",137931,1,1,"Mollusca","Oegopsida","Enoploteuthidae","Abraliopsis",NA,"Cephalopoda",NA,NA,NA,"Bermuda"
"3",395561,395561,695219,"Species","Abudefduf vaigiensis","(Quoy & Gaimard, 1825)",212879,3,1,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf vaigiensis","Actinopteri",NA,NA,NA,"Bermuda"
"4",395571,395571,695224,"Species","Abyla trigona","Quoy & Gaimard, 1827",135402,10,2,"Cnidaria","Siphonophorae","Abylidae","Abyla","Abyla trigona","Hydrozoa",NA,NA,NA,"Bermuda"
"5",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,6,3,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",NA,NA,NA,"Bermuda"
"6",395651,395651,395650,"Species","Acanella arbuscula","(Johnson, 1862)",125371,2,2,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella arbuscula","Anthozoa",NA,NA,NA,"Bermuda"
"7",395764,395764,695236,"Species","Acanthephyra pelagica","(Risso, 1816)",107581,6,2,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","Malacostraca",NA,NA,NA,"Bermuda"
"8",396214,396214,737105,"Genus","Acanthurus","Forsskål, 1775",125908,21,1,"Chordata","Perciformes","Acanthuridae","Acanthurus",NA,"Actinopteri",NA,NA,NA,"Bermuda"
"9",397627,397627,737334,"Species","Actinia bermudensis","(McMurrich, 1889)",283273,8,2,"Cnidaria","Actiniaria","Actiniidae","Actinia","Actinia bermudensis","Anthozoa",NA,NA,NA,"Bermuda"
"10",398138,398138,775753,"Species","Actinostella flosculifera","(Le Sueur, 1817)",289355,3,1,"Cnidaria","Actiniaria","Actiniidae","Actinostella","Actinostella flosculifera","Anthozoa",NA,NA,NA,"Bermuda"
"11",398639,398639,398635,"Species","Aetideopsis multiserrata","(Wolfenden, 1904)",104270,1,1,"Arthropoda","Calanoida","Aetideidae","Aetideopsis","Aetideopsis multiserrata",NA,NA,NA,NA,"Bermuda"
"12",398644,398644,398634,"Genus","Aetideus","Brady, 1883",104112,4,1,"Arthropoda","Calanoida","Aetideidae","Aetideus",NA,NA,NA,NA,NA,"Bermuda"
"13",398748,398748,398744,"Species","Agalma okeni","Eschscholtz, 1825",135485,9,2,"Cnidaria","Siphonophorae","Agalmatidae","Agalma","Agalma okeni","Hydrozoa",NA,NA,NA,"Bermuda"
"14",399039,399039,768954,"Species","Ahliesaurus berryi","Bertelsen, Krefft & Marshall, 1976",126347,44,4,"Chordata","Aulopiformes","Notosudidae","Ahliesaurus","Ahliesaurus berryi","Actinopteri",NA,NA,NA,"Bermuda"
"15",399088,399088,399087,"Species","Aiolochroia crassa","(Hyatt, 1875)",169632,2,2,"Porifera","Verongiida","Aplysinidae","Aiolochroia","Aiolochroia crassa","Demospongiae",NA,NA,NA,"Bermuda"
"16",399107,399107,695382,"Species","Aiptasia tagetes","(Duchassaing & Michelotti, 1864)",283490,5,1,"Cnidaria","Actiniaria","Aiptasiidae","Aiptasia","Aiptasia tagetes","Anthozoa",NA,NA,NA,"Bermuda"
"17",399384,399384,737643,"Species","Aldrovandia affinis","(Günther, 1877)",126637,2,2,"Chordata","Notacanthiformes","Halosauridae","Aldrovandia","Aldrovandia affinis","Actinopteri",NA,NA,NA,"Bermuda"
"18",399390,399390,737643,"Species","Aldrovandia phalacra","(Vaillant, 1888)",126638,3,2,"Chordata","Notacanthiformes","Halosauridae","Aldrovandia","Aldrovandia phalacra","Actinopteri",NA,NA,NA,"Bermuda"
"19",399447,399447,598612,"Species","Alepisaurus ferox","Lowe, 1833",126333,54,2,"Chordata","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox","Actinopteri",TRUE,"LC",NA,"Bermuda"
"20",399822,399822,399798,"Species","Alpheus bouvieri","A. Milne-Edwards, 1878",240846,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus","Alpheus bouvieri","Malacostraca",NA,NA,NA,"Bermuda"
"21",400188,400188,400174,"Species","Amakusanthura magnifica","(Menzies & Frankenberg, 1966)",255365,1,1,"Arthropoda","Isopoda","Anthuridae","Amakusanthura","Amakusanthura magnifica","Malacostraca",NA,NA,NA,"Bermuda"
"22",400232,400232,737817,"Species","Amallothrix falcifer","(Farran, 1926)",104769,1,1,"Arthropoda","Calanoida","Scolecitrichidae","Amallothrix","Amallothrix falcifer",NA,NA,NA,NA,"Bermuda"
