"","id","valid_id","parent_id","rank_name","tname","tauthor","records","datasets","phylum","order","family","genus","species","class","worms_id","redlist","status","gisd","hab","ecoregion"
"1",475,475,815605,"Subspecies","Mangilia (Daphnella) sofia hyperlissa","Dall",1,1,"Mollusca","Neogastropoda","Turridae","Mangilia","Mangilia (Daphnella) sofia","Gastropoda",NA,NA,NA,NA,NA,"Carolinian"
"2",481,481,806805,"Subspecies","Mangilia (Pleurotomella) chariessa aresta","Dall",1,1,"Mollusca","Neogastropoda","Turridae","Mangilia","Mangilia (Pleurotomella) chariessa","Gastropoda",NA,NA,NA,NA,NA,"Carolinian"
"3",482,482,806805,"Subspecies","Mangilia (Pleurotomella) chariessa phalera","Dall",1,1,"Mollusca","Neogastropoda","Turridae","Mangilia","Mangilia (Pleurotomella) chariessa","Gastropoda",NA,NA,NA,NA,NA,"Carolinian"
"4",484,484,806805,"Subspecies","Mangilia (Pleurotomella) chariessa tellea","Dall",1,1,"Mollusca","Neogastropoda","Turridae","Mangilia","Mangilia (Pleurotomella) chariessa","Gastropoda",NA,NA,NA,NA,NA,"Carolinian"
"5",493,493,807810,"Subspecies","Marginella (Volutella) lacrimula amianta","Dall",1,1,"Mollusca","Neogastropoda","Marginellidae","Marginella","Marginella (Volutella) lacrimula","Gastropoda",NA,NA,NA,NA,NA,"Carolinian"
"6",506,506,803357,"Species","Mithrax (Mithraculus) forceps","(Milne-Edwards)",52,3,"Arthropoda","Decapoda","Majidae","Mithrax","Mithrax (Mithraculus) forceps","Malacostraca",NA,NA,NA,NA,NA,"Carolinian"
"7",582,582,477563,"Species","Nephasoma capelliformis","(Murina)",16,1,"Sipuncula","Golfingiida","Golfingiidae","Nephasoma","Nephasoma capelliformis","Sipunculidea",183285,NA,NA,NA,NA,"Carolinian"
"8",395361,395361,695212,"Species","Aaptos aaptos","(Schmidt, 1864)",2,1,"Porifera","Suberitida","Suberitidae","Aaptos","Aaptos aaptos","Demospongiae",134241,NA,NA,NA,NA,"Carolinian"
"9",395447,395447,700476,"Genus","Abra","Lamarck, 1818",82,5,"Mollusca","Cardiida","Semelidae","Abra",NA,"Bivalvia",138474,NA,NA,NA,NA,"Carolinian"
"10",395467,395467,438892,"Genus","Abralia","Gray, 1849",1,1,"Mollusca","Oegopsida","Enoploteuthidae","Abralia",NA,"Cephalopoda",137930,NA,NA,NA,NA,"Carolinian"
