"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","ecoregion"
"1",396886,396886,396883,"Species","Acodontaster elongatus","(Sladen, 1889)",172769,1,1,"Echinodermata","Valvatida","Odontasteridae","Acodontaster","Acodontaster elongatus","Asteroidea",NA,NA,NA,"Central Chile"
"2",398203,398203,776115,"Species","Aculeola nigra","de Buen, 1959",279502,5,2,"Chordata","Squaliformes","Etmopteridae","Aculeola","Aculeola nigra","Elasmobranchii",TRUE,"DD",NA,"Central Chile"
"3",398644,398644,398634,"Genus","Aetideus","Brady, 1883",104112,15,1,"Arthropoda","Calanoida","Aetideidae","Aetideus",NA,NA,NA,NA,NA,"Central Chile"
"4",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",117851,6,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Aglaura hemistoma","Hydrozoa",NA,NA,NA,"Central Chile"
"5",399118,399118,775756,"Species","Aiptasiomorpha elongata","Carlgren, 1951",289373,4,2,"Cnidaria","Actiniaria","Aiptasiomorphidae","Aiptasiomorpha","Aiptasiomorpha elongata","Anthozoa",NA,NA,NA,"Central Chile"
"6",399390,399390,737643,"Species","Aldrovandia phalacra","(Vaillant, 1888)",126638,3,1,"Chordata","Notacanthiformes","Halosauridae","Aldrovandia","Aldrovandia phalacra","Actinopteri",NA,NA,NA,"Central Chile"
"7",399444,399444,598612,"Species","Alepisaurus brevirostris","Gibbs, 1960",126332,2,2,"Chordata","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus brevirostris","Actinopteri",NA,NA,NA,"Central Chile"
"8",399447,399447,598612,"Species","Alepisaurus ferox","Lowe, 1833",126333,2,2,"Chordata","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox","Actinopteri",TRUE,"LC",NA,"Central Chile"
"9",400882,400882,628170,"Family","Ampeliscidae","Krøyer, 1842",101364,1,1,"Arthropoda","Amphipoda","Ampeliscidae",NA,NA,"Malacostraca",NA,NA,NA,"Central Chile"
"10",401111,401111,401110,"Species","Amphilectus fucorum","(Esper, 1794)",150225,4,2,"Porifera","Poecilosclerida","Esperiopsidae","Amphilectus","Amphilectus fucorum","Demospongiae",NA,NA,NA,"Central Chile"
"11",402062,402062,742946,"Family","Ampithoidae","Stebbing, 1899",101366,1,1,"Arthropoda","Amphipoda","Ampithoidae",NA,NA,"Malacostraca",NA,NA,NA,"Central Chile"
"12",402847,402847,402845,"Species","Anemonia alicemartinae","Häussermann & Försterra, 2001",283318,38,4,"Cnidaria","Actiniaria","Actiniidae","Anemonia","Anemonia alicemartinae","Anthozoa",NA,NA,NA,"Central Chile"
"13",403684,403684,771628,"Species","Antholoba achates","(Drayton in Dana, 1846)",287436,12,2,"Cnidaria","Actiniaria","Actinostolidae","Antholoba","Antholoba achates","Anthozoa",NA,NA,NA,"Central Chile"
