"","id","valid_id","parent_id","rank_name","tname","tauthor","records","datasets","phylum","order","family","genus","species","class","worms_id","redlist","status","hab","gisd","ecoregion"
"1",534,534,646394,"Species","Munna setifrons","Menzies & George",1,1,"Arthropoda","Isopoda","Munnidae","Munna","Munna setifrons","Malacostraca",NA,NA,NA,NA,NA,"Central Peru"
"2",395467,395467,438892,"Genus","Abralia","Gray, 1849",1,1,"Mollusca","Oegopsida","Enoploteuthidae","Abralia",NA,"Cephalopoda",137930,NA,NA,NA,NA,"Central Peru"
"3",395787,395787,395780,"Species","Acanthistius pictus","(Tschudi, 1846)",10,4,"Chordata","Perciformes","Serranidae","Acanthistius","Acanthistius pictus","Actinopteri",278727,TRUE,"LC",NA,NA,"Central Peru"
"4",395971,395971,768313,"Genus","Acanthoica","Lohmann, 1903",8,1,"Haptophyta","Syracosphaerales","Rhabdosphaeraceae","Acanthoica",NA,"Prymnesiophyceae",115083,NA,NA,NA,NA,"Central Peru"
"5",395973,395973,395971,"Species","Acanthoica quattrospina","Lohmann, 1903",31,2,"Haptophyta","Syracosphaerales","Rhabdosphaeraceae","Acanthoica","Acanthoica quattrospina","Prymnesiophyceae",235802,NA,NA,NA,NA,"Central Peru"
"6",396040,396040,764712,"Genus","Acanthomunna","Beddard, 1886",1,1,"Arthropoda","Isopoda","Dendrotionidae","Acanthomunna",NA,"Malacostraca",118312,NA,NA,NA,NA,"Central Peru"
"7",396200,396200,406569,"Genus","Acanthostomella","Jörgensen, 1927",3,1,"Ciliophora","Choreotrichida","Ascampbelliellidae","Acanthostomella",NA,"Oligotrichea",183555,NA,NA,NA,NA,"Central Peru"
"8",396726,396726,396662,"Species","Achnanthes longipes","C.Agardh, 1824",227,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes longipes","Bacillariophyceae",156533,NA,NA,NA,NA,"Central Peru"
"9",397861,397861,767920,"Species","Actiniscus pentasterias","(Ehrenberg) Ehrenberg, 1844",57,2,"Myzozoa","Actiniscales","Actiniscaceae","Actiniscus","Actiniscus pentasterias","Dinophyceae",109717,NA,NA,NA,NA,"Central Peru"
"10",397893,397893,849984,"Species","Actinocyclus curvatulus","Janisch, 1874",21,1,"Ochrophyta","Coscinodiscales","Hemidiscaceae","Actinocyclus","Actinocyclus curvatulus","Bacillariophyceae",345847,NA,NA,NA,NA,"Central Peru"
"11",398029,398029,770756,"Genus","Actinoptychus","Ehrenberg, 1843",128,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus",NA,"Bacillariophyceae",148947,NA,NA,NA,NA,"Central Peru"
"12",398077,398077,398029,"Species","Actinoptychus octonarius","(Ehrenberg) Kützing, 1844",200,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus octonarius","Bacillariophyceae",149163,NA,NA,NA,NA,"Central Peru"
"13",398083,398083,398029,"Species","Actinoptychus senarius","(Ehrenberg) Ehrenberg, 1843",976,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus senarius","Bacillariophyceae",148948,NA,NA,NA,NA,"Central Peru"
"14",398085,398085,398029,"Species","Actinoptychus splendens","(Shadbolt) Ralfs ex Pritchard, 1861",341,2,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus splendens","Bacillariophyceae",148949,NA,NA,NA,NA,"Central Peru"
"15",398203,398203,776115,"Species","Aculeola nigra","de Buen, 1959",3,3,"Chordata","Squaliformes","Etmopteridae","Aculeola","Aculeola nigra","Elasmobranchii",279502,TRUE,"DD",NA,NA,"Central Peru"
"16",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",2,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Aglaura hemistoma","Hydrozoa",117851,NA,NA,NA,NA,"Central Peru"
"17",398986,398986,776124,"Species","Agonopsis chiloensis","(Jenyns, 1840)",2,2,"Chordata","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis chiloensis","Actinopteri",279520,NA,NA,NA,NA,"Central Peru"
"18",399469,399469,737659,"Species","Alepocephalus planifrons","Sazonov, 1993",1,1,"Chordata","Osmeriformes","Alepocephalidae","Alepocephalus","Alepocephalus planifrons","Actinopteri",272848,NA,NA,NA,NA,"Central Peru"
"19",399797,399797,737741,"Species","Alphestes multiguttatus","(Günther, 1867)",1,1,"Chordata","Perciformes","Serranidae","Alphestes","Alphestes multiguttatus","Actinopteri",279569,TRUE,"LC",NA,NA,"Central Peru"
"20",400620,400620,1011414,"Genus","Ammobaculites","Cushman, 1910",7,1,"Foraminifera","Lituolida","Lituolidae","Ammobaculites",NA,"Globothalamea",112345,NA,NA,NA,NA,"Central Peru"
"21",400957,400957,1014220,"Genus","Amphiascoides","Nicholls, 1941",1,1,"Arthropoda","Harpacticoida","Miraciidae","Amphiascoides",NA,NA,115303,NA,NA,NA,NA,"Central Peru"
"22",401043,401043,738008,"Species","Amphidinium acutissimum","Schiller, 1933",29,1,"Myzozoa","Gymnodiniales","Gymnodiniaceae","Amphidinium","Amphidinium acutissimum","Dinophyceae",109718,NA,NA,NA,NA,"Central Peru"
"23",401426,401426,770824,"Genus","Amphiprora","Ehrenberg, 1843",1290,1,"Ochrophyta","Naviculales","Amphipleuraceae","Amphiprora",NA,"Bacillariophyceae",149140,NA,NA,NA,NA,"Central Peru"
"24",401448,401448,401426,"Species","Amphiprora hyalina","Eulenstein ex Van Heurck, 1880",1,1,"Ochrophyta","Naviculales","Amphipleuraceae","Amphiprora","Amphiprora hyalina","Bacillariophyceae",149632,NA,NA,NA,NA,"Central Peru"
"25",401536,401536,767902,"Genus","Amphisolenia","Stein, 1883",31,1,"Myzozoa","Dinophysiales","Amphisoleniaceae","Amphisolenia",NA,"Dinophyceae",109459,NA,NA,NA,NA,"Central Peru"
"26",401543,401543,401536,"Species","Amphisolenia palaeotheroides","Kofoid, 1907",3,1,"Myzozoa","Dinophysiales","Amphisoleniaceae","Amphisolenia","Amphisolenia palaeotheroides","Dinophyceae",232138,NA,NA,NA,NA,"Central Peru"
"27",401544,401544,401536,"Species","Amphisolenia palmata","Stein, 1883",3,1,"Myzozoa","Dinophysiales","Amphisoleniaceae","Amphisolenia","Amphisolenia palmata","Dinophyceae",109594,NA,NA,NA,NA,"Central Peru"
"28",401546,401546,401536,"Species","Amphisolenia schauinslandii","Lemmermann, 1899",1,1,"Myzozoa","Dinophysiales","Amphisoleniaceae","Amphisolenia","Amphisolenia schauinslandii","Dinophyceae",232142,NA,NA,NA,NA,"Central Peru"
"29",401549,401549,401536,"Species","Amphisolenia thrinax","Schütt, 1893",7,1,"Myzozoa","Dinophysiales","Amphisoleniaceae","Amphisolenia","Amphisolenia thrinax","Dinophyceae",232122,NA,NA,NA,NA,"Central Peru"
"30",401723,401723,770794,"Genus","Amphora","Ehrenberg ex Kützing, 1844",758,1,"Ochrophyta","Thalassiophysales","Catenulaceae","Amphora",NA,"Bacillariophyceae",149200,NA,NA,TRUE,NA,"Central Peru"
"31",401734,401734,401723,"Species","Amphora alata","H.Peragallo",1,1,"Ochrophyta","Thalassiophysales","Catenulaceae","Amphora","Amphora alata","Bacillariophyceae",149201,NA,NA,NA,NA,"Central Peru"
"32",401862,401862,401723,"Species","Amphora hyalina","Kützing, 1844",6,2,"Ochrophyta","Thalassiophysales","Catenulaceae","Amphora","Amphora hyalina","Bacillariophyceae",160700,NA,NA,NA,NA,"Central Peru"
"33",402573,402573,695543,"Species","Anchoa argentivittata","(Regan, 1904)",5,2,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa argentivittata","Actinopteri",275507,TRUE,"LC",NA,NA,"Central Peru"
"34",402600,402600,695543,"Species","Anchoa nasus","(Kner & Steindachner, 1867)",2,2,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa nasus","Actinopteri",275528,TRUE,"LC",NA,NA,"Central Peru"
"35",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",3,1,"Arthropoda","Decapoda",NA,NA,NA,"Malacostraca",106671,NA,NA,NA,NA,"Central Peru"
"36",403275,403275,738353,"Species","Anoplogaster cornuta","(Valenciennes, 1833)",2,2,"Chordata","Beryciformes","Anoplogastridae","Anoplogaster","Anoplogaster cornuta","Actinopteri",126393,NA,NA,NA,NA,"Central Peru"
