"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","family","genus","species","class","order","redlist","status","hab","ecoregion"
"1",616,616,758794,"Species","Scoloplos (Leodamas) tribulosus","(Ehlers, 1897)",334768,2,1,"Annelida","Orbiniidae","Scoloplos","Scoloplos (Leodamas) tribulosus","Polychaeta",NA,NA,NA,NA,"Channels and Fjords of Southern Chile"
"2",395385,395385,395384,"Species","Abatus agassizii","Mortensen, 1910",160759,10,2,"Echinodermata","Schizasteridae","Abatus","Abatus agassizii","Echinoidea","Spatangoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"3",395387,395387,395384,"Species","Abatus cavernosus","(Philippi, 1845)",160762,5,2,"Echinodermata","Schizasteridae","Abatus","Abatus cavernosus","Echinoidea","Spatangoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"4",395618,395618,395617,"Species","Abyssothyris wyvillei","(Davidson, 1878)",235514,2,1,"Brachiopoda","Dyscoliidae","Abyssothyris","Abyssothyris wyvillei","Rhynchonellata","Terebratulida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"5",396505,396505,768152,"Species","Acervulina inhaerens","Schulze, 1854",112827,1,1,"Foraminifera","Acervulinidae","Acervulina","Acervulina inhaerens","Globothalamea","Rotaliida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"6",396886,396886,396883,"Species","Acodontaster elongatus","(Sladen, 1889)",172769,1,1,"Echinodermata","Odontasteridae","Acodontaster","Acodontaster elongatus","Asteroidea","Valvatida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"7",397439,397439,397433,"Species","Acryptolaria longitheca","(Allman, 1877)",117681,1,1,"Cnidaria","Lafoeidae","Acryptolaria","Acryptolaria longitheca","Hydrozoa","Leptothecata",NA,NA,NA,"Channels and Fjords of Southern Chile"
"8",397603,397603,695303,"Species","Actinernus elongatus","(Hertwig, 1882)",172869,13,4,"Cnidaria","Actinernidae","Actinernus","Actinernus elongatus","Anthozoa","Actiniaria",NA,NA,NA,"Channels and Fjords of Southern Chile"
"9",398083,398083,398029,"Species","Actinoptychus senarius","(Ehrenberg) Ehrenberg, 1843",148948,1,1,"Ochrophyta","Heliopeltaceae","Actinoptychus","Actinoptychus senarius","Bacillariophyceae","Coscinodiscales",NA,NA,NA,"Channels and Fjords of Southern Chile"
"10",398142,398142,737398,"Genus","Actinostola","Verrill, 1883",100709,2,2,"Cnidaria","Actinostolidae","Actinostola",NA,"Anthozoa","Actiniaria",NA,NA,NA,"Channels and Fjords of Southern Chile"
"11",398217,398217,755605,"Genus","Adacnarca","Pelseneer, 1903",196915,2,1,"Mollusca","Philobryidae","Adacnarca",NA,"Bivalvia","Arcoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"12",398508,398508,737469,"Genus","Aeolidia","Cuvier, 1798",137630,1,1,"Mollusca","Aeolidiidae","Aeolidia",NA,"Gastropoda","Nudibranchia",NA,NA,NA,"Channels and Fjords of Southern Chile"
"13",398597,398597,767969,"Genus","Aetea","Lamouroux, 1812",110819,1,1,"Bryozoa","Aeteidae","Aetea",NA,"Gymnolaemata","Cheilostomatida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"14",398598,398598,398597,"Species","Aetea anguina","(Linnaeus, 1758)",111062,1,1,"Bryozoa","Aeteidae","Aetea","Aetea anguina","Gymnolaemata","Cheilostomatida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"15",398635,398635,398634,"Genus","Aetideopsis","Sars G.O., 1903",104111,5,1,"Arthropoda","Aetideidae","Aetideopsis",NA,NA,"Calanoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"16",398639,398639,398635,"Species","Aetideopsis multiserrata","(Wolfenden, 1904)",104270,2,1,"Arthropoda","Aetideidae","Aetideopsis","Aetideopsis multiserrata",NA,"Calanoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"17",398644,398644,398634,"Genus","Aetideus","Brady, 1883",104112,19,1,"Arthropoda","Aetideidae","Aetideus",NA,NA,"Calanoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"18",398873,398873,598231,"Species","Aglaophamus macroura","(Schmarda, 1861)",173673,1,1,"Annelida","Nephtyidae","Aglaophamus","Aglaophamus macroura","Polychaeta","Phyllodocida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"19",398881,398881,598231,"Species","Aglaophamus trissophyllus","(Grube, 1877)",173693,1,1,"Annelida","Nephtyidae","Aglaophamus","Aglaophamus trissophyllus","Polychaeta","Phyllodocida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"20",398986,398986,776124,"Species","Agonopsis chiloensis","(Jenyns, 1840)",279520,3,2,"Chordata","Agonidae","Agonopsis","Agonopsis chiloensis","Actinopteri","Scorpaeniformes",NA,NA,NA,"Channels and Fjords of Southern Chile"
"21",399044,399044,399042,"Species","Ahnfeltia plicata","(Hudson) E.M.Fries, 1836",144422,1,1,"Rhodophyta","Ahnfeltiaceae","Ahnfeltia","Ahnfeltia plicata","Florideophyceae","Ahnfeltiales",NA,NA,NA,"Channels and Fjords of Southern Chile"
"22",399079,399079,772382,"Species","Aimulosia antarctica","(Powell, 1967)",174346,1,1,"Bryozoa","Buffonellodidae","Aimulosia","Aimulosia antarctica","Gymnolaemata","Cheilostomatida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"23",399697,399697,775003,"Species","Allotanais hirsutus","(Beddard, 1886)",247699,5,2,"Arthropoda","Tanaididae","Allotanais","Allotanais hirsutus","Malacostraca","Tanaidacea",NA,NA,NA,"Channels and Fjords of Southern Chile"
"24",400279,400279,767424,"Species","Amaryllis macrophthalma","Haswell, 1879",214721,2,2,"Arthropoda","Amaryllididae","Amaryllis","Amaryllis macrophthalma","Malacostraca","Amphipoda",NA,NA,NA,"Channels and Fjords of Southern Chile"
"25",400473,400473,859173,"Genus","Amblyops","G.O. Sars, 1872",119832,1,1,"Arthropoda","Mysidae","Amblyops",NA,"Malacostraca","Mysida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"26",400479,400479,768657,"Species","Amblyopsoides obtusa","O. Tattersall, 1955",226759,2,2,"Arthropoda","Mysidae","Amblyopsoides","Amblyopsoides obtusa","Malacostraca","Mysida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"27",400502,400502,400500,"Species","Amblyraja doellojuradoi","(Pozzi, 1935)",271500,2,2,"Chordata","Rajidae","Amblyraja","Amblyraja doellojuradoi","Elasmobranchii","Rajiformes",TRUE,"LC",NA,"Channels and Fjords of Southern Chile"
"28",400669,400669,768214,"Species","Ammolagena clavata","(Jones & Parker, 1860)",113827,1,1,"Foraminifera","Ammolagenidae","Ammolagena","Ammolagena clavata","Globothalamea","Lituolida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"29",400882,400882,628170,"Family","Ampeliscidae","Krøyer, 1842",101364,3,1,"Arthropoda","Ampeliscidae",NA,NA,"Malacostraca","Amphipoda",NA,NA,NA,"Channels and Fjords of Southern Chile"
"30",400957,400957,1014220,"Genus","Amphiascoides","Nicholls, 1941",115303,1,1,"Arthropoda","Miraciidae","Amphiascoides",NA,NA,"Harpacticoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"31",400962,400962,400957,"Species","Amphiascoides subdebilis","(Willey, 1935)",115905,1,1,"Arthropoda","Miraciidae","Amphiascoides","Amphiascoides subdebilis",NA,"Harpacticoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"32",401018,401018,768210,"Species","Amphicoryna scalaris","(Batsch, 1791)",113780,1,1,"Foraminifera","Vaginulinidae","Amphicoryna","Amphicoryna scalaris","Foraminifera incertae sedis","Lagenida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"33",401110,401110,772044,"Genus","Amphilectus","Vosmaer, 1880",131933,1,1,"Porifera","Esperiopsidae","Amphilectus",NA,"Demospongiae","Poecilosclerida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"34",401111,401111,401110,"Species","Amphilectus fucorum","(Esper, 1794)",150225,2,1,"Porifera","Esperiopsidae","Amphilectus","Amphilectus fucorum","Demospongiae","Poecilosclerida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"35",401229,401229,699388,"Genus","Amphiophiura","Matsumoto, 1915",123554,1,1,"Echinodermata","Ophiuridae","Amphiophiura",NA,"Ophiuroidea","Ophiurida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"36",401285,860866,695475,"Species","Amphioplus daleus","(Lyman, 1879)",182963,1,1,"Echinodermata","Amphiuridae","Amphioplus","Amphioplus daleus","Ophiuroidea","Ophiurida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"37",401331,401331,401320,"Species","Amphipholis squamata","(Delle Chiaje, 1828)",125064,1,1,"Echinodermata","Amphiuridae","Amphipholis","Amphipholis squamata","Ophiuroidea","Ophiurida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"38",401349,401349,836219,"Genus","Amphipneustes","Koehler, 1900",160736,1,1,"Echinodermata","Paleopneustina incertae sedis B","Amphipneustes",NA,"Echinoidea","Spatangoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"39",401376,401376,401367,"Species","Amphiporus dubius","Hubrecht, 1879",122655,1,1,"Nemertea","Amphiporidae","Amphiporus","Amphiporus dubius","Enopla","Monostilifera",NA,NA,NA,"Channels and Fjords of Southern Chile"
"40",401395,401395,401367,"Species","Amphiporus racovitzai","Bürger, 1904",148014,3,1,"Nemertea","Amphiporidae","Amphiporus","Amphiporus racovitzai","Enopla","Monostilifera",NA,NA,NA,"Channels and Fjords of Southern Chile"
"41",401530,401530,401526,"Species","Amphisbetia minima","(Thompson, 1879)",285399,1,1,"Cnidaria","Sertulariidae","Amphisbetia","Amphisbetia minima","Hydrozoa","Leptothecata",NA,NA,NA,"Channels and Fjords of Southern Chile"
"42",401531,401531,401526,"Species","Amphisbetia operculata","(Linnaeus, 1758)",117874,5,1,"Cnidaria","Sertulariidae","Amphisbetia","Amphisbetia operculata","Hydrozoa","Leptothecata",NA,NA,NA,"Channels and Fjords of Southern Chile"
"43",401633,401633,401717,"Genus","Amphiura","Forbes, 1843",123613,2,1,"Echinodermata","Amphiuridae","Amphiura",NA,"Ophiuroidea","Ophiurida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"44",401664,401664,401633,"Species","Amphiura belgicae","Koehler, 1900",173102,1,1,"Echinodermata","Amphiuridae","Amphiura","Amphiura belgicae","Ophiuroidea","Ophiurida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"45",401681,401681,401633,"Species","Amphiura eugeniae","Ljungman, 1867",173113,2,1,"Echinodermata","Amphiuridae","Amphiura","Amphiura eugeniae","Ophiuroidea","Ophiurida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"46",402062,402062,742946,"Family","Ampithoidae","Stebbing, 1899",101366,1,1,"Arthropoda","Ampithoidae",NA,NA,"Malacostraca","Amphipoda",NA,NA,NA,"Channels and Fjords of Southern Chile"
"47",402470,402470,402464,"Species","Anatoma euglypta","(Pelseneer, 1903)",197041,1,1,"Mollusca","Anatomidae","Anatoma","Anatoma euglypta","Gastropoda",NA,NA,NA,NA,"Channels and Fjords of Southern Chile"
"48",402723,402723,600885,"Species","Ancistrosyllis groenlandica","McIntosh, 1879",130695,1,1,"Annelida","Pilargidae","Ancistrosyllis","Ancistrosyllis groenlandica","Polychaeta","Phyllodocida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"49",402847,402847,402845,"Species","Anemonia alicemartinae","Häussermann & Försterra, 2001",283318,2,2,"Cnidaria","Actiniidae","Anemonia","Anemonia alicemartinae","Anthozoa","Actiniaria",NA,NA,NA,"Channels and Fjords of Southern Chile"
"50",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",106671,1,1,"Arthropoda",NA,NA,NA,"Malacostraca","Decapoda",NA,NA,NA,"Channels and Fjords of Southern Chile"
"51",403247,403247,403239,"Species","Anoplodactylus californicus","Hall, 1912",134716,1,1,"Arthropoda","Phoxichilidiidae","Anoplodactylus","Anoplodactylus californicus","Pycnogonida","Pantopoda",NA,NA,NA,"Channels and Fjords of Southern Chile"
"52",403413,403413,696079,"Genus","Antarctoneptunea","Dell, 1972",196924,1,1,"Mollusca","Buccinidae","Antarctoneptunea",NA,"Gastropoda","Neogastropoda",NA,NA,NA,"Channels and Fjords of Southern Chile"
"53",403684,403684,771628,"Species","Antholoba achates","(Drayton in Dana, 1846)",287436,37,4,"Cnidaria","Actinostolidae","Antholoba","Antholoba achates","Anthozoa","Actiniaria",NA,NA,NA,"Channels and Fjords of Southern Chile"
"54",403690,403690,737630,"Genus","Anthomastus","Verrill, 1878",125285,2,2,"Cnidaria","Alcyoniidae","Anthomastus",NA,"Anthozoa","Alcyonacea",NA,NA,NA,"Channels and Fjords of Southern Chile"
"55",403789,403789,403788,"Species","Anthothela argentea","Studer, 1894",286577,2,2,"Cnidaria","Anthothelidae","Anthothela","Anthothela argentea","Anthozoa","Alcyonacea",NA,NA,NA,"Channels and Fjords of Southern Chile"
"56",404245,404245,601789,"Species","Aphelochaeta marioni","(Saint-Joseph, 1894)",129938,2,1,"Annelida","Cirratulidae","Aphelochaeta","Aphelochaeta marioni","Polychaeta","Terebellida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"57",404490,404490,756411,"Genus","Aplidium","Savigny, 1816",103471,11,1,"Chordata","Polyclinidae","Aplidium",NA,"Ascidiacea","Aplousobranchia",NA,NA,NA,"Channels and Fjords of Southern Chile"
"58",404510,404510,404490,"Species","Aplidium fuegiense","(Cunningham, 1871)",173582,12,2,"Chordata","Polyclinidae","Aplidium","Aplidium fuegiense","Ascidiacea","Aplousobranchia",NA,NA,NA,"Channels and Fjords of Southern Chile"
"59",404527,404527,404490,"Species","Aplidium pellucidum","(Leidy, 1855)",236662,1,1,"Chordata","Polyclinidae","Aplidium","Aplidium pellucidum","Ascidiacea","Aplousobranchia",NA,NA,NA,"Channels and Fjords of Southern Chile"
"60",404597,404597,776169,"Species","Aplochiton taeniatus","Jenyns, 1842",279654,1,1,"Chordata","Galaxiidae","Aplochiton","Aplochiton taeniatus","Actinopteri","Osmeriformes",NA,NA,NA,"Channels and Fjords of Southern Chile"
"61",404638,404638,404635,"Species","Aplysilla sulfurea","Schulze, 1878",132298,2,2,"Porifera","Darwinellidae","Aplysilla","Aplysilla sulfurea","Demospongiae","Dendroceratida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"62",405193,405193,702712,"Subspecies","Arabella (Arabella) iricolor caerulea","(Schmarda, 1861)",335766,1,1,"Annelida","Oenonidae","Arabella","Arabella (Arabella) iricolor","Polychaeta","Eunicida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"63",405587,405587,816810,"Family","Arcidae","Lamarck, 1809",208,1,1,"Mollusca","Arcidae",NA,NA,"Bivalvia","Arcoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"64",405675,405675,405674,"Species","Arctocephalus australis","(Zimmermann, 1783)",231435,47,1,"Chordata","Otariidae","Arctocephalus","Arctocephalus australis","Mammalia","Carnivora",TRUE,"LC",NA,"Channels and Fjords of Southern Chile"
"65",405962,405962,405954,"Species","Argyropelecus hemigymnus","Cocco, 1829",127309,1,1,"Chordata","Sternoptychidae","Argyropelecus","Argyropelecus hemigymnus","Actinopteri","Stomiiformes",TRUE,"LC",NA,"Channels and Fjords of Southern Chile"
"66",406086,406086,738869,"Genus","Arietellus","Giesbrecht, 1893",104130,3,1,"Arthropoda","Arietellidae","Arietellus",NA,NA,"Calanoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"67",406296,406296,406293,"Species","Armadillidium vulgare","(Latreille, 1804)",257832,1,1,"Arthropoda","Armadillidiidae","Armadillidium","Armadillidium vulgare","Malacostraca","Isopoda",NA,NA,NA,"Channels and Fjords of Southern Chile"
"68",407001,407001,768211,"Species","Astacolus crepidulus","(Fichtel & Moll, 1798)",113781,1,1,"Foraminifera","Vaginulinidae","Astacolus","Astacolus crepidulus","Foraminifera incertae sedis","Lagenida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"69",408007,408007,769575,"Genus","Atolla","Haeckel, 1880",135248,2,1,"Cnidaria","Atollidae","Atolla",NA,"Scyphozoa","Coronatae",NA,NA,NA,"Channels and Fjords of Southern Chile"
"70",408008,408008,408007,"Species","Atolla chuni","(Vanhöffen, 1902)",287146,4,1,"Cnidaria","Atollidae","Atolla","Atolla chuni","Scyphozoa","Coronatae",NA,NA,NA,"Channels and Fjords of Southern Chile"
"71",408010,408010,408007,"Species","Atolla parva","Russell, 1958",135280,1,1,"Cnidaria","Atollidae","Atolla","Atolla parva","Scyphozoa","Coronatae",NA,NA,NA,"Channels and Fjords of Southern Chile"
"72",408012,408012,408007,"Species","Atolla wyvillei","Haeckel, 1880",135282,2,1,"Cnidaria","Atollidae","Atolla","Atolla wyvillei","Scyphozoa","Coronatae",NA,NA,NA,"Channels and Fjords of Southern Chile"
