"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","gisd","hab","ecoregion"
"1",395528,395528,695219,"Species","Abudefduf declivifrons","(Gill, 1862)",273698,TRUE,"LC",7,3,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf declivifrons","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"2",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,NA,NA,2,2,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",NA,NA,"Chiapas-Nicaragua"
"3",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,TRUE,"LC",2,2,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"4",396214,396214,737105,"Genus","Acanthurus","Forsskål, 1775",125908,NA,NA,1,1,"Chordata","Perciformes","Acanthuridae","Acanthurus",NA,"Actinopteri",NA,NA,"Chiapas-Nicaragua"
"5",396587,396587,396583,"Species","Acharax johnsoni","(Dall, 1891)",293239,NA,NA,2,1,"Mollusca","Solemyoida","Solemyidae","Acharax","Acharax johnsoni","Bivalvia",NA,NA,"Chiapas-Nicaragua"
"6",398572,398572,398561,"Species","Aequorea victoria","(Murbach & Shearer, 1902)",283998,NA,NA,3,1,"Cnidaria","Leptothecata","Aequoreidae","Aequorea","Aequorea victoria","Hydrozoa",NA,NA,"Chiapas-Nicaragua"
"7",398748,398748,398744,"Species","Agalma okeni","Eschscholtz, 1825",135485,NA,NA,1,1,"Cnidaria","Siphonophorae","Agalmatidae","Agalma","Agalma okeni","Hydrozoa",NA,NA,"Chiapas-Nicaragua"
"8",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",117851,NA,NA,3,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Aglaura hemistoma","Hydrozoa",NA,NA,"Chiapas-Nicaragua"
"9",399797,399797,737741,"Species","Alphestes multiguttatus","(Günther, 1867)",279569,TRUE,"LC",53,4,"Chordata","Perciformes","Serranidae","Alphestes","Alphestes multiguttatus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"10",401004,401004,752533,"Genus","Amphichaeta","Tauber, 1879",137355,NA,NA,1,1,"Annelida","Haplotaxida","Tubificidae","Amphichaeta",NA,"Clitellata",NA,NA,"Chiapas-Nicaragua"
