"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","ecoregion"
"1",397564,397564,397561,"Species","Actinauge chilensis","Carlgren, 1959",283589,2,2,"Cnidaria","Actiniaria","Hormathiidae","Actinauge","Actinauge chilensis","Anthozoa",NA,NA,"Chiloense"
"2",397861,397861,767920,"Species","Actiniscus pentasterias","(Ehrenberg) Ehrenberg, 1844",109717,57,1,"Myzozoa","Actiniscales","Actiniscaceae","Actiniscus","Actiniscus pentasterias","Dinophyceae",NA,NA,"Chiloense"
"3",398635,398635,398634,"Genus","Aetideopsis","Sars G.O., 1903",104111,1,1,"Arthropoda","Calanoida","Aetideidae","Aetideopsis",NA,NA,NA,NA,"Chiloense"
"4",398639,398639,398635,"Species","Aetideopsis multiserrata","(Wolfenden, 1904)",104270,1,1,"Arthropoda","Calanoida","Aetideidae","Aetideopsis","Aetideopsis multiserrata",NA,NA,NA,"Chiloense"
"5",398644,398644,398634,"Genus","Aetideus","Brady, 1883",104112,3,1,"Arthropoda","Calanoida","Aetideidae","Aetideus",NA,NA,NA,NA,"Chiloense"
"6",398873,398873,598231,"Species","Aglaophamus macroura","(Schmarda, 1861)",173673,1,1,"Annelida","Phyllodocida","Nephtyidae","Aglaophamus","Aglaophamus macroura","Polychaeta",NA,NA,"Chiloense"
"7",399118,399118,775756,"Species","Aiptasiomorpha elongata","Carlgren, 1951",289373,16,2,"Cnidaria","Actiniaria","Aiptasiomorphidae","Aiptasiomorpha","Aiptasiomorpha elongata","Anthozoa",NA,NA,"Chiloense"
"8",400282,400282,416205,"Genus","Amastigia","Busk, 1852",173072,2,1,"Bryozoa","Cheilostomatida","Candidae","Amastigia",NA,"Gymnolaemata",NA,NA,"Chiloense"
"9",401111,401111,401110,"Species","Amphilectus fucorum","(Esper, 1794)",150225,2,2,"Porifera","Poecilosclerida","Esperiopsidae","Amphilectus","Amphilectus fucorum","Demospongiae",NA,NA,"Chiloense"
"10",401531,401531,401526,"Species","Amphisbetia operculata","(Linnaeus, 1758)",117874,1,1,"Cnidaria","Leptothecata","Sertulariidae","Amphisbetia","Amphisbetia operculata","Hydrozoa",NA,NA,"Chiloense"
"11",402723,402723,600885,"Species","Ancistrosyllis groenlandica","McIntosh, 1879",130695,1,1,"Annelida","Phyllodocida","Pilargidae","Ancistrosyllis","Ancistrosyllis groenlandica","Polychaeta",NA,NA,"Chiloense"
"12",402731,402731,699254,"Genus","Ancistroteuthis","Gray, 1849",138289,1,1,"Mollusca","Oegopsida","Onychoteuthidae","Ancistroteuthis",NA,"Cephalopoda",NA,NA,"Chiloense"
"13",402847,402847,402845,"Species","Anemonia alicemartinae","Häussermann & Försterra, 2001",283318,10,2,"Cnidaria","Actiniaria","Actiniidae","Anemonia","Anemonia alicemartinae","Anthozoa",NA,NA,"Chiloense"
"14",403684,403684,771628,"Species","Antholoba achates","(Drayton in Dana, 1846)",287436,58,4,"Cnidaria","Actiniaria","Actinostolidae","Antholoba","Antholoba achates","Anthozoa",NA,NA,"Chiloense"
"15",403796,403796,738435,"Species","Anthothoe chilensis","(Lesson, 1830)",289437,30,3,"Cnidaria","Actiniaria","Sagartiidae","Anthothoe","Anthothoe chilensis","Anthozoa",NA,NA,"Chiloense"
"16",404245,404245,601789,"Species","Aphelochaeta marioni","(Saint-Joseph, 1894)",129938,1,1,"Annelida","Terebellida","Cirratulidae","Aphelochaeta","Aphelochaeta marioni","Polychaeta",NA,NA,"Chiloense"
"17",404597,404597,776169,"Species","Aplochiton taeniatus","Jenyns, 1842",279654,3,1,"Chordata","Osmeriformes","Galaxiidae","Aplochiton","Aplochiton taeniatus","Actinopteri",NA,NA,"Chiloense"
"18",405013,405013,771812,"Species","Aporocidaris milleri","(A. Agassiz, 1898)",160784,2,2,"Echinodermata","Cidaroida","Ctenocidaridae","Aporocidaris","Aporocidaris milleri","Echinoidea",NA,NA,"Chiloense"
