"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","hab","redlist","status","gisd","ecoregion"
"1",395408,395408,509722,"Genus","Abietinaria","Kirchenpauer, 1884",117225,1,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Hydrozoa",NA,NA,NA,NA,NA,"Chukchi Sea"
"2",395978,395978,759725,"Genus","Acantholaimus","Allgén, 1933",2303,1,1,"Nematoda","Chromadorida","Chromadoridae","Acantholaimus","Chromadorea",NA,NA,NA,NA,NA,"Chukchi Sea"
"3",396016,396016,775539,"Species","Acantholumpenus mackayi","(Gilbert, 1896)",249703,3,2,"Chordata","Perciformes","Stichaeidae","Acantholumpenus","Actinopteri","Acantholumpenus mackayi",NA,NA,NA,NA,"Chukchi Sea"
"4",396046,396046,780849,"Genus","Acanthomysis","Czerniavsky, 1882",119831,2,1,"Arthropoda","Mysida","Mysidae","Acanthomysis","Malacostraca",NA,NA,NA,NA,NA,"Chukchi Sea"
"5",396197,396197,596574,"Species","Acanthostepheia behringiensis","(Lockington, 1877)",102862,7,1,"Arthropoda","Amphipoda","Oedicerotidae","Acanthostepheia","Malacostraca","Acanthostepheia behringiensis",NA,NA,NA,NA,"Chukchi Sea"
"6",396314,396314,770838,"Species","Acartia (Acanthacartia) bifilosa","(Giesbrecht, 1881)",345919,1,1,"Arthropoda","Calanoida","Acartiidae","Acartia",NA,"Acartia (Acanthacartia) bifilosa",NA,NA,NA,NA,"Chukchi Sea"
"7",396326,396326,770837,"Species","Acartia (Acartiura) clausi","Giesbrecht, 1889",149755,42,2,"Arthropoda","Calanoida","Acartiidae","Acartia",NA,"Acartia (Acartiura) clausi",NA,NA,NA,NA,"Chukchi Sea"
"8",397092,397092,772910,"Genus","Acropora","Oken, 1815",205469,1,1,"Cnidaria","Scleractinia","Acroporidae","Acropora","Anthozoa",NA,NA,NA,NA,NA,"Chukchi Sea"
"9",398014,398014,745651,"Genus","Actinonema","Cobb, 1920",2283,1,1,"Nematoda","Chromadorida","Chromadoridae","Actinonema","Chromadorea",NA,NA,NA,NA,NA,"Chukchi Sea"
"10",398444,398444,737448,"Genus","Aegialoalaimus","de Man, 1907",2381,1,1,"Nematoda","Plectida","Aegialoalaimidae","Aegialoalaimus","Chromadorea",NA,NA,NA,NA,NA,"Chukchi Sea"
"11",398634,398634,740483,"Family","Aetideidae","Giesbrecht, 1892",104075,2,1,"Arthropoda","Calanoida","Aetideidae",NA,NA,NA,NA,NA,NA,NA,"Chukchi Sea"
"12",399317,399317,399316,"Genus","Alcyonidium","J.V.F.Lamouroux, 1813",110993,4,1,"Bryozoa","Ctenostomatida","Alcyonidiidae","Alcyonidium","Gymnolaemata",NA,NA,NA,NA,NA,"Chukchi Sea"
"13",400043,400043,504575,"Genus","Alvania","Risso, 1826",138439,2,1,"Mollusca","Littorinimorpha","Rissoidae","Alvania","Gastropoda",NA,NA,NA,NA,NA,"Chukchi Sea"
"14",400820,400820,737935,"Species","Ampelisca eschrichtii","Krøyer, 1842",101897,23,2,"Arthropoda","Amphipoda","Ampeliscidae","Ampelisca","Malacostraca","Ampelisca eschrichtii",NA,NA,NA,NA,"Chukchi Sea"
"15",400896,400896,599696,"Species","Ampharete acutifrons","(Grube, 1860)",129775,22,1,"Annelida","Terebellida","Ampharetidae","Ampharete","Polychaeta","Ampharete acutifrons",NA,NA,NA,NA,"Chukchi Sea"
"16",400901,400901,599696,"Species","Ampharete finmarchica","(M. Sars, 1865)",129778,5,1,"Annelida","Terebellida","Ampharetidae","Ampharete","Polychaeta","Ampharete finmarchica",NA,NA,NA,NA,"Chukchi Sea"
"17",400903,400903,599696,"Species","Ampharete goesi","Malmgren, 1866",129779,2,1,"Annelida","Terebellida","Ampharetidae","Ampharete","Polychaeta","Ampharete goesi",NA,NA,NA,NA,"Chukchi Sea"
"18",401191,401191,752082,"Genus","Amphimonhystrella","Timm, 1961",156741,1,1,"Nematoda","Monhysterida","Monhysteridae","Amphimonhystrella","Chromadorea",NA,NA,NA,NA,NA,"Chukchi Sea"
"19",401208,401208,401717,"Genus","Amphiodia","Verrill, 1899",172595,10,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiodia","Ophiuroidea",NA,NA,NA,NA,NA,"Chukchi Sea"
"20",401229,401229,699388,"Genus","Amphiophiura","Matsumoto, 1915",123554,4,2,"Echinodermata","Ophiurida","Ophiuridae","Amphiophiura","Ophiuroidea",NA,NA,NA,NA,NA,"Chukchi Sea"
"21",401320,401320,401717,"Genus","Amphipholis","Ljungman, 1866",123612,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphipholis","Ophiuroidea",NA,NA,NA,NA,NA,"Chukchi Sea"
"22",401426,401426,770824,"Genus","Amphiprora","Ehrenberg, 1843",149140,3,1,"Ochrophyta","Naviculales","Amphipleuraceae","Amphiprora","Bacillariophyceae",NA,NA,NA,NA,NA,"Chukchi Sea"
"23",401633,401633,401717,"Genus","Amphiura","Forbes, 1843",123613,4,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura","Ophiuroidea",NA,NA,NA,NA,NA,"Chukchi Sea"
"24",401714,401714,401633,"Species","Amphiura sundevalli","(Müller & Troschel, 1842)",125100,5,2,"Echinodermata","Ophiurida","Amphiuridae","Amphiura","Ophiuroidea","Amphiura sundevalli",NA,NA,NA,NA,"Chukchi Sea"
"25",401723,401723,770794,"Genus","Amphora","Ehrenberg ex Kützing, 1844",149200,140,1,"Ochrophyta","Thalassiophysales","Catenulaceae","Amphora","Bacillariophyceae",NA,TRUE,NA,NA,NA,"Chukchi Sea"
"26",402999,402999,769056,"Species","Anisarchus medius","(Reinhardt, 1837)",127070,91,6,"Chordata","Perciformes","Stichaeidae","Anisarchus","Actinopteri","Anisarchus medius",NA,NA,NA,NA,"Chukchi Sea"
"27",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",106671,135,3,"Arthropoda","Decapoda",NA,NA,"Malacostraca",NA,NA,NA,NA,NA,"Chukchi Sea"
"28",403212,403212,781281,"Genus","Anonyx","Krøyer, 1838",101592,17,3,"Arthropoda","Amphipoda","Uristidae","Anonyx","Malacostraca",NA,NA,NA,NA,NA,"Chukchi Sea"
"29",404490,404490,756411,"Genus","Aplidium","Savigny, 1816",103471,1,1,"Chordata","Aplousobranchia","Polyclinidae","Aplidium","Ascidiacea",NA,NA,NA,NA,NA,"Chukchi Sea"
"30",404636,404636,404635,"Species","Aplysilla glacialis","(Merejkowski, 1878)",132295,1,1,"Porifera","Dendroceratida","Darwinellidae","Aplysilla","Demospongiae","Aplysilla glacialis",NA,NA,NA,NA,"Chukchi Sea"
"31",405664,405664,602521,"Species","Arcteobia anticostiensis","(Mcintosh, 1874)",157214,14,1,"Annelida","Phyllodocida","Polynoidae","Arcteobia","Polychaeta","Arcteobia anticostiensis",NA,NA,NA,NA,"Chukchi Sea"
