"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"1",625,625,523185,"Subspecies","Tylosurus acus melanotus","(Bleeker, 1850)",293756,1,1,"Chordata","Beloniformes","Belonidae","Tylosurus","Tylosurus acus","Actinopteri",NA,NA,NA,"Clipperton"
"2",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,1,1,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,"Clipperton"
"3",396215,396215,396214,"Species","Acanthurus achilles","Shaw, 1803",272957,2,1,"Chordata","Perciformes","Acanthuridae","Acanthurus","Acanthurus achilles","Actinopteri",TRUE,"LC",NA,"Clipperton"
"4",396238,396238,396214,"Species","Acanthurus guttatus","Forster, 1801",219650,2,2,"Chordata","Perciformes","Acanthuridae","Acanthurus","Acanthurus guttatus","Actinopteri",TRUE,"LC",NA,"Clipperton"
"5",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",106671,1,1,"Arthropoda","Decapoda",NA,NA,NA,"Malacostraca",NA,NA,NA,"Clipperton"
"6",412548,412548,696023,"Species","Bothus pantherinus","(Rüppell, 1830)",219795,2,2,"Chordata","Pleuronectiformes","Bothidae","Bothus","Bothus pantherinus","Actinopteri",NA,NA,NA,"Clipperton"
"7",413296,413296,740231,"Genus","Brotula","Cuvier, 1829",159065,1,1,"Chordata","Ophidiiformes","Ophidiidae","Brotula",NA,"Actinopteri",NA,NA,NA,"Clipperton"
"8",416282,416282,416280,"Species","Cantherhines dumerilii","(Hollard, 1854)",276248,3,2,"Chordata","Tetraodontiformes","Monacanthidae","Cantherhines","Cantherhines dumerilii","Actinopteri",NA,NA,NA,"Clipperton"
"9",416659,416659,696227,"Species","Caranx lugubris","Poey, 1860",126805,4,2,"Chordata","Perciformes","Carangidae","Caranx","Caranx lugubris","Actinopteri",NA,NA,NA,"Clipperton"
"10",416732,416732,696240,"Species","Carcharhinus albimarginatus","(Rüppell, 1837)",217352,4,2,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus albimarginatus","Elasmobranchii",TRUE,"NT",NA,"Clipperton"
"11",416747,416747,696240,"Species","Carcharhinus galapagensis","(Snodgrass & Heller, 1905)",105790,5,2,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus galapagensis","Elasmobranchii",TRUE,"NT",NA,"Clipperton"
"12",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,8,2,"Mollusca",NA,NA,NA,NA,"Cephalopoda",NA,NA,NA,"Clipperton"
"13",420218,420218,773827,"Species","Chanos chanos","(Forsskål, 1775)",217625,1,1,"Chordata","Gonorhynchiformes","Chanidae","Chanos","Chanos chanos","Actinopteri",NA,NA,NA,"Clipperton"
"14",420623,420623,746041,"Genus","Cheilopogon","Lowe, 1841",125691,1,1,"Chordata","Beloniformes","Exocoetidae","Cheilopogon",NA,"Actinopteri",NA,NA,NA,"Clipperton"
