"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"1",625,625,523185,"Subspecies","Tylosurus acus melanotus","(Bleeker, 1850)",293756,1,1,"Chordata","Beloniformes","Belonidae","Tylosurus","Tylosurus acus","Actinopteri",NA,NA,NA,"Cocos Islands"
"2",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,3,3,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",NA,NA,NA,"Cocos Islands"
"3",395737,395737,395729,"Species","Acanthemblemaria macrospilus","Brock, 1940",279455,5,2,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria macrospilus","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"4",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,9,2,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"5",398410,398410,398391,"Species","Aega plebeia","Hansen, 1897",NA,1,1,"Arthropoda","Isopoda","Aegidae","Aega","Aega plebeia","Malacostraca",NA,NA,NA,"Cocos Islands"
"6",398748,398748,398744,"Species","Agalma okeni","Eschscholtz, 1825",135485,2,1,"Cnidaria","Siphonophorae","Agalmatidae","Agalma","Agalma okeni","Hydrozoa",NA,NA,NA,"Cocos Islands"
"7",399797,399797,737741,"Species","Alphestes multiguttatus","(Günther, 1867)",279569,1,1,"Chordata","Perciformes","Serranidae","Alphestes","Alphestes multiguttatus","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"8",402573,402573,695543,"Species","Anchoa argentivittata","(Regan, 1904)",275507,1,1,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa argentivittata","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"9",402600,402600,695543,"Species","Anchoa nasus","(Kner & Steindachner, 1867)",275528,1,1,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa nasus","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"10",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",106671,2,1,"Arthropoda","Decapoda",NA,NA,NA,"Malacostraca",NA,NA,NA,"Cocos Islands"
"11",403463,403463,695596,"Species","Antennarius commerson","(Lacepède, 1798)",217852,1,1,"Chordata","Lophiiformes","Antennariidae","Antennarius","Antennarius commerson","Actinopteri",NA,NA,NA,"Cocos Islands"
"12",404236,404236,738559,"Species","Aphareus furca","(Lacepède, 1801)",218470,7,2,"Chordata","Perciformes","Lutjanidae","Aphareus","Aphareus furca","Actinopteri",NA,NA,NA,"Cocos Islands"
"13",404318,404318,404315,"Species","Aphrocallistes vastus","Schulze, 1886",171632,3,3,"Porifera","Hexactinosida","Aphrocallistidae","Aphrocallistes","Aphrocallistes vastus","Hexactinellida",NA,NA,NA,"Cocos Islands"
"14",405617,405617,738774,"Species","Arcos poecilophthalmos","(Jenyns, 1842)",279684,2,1,"Chordata","Gobiesociformes","Gobiesocidae","Arcos","Arcos poecilophthalmos","Actinopteri",NA,NA,NA,"Cocos Islands"
"15",405619,405619,738774,"Species","Arcos rhodospilus","(Günther, 1864)",279685,5,2,"Chordata","Gobiesociformes","Gobiesocidae","Arcos","Arcos rhodospilus","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"16",405962,405962,405954,"Species","Argyropelecus hemigymnus","Cocco, 1829",127309,1,1,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus hemigymnus","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"17",407902,407902,739246,"Species","Atherinella eriarcha","Jordan & Gilbert, 1882",279800,5,2,"Chordata","Atheriniformes","Atherinopsidae","Atherinella","Atherinella eriarcha","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"18",408443,408443,739328,"Genus","Aulopus","Cloquet, 1816",125663,1,1,"Chordata","Aulopiformes","Aulopidae","Aulopus",NA,"Actinopteri",NA,NA,NA,"Cocos Islands"
"19",408926,408926,776222,"Species","Axoclinus cocoensis","Bussing, 1991",279846,29,2,"Chordata","Perciformes","Tripterygiidae","Axoclinus","Axoclinus cocoensis","Actinopteri",TRUE,"VU",NA,"Cocos Islands"
"20",409238,409238,739484,"Species","Balaenoptera musculus","(Linnaeus, 1758)",137090,2,2,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus","Mammalia",TRUE,"EN",NA,"Cocos Islands"
"21",410103,410103,753851,"Genus","Bascanichthys","Jordan & Davis, 1891",158599,1,1,"Chordata","Anguilliformes","Ophichthidae","Bascanichthys",NA,"Actinopteri",NA,NA,NA,"Cocos Islands"
"22",410207,410207,739619,"Species","Bathophilus filifer","(Garman, 1899)",275045,1,1,"Chordata","Stomiiformes","Stomiidae","Bathophilus","Bathophilus filifer","Actinopteri",NA,NA,NA,"Cocos Islands"
"23",411350,411350,411346,"Species","Benthodytes sanguinolenta","Théel, 1882",241785,1,1,"Echinodermata","Elasipodida","Psychropotidae","Benthodytes","Benthodytes sanguinolenta","Holothuroidea",NA,NA,NA,"Cocos Islands"
"24",412538,412538,696023,"Species","Bothus constellatus","(Jordan, 1889)",274183,8,3,"Chordata","Pleuronectiformes","Bothidae","Bothus","Bothus constellatus","Actinopteri",NA,NA,NA,"Cocos Islands"
"25",412777,412777,738303,"Phylum","Brachiopoda","Duméril, 1805",1803,1,1,"Brachiopoda",NA,NA,NA,NA,NA,NA,NA,NA,"Cocos Islands"
"26",414543,414543,774525,"Species","Calcidiscus leptoporus","(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978",235923,3,1,"Haptophyta","Coccolithales","Calcidiscaceae","Calcidiscus","Calcidiscus leptoporus","Prymnesiophyceae",NA,NA,NA,"Cocos Islands"
"27",414705,414705,740540,"Species","Callechelys eristigma","McCosker & Rosenblatt, 1972",275466,2,2,"Chordata","Anguilliformes","Ophichthidae","Callechelys","Callechelys eristigma","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"28",416282,416282,416280,"Species","Cantherhines dumerilii","(Hollard, 1854)",276248,2,1,"Chordata","Tetraodontiformes","Monacanthidae","Cantherhines","Cantherhines dumerilii","Actinopteri",NA,NA,NA,"Cocos Islands"
"29",416659,416659,696227,"Species","Caranx lugubris","Poey, 1860",126805,2,1,"Chordata","Perciformes","Carangidae","Caranx","Caranx lugubris","Actinopteri",NA,NA,NA,"Cocos Islands"
"30",416695,416695,740892,"Species","Carapus dubius","(Putnam, 1874)",272778,2,2,"Chordata","Ophidiiformes","Carapidae","Carapus","Carapus dubius","Actinopteri",TRUE,"DD",NA,"Cocos Islands"
"31",416732,416732,696240,"Species","Carcharhinus albimarginatus","(Rüppell, 1837)",217352,6,2,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus albimarginatus","Elasmobranchii",TRUE,"NT",NA,"Cocos Islands"
"32",416747,416747,696240,"Species","Carcharhinus galapagensis","(Snodgrass & Heller, 1905)",105790,3,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus galapagensis","Elasmobranchii",TRUE,"NT",NA,"Cocos Islands"
"33",416756,416756,696240,"Species","Carcharhinus longimanus","(Poey, 1861)",105794,1,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus longimanus","Elasmobranchii",TRUE,"VU",NA,"Cocos Islands"
"34",417267,417267,741049,"Genus","Caryophyllia","Lamarck, 1801",135085,2,2,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia",NA,"Anthozoa",NA,NA,NA,"Cocos Islands"
"35",417309,417309,417267,"Species","Caryophyllia diomedeae","Marenzeller, 1904",135139,10,3,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia diomedeae","Anthozoa",NA,NA,NA,"Cocos Islands"
"36",417339,417339,417267,"Species","Caryophyllia perculta","Cairns, 1991",286757,5,4,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia perculta","Anthozoa",NA,NA,NA,"Cocos Islands"
"37",418237,418237,418226,"Species","Centropages furcatus","(Dana, 1849)",104495,1,1,"Arthropoda","Calanoida","Centropagidae","Centropages","Centropages furcatus",NA,NA,NA,NA,"Cocos Islands"
"38",418352,418352,741288,"Species","Centroscyllium nigrum","Garman, 1899",271623,1,1,"Chordata","Squaliformes","Etmopteridae","Centroscyllium","Centroscyllium nigrum","Elasmobranchii",TRUE,"DD",NA,"Cocos Islands"
"39",418366,418366,744274,"Genus","Centrostephanus","Peters, 1855",123394,1,1,"Echinodermata","Diadematoida","Diadematidae","Centrostephanus",NA,"Echinoidea",NA,NA,NA,"Cocos Islands"
"40",418430,418430,418406,"Species","Cephalopholis panamensis","(Steindachner, 1877)",279152,3,2,"Chordata","Perciformes","Serranidae","Cephalopholis","Cephalopholis panamensis","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"41",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,3,1,"Mollusca",NA,NA,NA,NA,"Cephalopoda",NA,NA,NA,"Cocos Islands"
