"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",625,625,523185,"Subspecies","Tylosurus acus melanotus","(Bleeker, 1850)",293756,1,1,"Chordata","Beloniformes","Belonidae","Tylosurus","Tylosurus acus","Actinopteri",NA,NA,NA,NA,"Cortezian"
"2",395528,395528,695219,"Species","Abudefduf declivifrons","(Gill, 1862)",273698,50,4,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf declivifrons","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"3",395697,395697,395694,"Species","Acanthaster planci","(Linnaeus, 1758)",213289,3,1,"Echinodermata","Valvatida","Acanthasteridae","Acanthaster","Acanthaster planci","Asteroidea",NA,NA,TRUE,NA,"Cortezian"
"4",395731,395731,395729,"Species","Acanthemblemaria balanorum","Brock, 1940",279445,16,3,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria balanorum","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"5",395733,395733,395729,"Species","Acanthemblemaria crockeri","Beebe & Tee-Van, 1938",279449,159,3,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria crockeri","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"6",395737,395737,395729,"Species","Acanthemblemaria macrospilus","Brock, 1940",279455,77,4,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria macrospilus","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"7",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,7,2,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"8",396215,396215,396214,"Species","Acanthurus achilles","Shaw, 1803",272957,9,2,"Chordata","Perciformes","Acanthuridae","Acanthurus","Acanthurus achilles","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"9",396587,396587,396583,"Species","Acharax johnsoni","(Dall, 1891)",293239,2,2,"Mollusca","Solemyoida","Solemyidae","Acharax","Acharax johnsoni","Bivalvia",NA,NA,NA,NA,"Cortezian"
"10",398508,398508,737469,"Genus","Aeolidia","Cuvier, 1798",137630,1,1,"Mollusca","Nudibranchia","Aeolidiidae","Aeolidia",NA,"Gastropoda",NA,NA,NA,NA,"Cortezian"
"11",398909,398909,398885,"Species","Aglaophenia trifida","Agassiz, 1862",284059,1,1,"Cnidaria","Leptothecata","Aglaopheniidae","Aglaophenia","Aglaophenia trifida","Hydrozoa",NA,NA,NA,NA,"Cortezian"
"12",399044,399044,399042,"Species","Ahnfeltia plicata","(Hudson) E.M.Fries, 1836",144422,1,1,"Rhodophyta","Ahnfeltiales","Ahnfeltiaceae","Ahnfeltia","Ahnfeltia plicata","Florideophyceae",NA,NA,NA,NA,"Cortezian"
"13",399066,399066,775631,"Species","Aidanosagitta neglecta","(Aida, 1897)",266708,1,1,"Chaetognatha","Aphragmophora","Sagittidae","Aidanosagitta","Aidanosagitta neglecta","Sagittoidea",NA,NA,NA,NA,"Cortezian"
"14",399068,399068,775631,"Species","Aidanosagitta regularis","(Aida, 1897)",266712,1,1,"Chaetognatha","Aphragmophora","Sagittidae","Aidanosagitta","Aidanosagitta regularis","Sagittoidea",NA,NA,NA,NA,"Cortezian"
"15",399118,399118,775756,"Species","Aiptasiomorpha elongata","Carlgren, 1951",289373,3,1,"Cnidaria","Actiniaria","Aiptasiomorphidae","Aiptasiomorpha","Aiptasiomorpha elongata","Anthozoa",NA,NA,NA,NA,"Cortezian"
"16",399530,399530,737676,"Species","Alicia beebei","Carlgren, 1940",283494,2,1,"Cnidaria","Actiniaria","Aliciidae","Alicia","Alicia beebei","Anthozoa",NA,NA,NA,NA,"Cortezian"
"17",399565,399565,774445,"Species","Alitta succinea","(Leuckart, 1847)",234850,3,1,"Annelida","Phyllodocida","Nereididae","Alitta","Alitta succinea","Polychaeta",NA,NA,TRUE,NA,"Cortezian"
"18",399636,399636,1014239,"Genus","Allogromia","Rhumbler, 1904",111978,3,1,"Foraminifera","Allogromiida","Allogromiidae","Allogromia",NA,"Monothalamea",NA,NA,NA,NA,"Cortezian"
"19",399797,399797,737741,"Species","Alphestes multiguttatus","(Günther, 1867)",279569,26,3,"Chordata","Perciformes","Serranidae","Alphestes","Alphestes multiguttatus","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"20",399902,399902,399798,"Species","Alpheus normanni","Kingsley, 1878",158349,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus","Alpheus normanni","Malacostraca",NA,NA,NA,NA,"Cortezian"
