"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","ecoregion"
"1",396242,396242,396214,"Species","Acanthurus leucopareius","(Jenkins, 1903)",219624,TRUE,"LC",1,1,"Chordata","Perciformes","Acanthuridae","Acanthurus","Acanthurus leucopareius","Actinopteri","Easter Island"
"2",404635,404635,769372,"Genus","Aplysilla","Schulze, 1878",131738,NA,NA,4,2,"Porifera","Dendroceratida","Darwinellidae","Aplysilla",NA,"Demospongiae","Easter Island"
"3",405925,405925,405924,"Subspecies","Argopecten irradians concentricus","(Say, 1822)",394266,NA,NA,7,1,"Mollusca","Pectinoida","Pectinidae","Argopecten","Argopecten irradians","Bivalvia","Easter Island"
"4",407258,407258,407257,"Species","Asteropus simplex","(Carter, 1879)",169793,NA,NA,8,2,"Porifera","Tetractinellida","Ancorinidae","Asteropus","Asteropus simplex","Demospongiae","Easter Island"
"5",416174,416174,609426,"Species","Candacia ethiopica","(Dana, 1849)",104478,NA,NA,1,1,"Arthropoda","Calanoida","Candaciidae","Candacia","Candacia ethiopica",NA,"Easter Island"
"6",416291,416291,416280,"Species","Cantherhines tiki","Randall, 1964",276254,NA,NA,1,1,"Chordata","Tetraodontiformes","Monacanthidae","Cantherhines","Cantherhines tiki","Actinopteri","Easter Island"
"7",418320,418320,418300,"Species","Centropyge hotumatua","Randall & Caldwell, 1973",278838,TRUE,"LC",1,1,"Chordata","Perciformes","Pomacanthidae","Centropyge","Centropyge hotumatua","Actinopteri","Easter Island"
"8",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,NA,NA,1,1,"Mollusca",NA,NA,NA,NA,"Cephalopoda","Easter Island"
"9",420586,420586,420576,"Species","Cheilodactylus plessisi","Randall, 1983",311549,NA,NA,1,1,"Chordata","Perciformes","Cheilodactylidae","Cheilodactylus","Cheilodactylus plessisi","Actinopteri","Easter Island"
"10",421413,421413,779196,"Genus","Chlamys","Röding, 1798",138315,NA,NA,1,1,"Mollusca","Pectinoida","Pectinidae","Chlamys",NA,"Bivalvia","Easter Island"
"11",426729,426729,426683,"Species","Coralliophila violacea","(Kiener, 1836)",208125,NA,NA,1,1,"Mollusca","Neogastropoda","Muricidae","Coralliophila","Coralliophila violacea","Gastropoda","Easter Island"
"12",426942,426942,742918,"Species","Coris debueni","Randall, 1999",273553,TRUE,"LC",7,6,"Chordata","Perciformes","Labridae","Coris","Coris debueni","Actinopteri","Easter Island"
"13",433185,433185,769806,"Species","Dermochelys coriacea","(Vandelli, 1761)",137209,TRUE,"VU",10,1,"Chordata","Testudines","Dermochelyidae","Dermochelys","Dermochelys coriacea","Reptilia","Easter Island"
"14",440784,440784,745572,"Species","Euaugaptilus hecticus","(Giesbrecht, 1893)",104394,NA,NA,1,1,"Arthropoda","Calanoida","Augaptilidae","Euaugaptilus","Euaugaptilus hecticus",NA,"Easter Island"
"15",440941,440941,625137,"Species","Euchaeta spinosa","Giesbrecht, 1893",104555,NA,NA,1,1,"Arthropoda","Calanoida","Euchaetidae","Euchaeta","Euchaeta spinosa",NA,"Easter Island"
"16",452102,452102,747819,"Species","Heliacus implexus","(Mighels, 1845)",214974,NA,NA,1,1,"Mollusca","Heterobranchia incertae sedis","Architectonicidae","Heliacus","Heliacus implexus","Gastropoda","Easter Island"
"17",453637,453637,453636,"Species","Heteropriacanthus cruentatus","(Lacepède, 1801)",127004,NA,NA,1,1,"Chordata","Perciformes","Priacanthidae","Heteropriacanthus","Heteropriacanthus cruentatus","Actinopteri","Easter Island"
"18",454691,454691,768893,"Species","Holothuria (Platyperona) difficilis","Semper, 1868",148752,NA,NA,1,1,"Echinodermata","Aspidochirotida","Holothuriidae","Holothuria","Holothuria (Platyperona) difficilis","Holothuroidea","Easter Island"
"19",456564,456564,1013623,"Genus","Iasis","Savigny, 1816",158535,NA,NA,2,1,"Chordata","Salpida","Salpidae","Iasis",NA,"Thaliacea","Easter Island"
"20",456978,456978,456973,"Species","Imbricaria punctata","(Swainson, 1821)",208146,NA,NA,1,1,"Mollusca","Neogastropoda","Mitridae","Imbricaria","Imbricaria punctata","Gastropoda","Easter Island"
"21",457602,457602,767334,"Species","Isoedwardsia ignota","Carlgren, 1920",283552,NA,NA,6,3,"Cnidaria","Actiniaria","Edwardsiidae","Isoedwardsia","Isoedwardsia ignota","Anthozoa","Easter Island"
"22",459023,459023,698147,"Species","Kyphosus bigibbus","Lacepède, 1801",218707,NA,NA,1,1,"Chordata","Perciformes","Kyphosidae","Kyphosus","Kyphosus bigibbus","Actinopteri","Easter Island"
