"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",499,499,643613,"Species","Meringosphaera mediterranea","Lohmann, 1903",248129,7,1,"Ochrophyta","Mischococcales","Pleurochloridaceae","Meringosphaera","Meringosphaera mediterranea","Xanthophyceae",NA,NA,NA,NA,"Eastern Brazil"
"2",395447,395447,700476,"Genus","Abra","Lamarck, 1818",138474,5,1,"Mollusca","Cardiida","Semelidae","Abra",NA,"Bivalvia",NA,NA,NA,NA,"Eastern Brazil"
"3",395561,395561,695219,"Species","Abudefduf vaigiensis","(Quoy & Gaimard, 1825)",212879,1,1,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf vaigiensis","Actinopteri",NA,NA,NA,NA,"Eastern Brazil"
"4",395604,395604,750380,"Genus","Abyssoninoe","Orensanz, 1990",129331,1,1,"Annelida","Eunicida","Lumbrineridae","Abyssoninoe",NA,"Polychaeta",NA,NA,NA,NA,"Eastern Brazil"
"5",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,5,2,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",NA,NA,NA,NA,"Eastern Brazil"
"6",395651,395651,395650,"Species","Acanella arbuscula","(Johnson, 1862)",125371,3,1,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella arbuscula","Anthozoa",NA,NA,NA,NA,"Eastern Brazil"
"7",395754,395754,695236,"Species","Acanthephyra eximia","Smith, 1884",564909,2,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra eximia","Malacostraca",NA,NA,NA,NA,"Eastern Brazil"
"8",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,2,2,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,NA,"Eastern Brazil"
"9",395973,395973,395971,"Species","Acanthoica quattrospina","Lohmann, 1903",235802,3,1,"Haptophyta","Syracosphaerales","Rhabdosphaeraceae","Acanthoica","Acanthoica quattrospina","Prymnesiophyceae",NA,NA,NA,NA,"Eastern Brazil"
"10",396073,396073,771677,"Species","Acanthonus armatus","Günther, 1878",158998,1,1,"Chordata","Ophidiiformes","Ophidiidae","Acanthonus","Acanthonus armatus","Actinopteri",NA,NA,NA,NA,"Eastern Brazil"
"11",396204,396204,754094,"Genus","Acanthostracion","Bleeker, 1865",126237,10,1,"Chordata","Tetraodontiformes","Ostraciidae","Acanthostracion",NA,"Actinopteri",NA,NA,NA,NA,"Eastern Brazil"
"12",396214,396214,737105,"Genus","Acanthurus","Forsskål, 1775",125908,1,1,"Chordata","Perciformes","Acanthuridae","Acanthurus",NA,"Actinopteri",NA,NA,NA,NA,"Eastern Brazil"
"13",396298,396298,772018,"Genus","Acarnus","Gray, 1867",167337,1,1,"Porifera","Poecilosclerida","Acarnidae","Acarnus",NA,"Demospongiae",NA,NA,NA,NA,"Eastern Brazil"
"14",396302,396302,396298,"Species","Acarnus radovani","(Boury-Esnault, 1973)",167350,1,1,"Porifera","Poecilosclerida","Acarnidae","Acarnus","Acarnus radovani","Demospongiae",NA,NA,NA,NA,"Eastern Brazil"
"15",396305,396305,396298,"Species","Acarnus toxeata","Boury-Esnault, 1973",167357,3,3,"Porifera","Poecilosclerida","Acarnidae","Acarnus","Acarnus toxeata","Demospongiae",NA,NA,NA,NA,"Eastern Brazil"
"16",396505,396505,768152,"Species","Acervulina inhaerens","Schulze, 1854",112827,1,1,"Foraminifera","Rotaliida","Acervulinidae","Acervulina","Acervulina inhaerens","Globothalamea",NA,NA,NA,NA,"Eastern Brazil"
"17",396799,396799,396798,"Species","Acinetospora crinita","(Carmichael) Sauvageau, 1899",145398,1,1,"Ochrophyta","Ectocarpales","Acinetosporaceae","Acinetospora","Acinetospora crinita","Phaeophyceae",NA,NA,NA,NA,"Eastern Brazil"
"18",396851,396851,396867,"Genus","Acmaea","Eschscholtz, 1833",137616,5,1,"Mollusca",NA,"Acmaeidae","Acmaea",NA,"Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"19",396961,396961,695290,"Species","Acrocalanus longicornis","Giesbrecht, 1888",104646,17,2,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus longicornis",NA,NA,NA,NA,NA,"Eastern Brazil"
"20",397019,397019,396983,"Species","Acrochaetium microscopicum","(Nägeli ex Kützing) Nägeli, 1858",144368,9,1,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium","Acrochaetium microscopicum","Florideophyceae",NA,NA,NA,NA,"Eastern Brazil"
"21",397368,397368,397365,"Species","Acrosorium ciliolatum","(Harvey) Kylin, 1924",295874,2,1,"Rhodophyta","Ceramiales","Delesseriaceae","Acrosorium","Acrosorium ciliolatum","Florideophyceae",NA,NA,NA,NA,"Eastern Brazil"
"22",397524,397524,597146,"Species","Acteocina lepta","Woodring, 1928",420534,2,2,"Mollusca","Cephalaspidea","Acteocinidae","Acteocina","Acteocina lepta","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"23",397533,397533,737331,"Genus","Acteon","Montfort, 1810",137618,19,3,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon",NA,"Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"24",397627,397627,737334,"Species","Actinia bermudensis","(McMurrich, 1889)",283273,7,1,"Cnidaria","Actiniaria","Actiniidae","Actinia","Actinia bermudensis","Anthozoa",NA,NA,NA,NA,"Eastern Brazil"
"25",398029,398029,770756,"Genus","Actinoptychus","Ehrenberg, 1843",148947,1,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus",NA,"Bacillariophyceae",NA,NA,NA,NA,"Eastern Brazil"
