"","id","valid_id","parent_id","rank_name","tname","tauthor","records","datasets","phylum","order","family","genus","species","class","worms_id","redlist","status","gisd","hab","ecoregion"
"1",505,505,803357,"Species","Mithrax (Mithraculus) corphye","(Herbst)",1,1,"Arthropoda","Decapoda","Majidae","Mithrax","Mithrax (Mithraculus) corphye","Malacostraca",NA,NA,NA,NA,NA,"Eastern Caribbean"
"2",619,619,793677,"Species","Sthenorytis pernobilis","(P. Fischer & Bernardi, 1857)",1,1,"Mollusca","Caenogastropoda incertae sedis","Epitoniidae","Sthenorytis","Sthenorytis pernobilis","Gastropoda",419829,NA,NA,NA,NA,"Eastern Caribbean"
"3",395555,395555,695219,"Species","Abudefduf sordidus","(Forsskål, 1775)",1,1,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf sordidus","Actinopteri",212888,NA,NA,NA,NA,"Eastern Caribbean"
"4",395650,395650,748828,"Genus","Acanella","Gray, 1870",22,2,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",125303,NA,NA,NA,NA,"Eastern Caribbean"
"5",395653,395653,395650,"Species","Acanella eburnea","(Pourtalès, 1868)",2,2,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella eburnea","Anthozoa",286299,NA,NA,NA,NA,"Eastern Caribbean"
"6",395657,395657,774929,"Species","Acanthacaris caeca","A. Milne-Edwards, 1881",22,3,"Arthropoda","Decapoda","Nephropidae","Acanthacaris","Acanthacaris caeca","Malacostraca",293250,TRUE,"LC",NA,NA,"Eastern Caribbean"
"7",395729,395729,741512,"Genus","Acanthemblemaria","Metzelaar, 1919",1,1,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria",NA,"Actinopteri",254882,NA,NA,NA,NA,"Eastern Caribbean"
"8",395743,395743,395729,"Species","Acanthemblemaria spinosa","Metzelaar, 1919",65,7,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria spinosa","Actinopteri",254883,TRUE,"LC",NA,NA,"Eastern Caribbean"
"9",395761,395761,695236,"Species","Acanthephyra kingsleyi","Spence Bate, 1888",2,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra kingsleyi","Malacostraca",240810,NA,NA,NA,NA,"Eastern Caribbean"
"10",395815,395815,395814,"Species","Acanthocarpus alexandri","Stimpson, 1871",1,1,"Arthropoda","Decapoda","Calappidae","Acanthocarpus","Acanthocarpus alexandri","Malacostraca",158044,NA,NA,NA,NA,"Eastern Caribbean"
"11",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",140,3,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",127014,TRUE,"LC",NA,NA,"Eastern Caribbean"
"12",396214,396214,737105,"Genus","Acanthurus","Forsskål, 1775",4,3,"Chordata","Perciformes","Acanthuridae","Acanthurus",NA,"Actinopteri",125908,NA,NA,NA,NA,"Eastern Caribbean"
"13",396529,396529,770277,"Genus","Acetabularia","J.V.Lamouroux, 1812",14,2,"Chlorophyta","Dasycladales","Polyphysaceae","Acetabularia",NA,"Ulvophyceae",144059,NA,NA,NA,NA,"Eastern Caribbean"
"14",396838,396838,779102,"Family","Aclididae","G.O. Sars, 1878",2,1,"Mollusca","Littorinimorpha","Aclididae",NA,NA,"Gastropoda",134,NA,NA,NA,NA,"Eastern Caribbean"
"15",396961,396961,695290,"Species","Acrocalanus longicornis","Giesbrecht, 1888",1,1,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus longicornis",NA,104646,NA,NA,NA,NA,"Eastern Caribbean"
"16",397092,397092,772910,"Genus","Acropora","Oken, 1815",1,1,"Cnidaria","Scleractinia","Acroporidae","Acropora",NA,"Anthozoa",205469,NA,NA,NA,NA,"Eastern Caribbean"
"17",397239,397239,397092,"Species","Acropora muricata","(Linnaeus, 1758)",6,1,"Cnidaria","Scleractinia","Acroporidae","Acropora","Acropora muricata","Anthozoa",207007,NA,NA,NA,NA,"Eastern Caribbean"
"18",397439,397439,397433,"Species","Acryptolaria longitheca","(Allman, 1877)",1,1,"Cnidaria","Leptothecata","Lafoeidae","Acryptolaria","Acryptolaria longitheca","Hydrozoa",117681,NA,NA,NA,NA,"Eastern Caribbean"
