"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","gisd","hab","ecoregion"
"1",395486,395486,438892,"Genus","Abraliopsis","Joubin, 1896",137931,1,1,"Mollusca","Oegopsida","Enoploteuthidae","Abraliopsis","Cephalopoda",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"2",395571,395571,695224,"Species","Abyla trigona","Quoy & Gaimard, 1827",135402,2,1,"Cnidaria","Siphonophorae","Abylidae","Abyla","Hydrozoa","Abyla trigona",NA,NA,NA,NA,"Eastern Galapagos Islands"
"3",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,923,2,"Chordata","Perciformes","Scombridae","Acanthocybium","Actinopteri","Acanthocybium solandri",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"4",398748,398748,398744,"Species","Agalma okeni","Eschscholtz, 1825",135485,4,1,"Cnidaria","Siphonophorae","Agalmatidae","Agalma","Hydrozoa","Agalma okeni",NA,NA,NA,NA,"Eastern Galapagos Islands"
"5",398908,398908,398885,"Species","Aglaophenia struthionides","(Murray, 1860)",284054,2,1,"Cnidaria","Leptothecata","Aglaopheniidae","Aglaophenia","Hydrozoa","Aglaophenia struthionides",NA,NA,NA,NA,"Eastern Galapagos Islands"
"6",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",117851,1,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Hydrozoa","Aglaura hemistoma",NA,NA,NA,NA,"Eastern Galapagos Islands"
"7",399797,399797,737741,"Species","Alphestes multiguttatus","(Günther, 1867)",279569,1,1,"Chordata","Perciformes","Serranidae","Alphestes","Actinopteri","Alphestes multiguttatus",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"8",399882,399882,399798,"Species","Alpheus lottini","Guérin-Méneville, 1838 [in Guérin-Méneville, 1829-1838]",210544,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus","Malacostraca","Alpheus lottini",NA,NA,NA,NA,"Eastern Galapagos Islands"
"9",399910,399910,399798,"Species","Alpheus paracrinitus","Miers, 1881",210522,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus","Malacostraca","Alpheus paracrinitus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"10",401285,860866,695475,"Species","Amphioplus daleus","(Lyman, 1879)",182963,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphioplus","Ophiuroidea","Amphioplus daleus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"11",402573,402573,695543,"Species","Anchoa argentivittata","(Regan, 1904)",275507,4,3,"Chordata","Clupeiformes","Engraulidae","Anchoa","Actinopteri","Anchoa argentivittata",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
