"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","ecoregion"
"1",395568,395568,695224,"Species","Abyla haeckeli","Lens & van Riemsdijk, 1908",196556,1,1,"Cnidaria","Siphonophorae","Abylidae","Abyla","Abyla haeckeli","Hydrozoa",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"2",395761,395761,695236,"Species","Acanthephyra kingsleyi","Spence Bate, 1888",240810,1,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra kingsleyi","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"3",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,143,1,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC","Fernando de Naronha and Atoll das Rocas"
"4",396961,396961,695290,"Species","Acrocalanus longicornis","Giesbrecht, 1888",104646,3,1,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus longicornis",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"5",398215,398215,776117,"Species","Acyrtus artius","Briggs, 1955",279505,1,1,"Chordata","Gobiesociformes","Gobiesocidae","Acyrtus","Acyrtus artius","Actinopteri",TRUE,"LC","Fernando de Naronha and Atoll das Rocas"
"6",398748,398748,398744,"Species","Agalma okeni","Eschscholtz, 1825",135485,1,1,"Cnidaria","Siphonophorae","Agalmatidae","Agalma","Agalma okeni","Hydrozoa",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"7",398822,398822,398817,"Species","Agelas dispar","Duchassaing & Michelotti, 1864",164827,1,1,"Porifera","Agelasida","Agelasidae","Agelas","Agelas dispar","Demospongiae",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"8",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",117851,1,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Aglaura hemistoma","Hydrozoa",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"9",399910,399910,399798,"Species","Alpheus paracrinitus","Miers, 1881",210522,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus","Alpheus paracrinitus","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"10",402024,402024,1014255,"Genus","Ampithoe","Leach, 1814",101459,1,1,"Arthropoda","Amphipoda","Ampithoidae","Ampithoe",NA,"Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"11",405265,405265,768659,"Species","Arachnomysis megalops","Zimmer, 1914",226687,1,1,"Arthropoda","Mysida","Mysidae","Arachnomysis","Arachnomysis megalops","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"12",407134,407134,407119,"Species","Asterolampra marylandica","Ehrenberg, 1844",248070,1,1,"Ochrophyta","Asterolamprales","Asterolampraceae","Asterolampra","Asterolampra marylandica","Bacillariophyceae",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"13",408762,408762,695838,"Species","Automate evermanni","Rathbun, 1901",240860,1,1,"Arthropoda","Decapoda","Alpheidae","Automate","Automate evermanni","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"14",411021,411021,768185,"Species","Beella digitata","(Brady, 1879)",113433,2,2,"Foraminifera","Globigerinida","Globigerinidae","Beella","Beella digitata","Globothalamea",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"15",411051,411051,775783,"Species","Bellactis ilkalyseae","Dube, 1983",289505,2,1,"Cnidaria","Actiniaria","Aiptasiidae","Bellactis","Bellactis ilkalyseae","Anthozoa",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"16",411208,411208,404106,"Genus","Bemlos","Shoemaker, 1925",101467,1,1,"Arthropoda","Amphipoda","Aoridae","Bemlos",NA,"Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"17",411227,411227,411208,"Species","Bemlos unicornis","(Bynum & Fox, 1977)",421560,2,1,"Arthropoda","Amphipoda","Aoridae","Bemlos","Bemlos unicornis","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"18",411394,411394,695978,"Species","Benthosema suborbitale","(Gilbert, 1913)",126581,3,3,"Chordata","Myctophiformes","Myctophidae","Benthosema","Benthosema suborbitale","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"19",411908,411908,1011179,"Genus","Blennius","Linnaeus, 1758",125915,1,1,"Chordata","Perciformes","Blenniidae","Blennius",NA,"Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"20",412146,412146,696002,"Species","Bolinichthys pyrsobolus","(Alcock, 1890)",272652,4,2,"Chordata","Myctophiformes","Myctophidae","Bolinichthys","Bolinichthys pyrsobolus","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"21",412811,412811,767862,"Species","Brachycarpus biunguiculatus","(Lucas, 1846)",107611,2,1,"Arthropoda","Decapoda","Palaemonidae","Brachycarpus","Brachycarpus biunguiculatus","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"22",414345,414345,768660,"Species","Caesaromysis hispida","Ortmann, 1893",119978,1,1,"Arthropoda","Mysida","Mysidae","Caesaromysis","Caesaromysis hispida","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"23",414494,414494,414484,"Species","Calappa gallus","(Herbst, 1803)",209502,1,1,"Arthropoda","Decapoda","Calappidae","Calappa","Calappa gallus","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"24",414543,414543,774525,"Species","Calcidiscus leptoporus","(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978",235923,9,1,"Haptophyta","Coccolithales","Calcidiscaceae","Calcidiscus","Calcidiscus leptoporus","Prymnesiophyceae",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"25",414838,414838,414831,"Species","Callinectes ornatus","Ordway, 1863",158053,1,1,"Arthropoda","Decapoda","Portunidae","Callinectes","Callinectes ornatus","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"26",415421,415421,608894,"Species","Calocalanus pavoninus","Farran, 1936",104670,5,1,"Arthropoda","Calanoida","Paracalanidae","Calocalanus","Calocalanus pavoninus",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"27",415422,415422,608894,"Species","Calocalanus plumulosus","(Claus, 1863)",211848,2,1,"Arthropoda","Calanoida","Paracalanidae","Calocalanus","Calocalanus plumulosus",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"28",416183,416183,609426,"Species","Candacia pachydactyla","(Dana, 1849)",104483,9,2,"Arthropoda","Calanoida","Candaciidae","Candacia","Candacia pachydactyla",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"29",416188,416188,609426,"Species","Candacia simplex","(Giesbrecht, 1889)",220914,3,1,"Arthropoda","Calanoida","Candaciidae","Candacia","Candacia simplex",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"30",416315,416315,416304,"Species","Canthigaster figueiredoi","Moura & Castro, 2002",275252,1,1,"Chordata","Tetraodontiformes","Tetraodontidae","Canthigaster","Canthigaster figueiredoi","Actinopteri",TRUE,"LC","Fernando de Naronha and Atoll das Rocas"
"31",416659,416659,696227,"Species","Caranx lugubris","Poey, 1860",126805,4,3,"Chordata","Perciformes","Carangidae","Caranx","Caranx lugubris","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"32",416732,416732,696240,"Species","Carcharhinus albimarginatus","(Rüppell, 1837)",217352,1,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus albimarginatus","Elasmobranchii",TRUE,"NT","Fernando de Naronha and Atoll das Rocas"
"33",416762,416762,696240,"Species","Carcharhinus obscurus","(Lesueur, 1818)",105796,3,2,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus obscurus","Elasmobranchii",TRUE,"VU","Fernando de Naronha and Atoll das Rocas"
"34",416770,416770,696240,"Species","Carcharhinus signatus","(Poey, 1868)",105798,3,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus signatus","Elasmobranchii",TRUE,"VU","Fernando de Naronha and Atoll das Rocas"
"35",418174,418174,418170,"Species","Centrobranchus nigroocellatus","(Günther, 1873)",126584,4,2,"Chordata","Myctophiformes","Myctophidae","Centrobranchus","Centrobranchus nigroocellatus","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"36",418414,418414,418406,"Species","Cephalopholis cruentata","(Lacepède, 1802)",279146,2,2,"Chordata","Perciformes","Serranidae","Cephalopholis","Cephalopholis cruentata","Actinopteri",TRUE,"LC","Fernando de Naronha and Atoll das Rocas"
"37",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,1,1,"Mollusca",NA,NA,NA,NA,"Cephalopoda",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"38",418711,418711,418669,"Species","Ceratium fusus","(Ehrenberg) Dujardin, 1841",109951,1,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium fusus","Dinophyceae",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"39",418716,418716,418669,"Species","Ceratium gibberum","Gourret, 1883",109953,1,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium gibberum","Dinophyceae",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"40",419049,419049,771173,"Species","Cerianthula spinifer","(Beneden, 1897)",287416,1,1,"Cnidaria","Spirularia","Botrucnidiferidae","Cerianthula","Cerianthula spinifer","Anthozoa",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"41",419554,419554,419486,"Species","Chaetoceros convolutus","Castracane, 1886",156611,1,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros convolutus","Bacillariophyceae",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"42",421120,421120,421118,"Subspecies","Chilomycterus spinosus spinosus","(Linnaeus, 1758)",275242,5,1,"Chordata","Tetraodontiformes","Diodontidae","Chilomycterus","Chilomycterus spinosus","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"43",423704,423704,696573,"Species","Clausocalanus arcuicornis","(Dana, 1849)",104502,3,1,"Arthropoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus arcuicornis",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"44",424319,424319,778116,"Genus","Clythrocerus","A. Milne-Edwards & Bouvier, 1899",345799,1,1,"Arthropoda","Decapoda","Cyclodorippidae","Clythrocerus",NA,"Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"45",425300,425300,696634,"Species","Colobonema sericeum","Vanhöffen, 1902",117854,1,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Colobonema","Colobonema sericeum","Hydrozoa",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"46",426559,426559,616144,"Species","Copilia mirabilis","Dana, 1852",129038,3,1,"Arthropoda","Poecilostomatoida","Sapphirinidae","Copilia","Copilia mirabilis",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"47",427186,427186,616514,"Species","Corycaeus speciosus","Dana, 1849",128800,5,1,"Arthropoda","Poecilostomatoida","Corycaeidae","Corycaeus","Corycaeus speciosus",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"48",427540,427540,770753,"Genus","Coscinodiscus","Ehrenberg, 1839",148917,1,1,"Ochrophyta","Coscinodiscales","Coscinodiscaceae","Coscinodiscus",NA,"Bacillariophyceae",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"49",430401,430401,696894,"Species","Cyclothone signata","Garman, 1899",154831,1,1,"Chordata","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"50",430558,430558,1014255,"Genus","Cymadusa","Savigny, 1816",101460,3,1,"Arthropoda","Amphipoda","Ampithoidae","Cymadusa",NA,"Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"51",431789,431789,743784,"Species","Dactylactis armata","Van Beneden, 1897",289776,1,1,"Cnidaria",NA,"Arachnactidae","Dactylactis","Dactylactis armata","Anthozoa",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"52",431796,431796,743784,"Species","Dactylactis marri","Leloup, 1964",289780,1,1,"Cnidaria",NA,"Arachnactidae","Dactylactis","Dactylactis marri","Anthozoa",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"53",433679,433679,784120,"Species","Diaphus knappi","Nafpaktitis, 1978",217685,2,2,"Chordata","Myctophiformes","Myctophidae","Diaphus","Diaphus knappi","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"54",433698,433698,784120,"Species","Diaphus mollis","Tåning, 1928",126595,2,2,"Chordata","Myctophiformes","Myctophidae","Diaphus","Diaphus mollis","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"55",433709,433709,784120,"Species","Diaphus problematicus","Parr, 1928",158891,2,2,"Chordata","Myctophiformes","Myctophidae","Diaphus","Diaphus problematicus","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"56",433723,433723,784120,"Species","Diaphus splendidus","(Brauer, 1904)",158893,2,2,"Chordata","Myctophiformes","Myctophidae","Diaphus","Diaphus splendidus","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"57",434702,434702,697091,"Species","Diogenichthys atlanticus","(Tåning, 1928)",126599,2,2,"Chordata","Myctophiformes","Myctophidae","Diogenichthys","Diogenichthys atlanticus","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"58",436699,436699,744860,"Species","Dulichiella appendiculata","(Say, 1818)",421504,1,1,"Arthropoda","Amphipoda","Melitidae","Dulichiella","Dulichiella appendiculata","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"59",436871,436871,436868,"Species","Dysidea fragilis","(Montagu, 1814)",132324,1,1,"Porifera","Dictyoceratida","Dysideidae","Dysidea","Dysidea fragilis","Demospongiae",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"60",438449,438449,438445,"Species","Enchelycore carychroa","Böhlke & Böhlke, 1976",271805,1,1,"Chordata","Anguilliformes","Muraenidae","Enchelycore","Enchelycore carychroa","Actinopteri",TRUE,"LC","Fernando de Naronha and Atoll das Rocas"
"61",439979,439979,769804,"Species","Eretmochelys imbricata","(Linnaeus, 1766)",137207,4,1,"Chordata","Testudines","Cheloniidae","Eretmochelys","Eretmochelys imbricata","Reptilia",TRUE,"CR","Fernando de Naronha and Atoll das Rocas"
"62",440926,440926,625137,"Species","Euchaeta marina","(Prestandrea, 1833)",104552,30,2,"Arthropoda","Calanoida","Euchaetidae","Euchaeta","Euchaeta marina",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"63",441025,441025,697394,"Species","Euchirella amoena","Giesbrecht, 1888",104296,3,1,"Arthropoda","Calanoida","Aetideidae","Euchirella","Euchirella amoena",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"64",443001,443001,426632,"Genus","Excorallana","Stebbing, 1904",248749,2,1,"Arthropoda","Isopoda","Corallanidae","Excorallana",NA,"Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"65",443370,443370,746102,"Species","Farranula gracilis","(Dana, 1849)",128813,5,1,"Arthropoda","Poecilostomatoida","Corycaeidae","Farranula","Farranula gracilis",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"66",443962,443962,771741,"Species","Fistularia petimba","Lacepède, 1803",159439,1,1,"Chordata","Syngnathiformes","Fistulariidae","Fistularia","Fistularia petimba","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"67",444476,444476,746418,"Species","Fregata magnificens","Mathews, 1914",343999,1,1,"Chordata","Pelecaniformes","Fregatidae","Fregata","Fregata magnificens","Aves",TRUE,"LC","Fernando de Naronha and Atoll das Rocas"
"68",446140,446140,446127,"Species","Gennadas scutatus","Bouvier, 1906",107096,1,1,"Arthropoda","Decapoda","Benthesicymidae","Gennadas","Gennadas scutatus","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"69",446142,446142,446127,"Species","Gennadas talismani","Bouvier, 1906",240799,1,1,"Arthropoda","Decapoda","Benthesicymidae","Gennadas","Gennadas talismani","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"70",446761,446761,446759,"Species","Globigerinita glutinata","(Egger, 1893)",113464,3,2,"Foraminifera","Globigerinida","Candeinidae","Globigerinita","Globigerinita glutinata","Globothalamea",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"71",446766,446766,446759,"Species","Globigerinita uvula","(Ehrenberg, 1861)",113465,1,1,"Foraminifera","Globigerinida","Candeinidae","Globigerinita","Globigerinita uvula","Globothalamea",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"72",446768,446768,446767,"Species","Globigerinoides conglobatus","(Brady, 1879)",113441,1,1,"Foraminifera","Globigerinida","Globigerinidae","Globigerinoides","Globigerinoides conglobatus","Globothalamea",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"73",446821,446821,629048,"Species","Globorotalia scitula","(Brady, 1882)",113452,2,2,"Foraminifera","Globigerinida","Globorotaliidae","Globorotalia","Globorotalia scitula","Globothalamea",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"74",446839,446839,779841,"Species","Globosolembos smithi","(Holmes, 1905)",421562,2,1,"Arthropoda","Amphipoda","Aoridae","Globosolembos","Globosolembos smithi","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"75",449557,449557,747330,"Species","Gymnothorax funebris","Ranzani, 1839",158583,2,2,"Chordata","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax funebris","Actinopteri",TRUE,"LC","Fernando de Naronha and Atoll das Rocas"
"76",450007,450007,697756,"Species","Haemulon serrula","(Cuvier, 1830)",275735,2,2,"Chordata","Perciformes","Haemulidae","Haemulon","Haemulon serrula","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"77",450381,450381,450360,"Species","Halichoeres cyanocephalus","(Bloch, 1791)",275760,1,1,"Chordata","Perciformes","Labridae","Halichoeres","Halichoeres cyanocephalus","Actinopteri",TRUE,"LC","Fernando de Naronha and Atoll das Rocas"
"78",453852,453852,653454,"Genus","Hexapanopeus","Rathbun, 1898",158423,1,1,"Arthropoda","Decapoda","Panopeidae","Hexapanopeus",NA,"Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"79",454031,454031,748224,"Species","Himantura gerrardi","(Gray, 1851)",217412,1,1,"Chordata","Myliobatiformes","Dasyatidae","Himantura","Himantura gerrardi","Elasmobranchii",TRUE,"VU","Fernando de Naronha and Atoll das Rocas"
"80",454964,454964,454962,"Species","Homola barbata","(Fabricius, 1793)",107262,1,1,"Arthropoda","Decapoda","Homolidae","Homola","Homola barbata","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"81",456817,456817,1014551,"Genus","Idunella","G.O. Sars, 1894",101581,1,1,"Arthropoda","Amphipoda","Liljeborgiidae","Idunella",NA,"Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"82",457704,457704,775900,"Species","Isovactis elongata","Leloup, 1964",290232,2,2,"Cnidaria",NA,"Arachnactidae","Isovactis","Isovactis elongata","Anthozoa",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"83",457793,457793,635883,"Species","Isurus oxyrinchus","Rafinesque, 1810",105839,2,1,"Chordata","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus","Elasmobranchii",TRUE,"VU","Fernando de Naronha and Atoll das Rocas"
"84",459033,459033,698147,"Species","Kyphosus sectatrix","(Linnaeus, 1758)",303486,1,1,"Chordata","Perciformes","Kyphosidae","Kyphosus","Kyphosus sectatrix","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"85",459247,459247,749153,"Species","Labrisomus kalisherae","(Jordan, 1904)",281257,2,1,"Chordata","Perciformes","Labrisomidae","Labrisomus","Labrisomus kalisherae","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"86",459344,459344,459343,"Species","Lactophrys bicaudalis","(Linnaeus, 1758)",275874,2,2,"Chordata","Tetraodontiformes","Ostraciidae","Lactophrys","Lactophrys bicaudalis","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"87",459840,459840,752411,"Genus","Lampanyctus","Bonaparte, 1840",125825,2,2,"Chordata","Myctophiformes","Myctophidae","Lampanyctus",NA,"Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"88",461023,461023,698225,"Species","Lensia multicristata","(Moser, 1925)",135436,1,1,"Cnidaria","Siphonophorae","Diphyidae","Lensia","Lensia multicristata","Hydrozoa",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"89",461295,461295,769805,"Species","Lepidochelys olivacea","(Eschscholtz, 1829)",220293,8,1,"Chordata","Testudines","Cheloniidae","Lepidochelys","Lepidochelys olivacea","Reptilia",TRUE,"VU","Fernando de Naronha and Atoll das Rocas"
"90",461409,461409,461407,"Species","Lepidophanes guentheri","(Goode & Bean, 1896)",126621,2,2,"Chordata","Myctophiformes","Myctophidae","Lepidophanes","Lepidophanes guentheri","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"91",464587,464587,640184,"Species","Lobianchia gemellarii","(Cocco, 1838)",158901,2,2,"Chordata","Myctophiformes","Myctophidae","Lobianchia","Lobianchia gemellarii","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"92",465273,465273,465269,"Species","Lucicutia bicornuta","Wolfenden, 1905",104594,1,1,"Arthropoda","Calanoida","Lucicutiidae","Lucicutia","Lucicutia bicornuta",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"93",465277,465277,465269,"Species","Lucicutia flavicornis","(Claus, 1863)",104597,1,1,"Arthropoda","Calanoida","Lucicutiidae","Lucicutia","Lucicutia flavicornis",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"94",466357,466357,750488,"Species","Lythrypnus brasiliensis","Greenfield, 1988",281454,1,1,"Chordata","Perciformes","Gobiidae","Lythrypnus","Lythrypnus brasiliensis","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"95",467294,467294,803442,"Genus","Maera","Leach, 1814",101675,6,1,"Arthropoda","Amphipoda","Maeridae","Maera",NA,"Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"96",468790,468790,751285,"Species","Mecynocera clausi","Thompson I.C., 1888",104616,4,1,"Arthropoda","Calanoida","Paracalanidae","Mecynocera","Mecynocera clausi",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"97",469338,469338,751355,"Species","Melanostigma atlanticum","Koefoed, 1952",127120,1,1,"Chordata","Perciformes","Zoarcidae","Melanostigma","Melanostigma atlanticum","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"98",471183,471183,471176,"Species","Micrognathus crinitus","(Jenyns, 1842)",278317,2,1,"Chordata","Syngnathiformes","Syngnathidae","Micrognathus","Micrognathus crinitus","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"99",471888,471888,774292,"Species","Mirounga leonina","(Linnaeus, 1758)",231413,1,1,"Chordata","Carnivora","Phocidae","Mirounga","Mirounga leonina","Mammalia",TRUE,"LC","Fernando de Naronha and Atoll das Rocas"
"100",471914,471914,779894,"Species","Mithraculus forceps","A. Milne-Edwards, 1875",421988,2,1,"Arthropoda","Decapoda",NA,"Mithraculus","Mithraculus forceps","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"101",473668,473668,698828,"Species","Munida spinifrons","Henderson, 1885",392448,2,2,"Arthropoda","Decapoda","Munididae","Munida","Munida spinifrons","Malacostraca",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"102",474308,474308,474278,"Species","Myctophum nitidulum","Garman, 1899",126626,4,2,"Chordata","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"103",474309,474309,474278,"Species","Myctophum obtusirostre","Tåning, 1928",158904,2,2,"Chordata","Myctophiformes","Myctophidae","Myctophum","Myctophum obtusirostre","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"104",475090,475090,475089,"Species","Nannocalanus minor","(Claus, 1863)",104469,5,1,"Arthropoda","Calanoida","Calanidae","Nannocalanus","Nannocalanus minor",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"105",476225,476225,476223,"Species","Negaprion brevirostris","(Poey, 1868)",105800,8,1,"Chordata","Carcharhiniformes","Carcharhinidae","Negaprion","Negaprion brevirostris","Elasmobranchii",TRUE,"NT","Fernando de Naronha and Atoll das Rocas"
"106",476743,476743,476740,"Species","Neocalanus gracilis","(Dana, 1852)",104471,5,1,"Arthropoda","Calanoida","Calanidae","Neocalanus","Neocalanus gracilis",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"107",476745,476745,476740,"Species","Neocalanus robustior","(Giesbrecht, 1888)",104472,1,1,"Arthropoda","Calanoida","Calanidae","Neocalanus","Neocalanus robustior",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"108",478595,478595,478593,"Species","Noctiluca scintillans","(Macartney) Kofoid & Swezy, 1921",109921,1,1,"Myzozoa","Noctilucales","Noctilucaceae","Noctiluca","Noctiluca scintillans","Dinophyceae",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"109",478602,478602,679378,"Genus","Nodilittorina","Martens, 1897",138137,1,1,"Mollusca","Littorinimorpha","Littorinidae","Nodilittorina",NA,"Gastropoda",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"110",479000,479000,478999,"Species","Notolychnus valdiviae","(Brauer, 1904)",126629,4,2,"Chordata","Myctophiformes","Myctophidae","Notolychnus","Notolychnus valdiviae","Actinopteri",NA,NA,"Fernando de Naronha and Atoll das Rocas"
"111",480680,480680,699175,"Species","Oithona nana","Giesbrecht, 1893",106651,4,2,"Arthropoda","Cyclopoida","Oithonidae","Oithona","Oithona nana",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"112",480683,480683,699175,"Species","Oithona plumifera","Baird, 1843",106652,14,2,"Arthropoda","Cyclopoida","Oithonidae","Oithona","Oithona plumifera",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"113",480687,480687,699175,"Species","Oithona setigera","(Dana, 1849)",106655,10,1,"Arthropoda","Cyclopoida","Oithonidae","Oithona","Oithona setigera",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"114",480689,480689,699175,"Species","Oithona similis","Claus, 1866",106656,5,1,"Arthropoda","Cyclopoida","Oithonidae","Oithona","Oithona similis",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
"115",481059,481059,481029,"Species","Oncaea venusta","Philippi, 1843",128954,2,1,"Arthropoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea venusta",NA,NA,NA,"Fernando de Naronha and Atoll das Rocas"
