"","id","valid_id","parent_id","rank_name","tname","tauthor","records","datasets","phylum","family","genus","species","class","order","worms_id","redlist","status","gisd","hab","ecoregion"
"1",490,490,813063,"Subspecies","Margarita (Solariella) lubrica iridea","Dall",2,1,"Mollusca","Trochidae","Margarita","Margarita (Solariella) lubrica","Gastropoda",NA,NA,NA,NA,NA,NA,"Floridian"
"2",506,506,803357,"Species","Mithrax (Mithraculus) forceps","(Milne-Edwards)",111,1,"Arthropoda","Majidae","Mithrax","Mithrax (Mithraculus) forceps","Malacostraca","Decapoda",NA,NA,NA,NA,NA,"Floridian"
"3",541,541,473963,"Species","Muriceides kuekenthali","(Broch, 1912)",4,1,"Cnidaria","Plexauridae","Muriceides","Muriceides kuekenthali","Anthozoa","Alcyonacea",125382,NA,NA,NA,NA,"Floridian"
"4",609,609,699786,"Genus","Pinnixia","White, 1846",22,2,"Arthropoda","Pinnotheridae","Pinnixia",NA,"Malacostraca","Decapoda",NA,NA,NA,NA,NA,"Floridian"
"5",619,619,793677,"Species","Sthenorytis pernobilis","(P. Fischer & Bernardi, 1857)",4,2,"Mollusca","Epitoniidae","Sthenorytis","Sthenorytis pernobilis","Gastropoda","Caenogastropoda incertae sedis",419829,NA,NA,NA,NA,"Floridian"
"6",395361,395361,695212,"Species","Aaptos aaptos","(Schmidt, 1864)",21,2,"Porifera","Suberitidae","Aaptos","Aaptos aaptos","Demospongiae","Suberitida",134241,NA,NA,NA,NA,"Floridian"
"7",395447,395447,700476,"Genus","Abra","Lamarck, 1818",53,4,"Mollusca","Semelidae","Abra",NA,"Bivalvia","Cardiida",138474,NA,NA,NA,NA,"Floridian"
"8",395455,395455,395447,"Species","Abra longicallus","(Scacchi, 1835)",3,1,"Mollusca","Semelidae","Abra","Abra longicallus","Bivalvia","Cardiida",141434,NA,NA,NA,NA,"Floridian"
"9",395486,395486,438892,"Genus","Abraliopsis","Joubin, 1896",28,1,"Mollusca","Enoploteuthidae","Abraliopsis",NA,"Cephalopoda","Oegopsida",137931,NA,NA,NA,NA,"Floridian"
"10",395561,395561,695219,"Species","Abudefduf vaigiensis","(Quoy & Gaimard, 1825)",4,1,"Chordata","Pomacentridae","Abudefduf","Abudefduf vaigiensis","Actinopteri","Perciformes",212879,NA,NA,NA,NA,"Floridian"
"11",395568,395568,695224,"Species","Abyla haeckeli","Lens & van Riemsdijk, 1908",1,1,"Cnidaria","Abylidae","Abyla","Abyla haeckeli","Hydrozoa","Siphonophorae",196556,NA,NA,NA,NA,"Floridian"
"12",395650,395650,748828,"Genus","Acanella","Gray, 1870",10,2,"Cnidaria","Isididae","Acanella",NA,"Anthozoa","Alcyonacea",125303,NA,NA,NA,NA,"Floridian"
"13",395651,395651,395650,"Species","Acanella arbuscula","(Johnson, 1862)",2,1,"Cnidaria","Isididae","Acanella","Acanella arbuscula","Anthozoa","Alcyonacea",125371,NA,NA,NA,NA,"Floridian"
"14",395653,395653,395650,"Species","Acanella eburnea","(Pourtalès, 1868)",5,3,"Cnidaria","Isididae","Acanella","Acanella eburnea","Anthozoa","Alcyonacea",286299,NA,NA,NA,NA,"Floridian"
"15",395657,395657,774929,"Species","Acanthacaris caeca","A. Milne-Edwards, 1881",3,2,"Arthropoda","Nephropidae","Acanthacaris","Acanthacaris caeca","Malacostraca","Decapoda",293250,TRUE,"LC",NA,NA,"Floridian"
"16",395723,395723,769378,"Genus","Acanthella","Schmidt, 1862",8,1,"Porifera","Dictyonellidae","Acanthella",NA,"Demospongiae","Bubarida",165648,NA,NA,NA,NA,"Floridian"
