"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",362,362,397533,"Species","Acteon melampoides","Dall, 1881",159968,2,2,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon","Acteon melampoides","Gastropoda",NA,NA,NA,NA,"Greater Antilles"
"2",364,364,397533,"Species","Acteon perforatus","Dall, 1881",420513,2,2,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon","Acteon perforatus","Gastropoda",NA,NA,NA,NA,"Greater Antilles"
"3",483,483,806805,"Subspecies","Mangilia (Pleurotomella) chariessa spica","Dall",NA,1,1,"Mollusca","Neogastropoda","Turridae","Mangilia","Mangilia (Pleurotomella) chariessa","Gastropoda",NA,NA,NA,NA,"Greater Antilles"
"4",574,574,812159,"Species","Natica (Neverita) nubila","Dall",586964,1,1,"Mollusca","Littorinimorpha","Naticidae","Natica","Natica (Neverita) nubila","Gastropoda",NA,NA,NA,NA,"Greater Antilles"
"5",395455,395455,395447,"Species","Abra longicallus","(Scacchi, 1835)",141434,2,1,"Mollusca","Cardiida","Semelidae","Abra","Abra longicallus","Bivalvia",NA,NA,NA,NA,"Greater Antilles"
"6",395467,395467,438892,"Genus","Abralia","Gray, 1849",137930,1,1,"Mollusca","Oegopsida","Enoploteuthidae","Abralia",NA,"Cephalopoda",NA,NA,NA,NA,"Greater Antilles"
"7",395561,395561,695219,"Species","Abudefduf vaigiensis","(Quoy & Gaimard, 1825)",212879,6,1,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf vaigiensis","Actinopteri",NA,NA,NA,NA,"Greater Antilles"
"8",395568,395568,695224,"Species","Abyla haeckeli","Lens & van Riemsdijk, 1908",196556,2,1,"Cnidaria","Siphonophorae","Abylidae","Abyla","Abyla haeckeli","Hydrozoa",NA,NA,NA,NA,"Greater Antilles"
"9",395571,395571,695224,"Species","Abyla trigona","Quoy & Gaimard, 1827",135402,1,1,"Cnidaria","Siphonophorae","Abylidae","Abyla","Abyla trigona","Hydrozoa",NA,NA,NA,NA,"Greater Antilles"
"10",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,51,2,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",NA,NA,NA,NA,"Greater Antilles"
"11",395653,395653,395650,"Species","Acanella eburnea","(Pourtalès, 1868)",286299,5,3,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella eburnea","Anthozoa",NA,NA,NA,NA,"Greater Antilles"
"12",395657,395657,774929,"Species","Acanthacaris caeca","A. Milne-Edwards, 1881",293250,6,3,"Arthropoda","Decapoda","Nephropidae","Acanthacaris","Acanthacaris caeca","Malacostraca",TRUE,"LC",NA,NA,"Greater Antilles"
"13",395743,395743,395729,"Species","Acanthemblemaria spinosa","Metzelaar, 1919",254883,1,1,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria spinosa","Actinopteri",TRUE,"LC",NA,NA,"Greater Antilles"
"14",395746,395746,695236,"Species","Acanthephyra acanthitelsonis","Spence Bate, 1888",240809,1,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra acanthitelsonis","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"15",395747,395747,695236,"Species","Acanthephyra acutifrons","Spence Bate, 1888",158347,1,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra acutifrons","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"16",395754,395754,695236,"Species","Acanthephyra eximia","Smith, 1884",564909,2,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra eximia","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"17",395764,395764,695236,"Species","Acanthephyra pelagica","(Risso, 1816)",107581,2,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"18",395815,395815,395814,"Species","Acanthocarpus alexandri","Stimpson, 1871",158044,3,2,"Arthropoda","Decapoda","Calappidae","Acanthocarpus","Acanthocarpus alexandri","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"19",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,614,6,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,NA,"Greater Antilles"
"20",395978,395978,759725,"Genus","Acantholaimus","Allgén, 1933",2303,1,1,"Nematoda","Chromadorida","Chromadoridae","Acantholaimus",NA,"Chromadorea",NA,NA,NA,NA,"Greater Antilles"
"21",396214,396214,737105,"Genus","Acanthurus","Forsskål, 1775",125908,2,2,"Chordata","Perciformes","Acanthuridae","Acanthurus",NA,"Actinopteri",NA,NA,NA,NA,"Greater Antilles"
"22",396290,396290,405225,"Subclass","Acari","Leach, 1817",292684,9,2,"Arthropoda",NA,NA,NA,NA,"Arachnida",NA,NA,NA,NA,"Greater Antilles"
"23",396326,396326,770837,"Species","Acartia (Acartiura) clausi","Giesbrecht, 1889",149755,5,1,"Arthropoda","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",NA,NA,NA,NA,NA,"Greater Antilles"
"24",396381,396381,396376,"Species","Acasta cyathus","Darwin, 1854",370509,3,1,"Arthropoda","Sessilia","Archaeobalanidae","Acasta","Acasta cyathus",NA,NA,NA,NA,NA,"Greater Antilles"
"25",396492,396492,396485,"Species","Acentronura tentaculata","Günther, 1870",217979,1,1,"Chordata","Syngnathiformes","Syngnathidae","Acentronura","Acentronura tentaculata","Actinopteri",NA,NA,NA,NA,"Greater Antilles"
"26",396529,396529,770277,"Genus","Acetabularia","J.V.Lamouroux, 1812",144059,10,1,"Chlorophyta","Dasycladales","Polyphysaceae","Acetabularia",NA,"Ulvophyceae",NA,NA,NA,NA,"Greater Antilles"
"27",396549,396549,596697,"Subspecies","Acetes americanus carolinae","Hansen, 1933",158345,1,1,"Arthropoda","Decapoda","Sergestidae","Acetes","Acetes americanus","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"28",396851,396851,396867,"Genus","Acmaea","Eschscholtz, 1833",137616,1,1,"Mollusca",NA,"Acmaeidae","Acmaea",NA,"Gastropoda",NA,NA,NA,NA,"Greater Antilles"
"29",396867,396867,779142,"Family","Acmaeidae","Forbes, 1850",114,3,1,"Mollusca",NA,"Acmaeidae",NA,NA,"Gastropoda",NA,NA,NA,NA,"Greater Antilles"
"30",396957,396957,695290,"Species","Acrocalanus andersoni","Bowman, 1958",104644,1,1,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus andersoni",NA,NA,NA,NA,NA,"Greater Antilles"
"31",396961,396961,695290,"Species","Acrocalanus longicornis","Giesbrecht, 1888",104646,37,2,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus longicornis",NA,NA,NA,NA,NA,"Greater Antilles"
"32",397075,397075,771651,"Species","Acromycter atlanticus","Smith, 1989",275421,3,3,"Chordata","Anguilliformes","Congridae","Acromycter","Acromycter atlanticus","Actinopteri",NA,NA,NA,NA,"Greater Antilles"
"33",397092,397092,772910,"Genus","Acropora","Oken, 1815",205469,4,1,"Cnidaria","Scleractinia","Acroporidae","Acropora",NA,"Anthozoa",NA,NA,NA,NA,"Greater Antilles"
"34",397310,397310,397092,"Species","Acropora striata","(Verrill, 1866)",207081,3,1,"Cnidaria","Scleractinia","Acroporidae","Acropora","Acropora striata","Anthozoa",TRUE,"VU",NA,NA,"Greater Antilles"
"35",397439,397439,397433,"Species","Acryptolaria longitheca","(Allman, 1877)",117681,2,1,"Cnidaria","Leptothecata","Lafoeidae","Acryptolaria","Acryptolaria longitheca","Hydrozoa",NA,NA,NA,NA,"Greater Antilles"
"36",397970,397970,520628,"Genus","Actinocythereis","Puri, 1953",159931,1,1,"Arthropoda","Podocopida","Trachyleberididae","Actinocythereis",NA,"Ostracoda",NA,NA,NA,NA,"Greater Antilles"
"37",398014,398014,745651,"Genus","Actinonema","Cobb, 1920",2283,1,1,"Nematoda","Chromadorida","Chromadoridae","Actinonema",NA,"Chromadorea",NA,NA,NA,NA,"Greater Antilles"
"38",398018,398018,398014,"Species","Actinonema pachydermatum","Cobb, 1920",120721,1,1,"Nematoda","Chromadorida","Chromadoridae","Actinonema","Actinonema pachydermatum","Chromadorea",NA,NA,NA,NA,"Greater Antilles"
"39",398023,398023,775751,"Species","Actinoporus elegans","Duchassaing, 1850",289350,1,1,"Cnidaria","Actiniaria","Capneidae","Actinoporus","Actinoporus elegans","Anthozoa",NA,NA,NA,NA,"Greater Antilles"
"40",398138,398138,775753,"Species","Actinostella flosculifera","(Le Sueur, 1817)",289355,6,1,"Cnidaria","Actiniaria","Actiniidae","Actinostella","Actinostella flosculifera","Anthozoa",NA,NA,NA,NA,"Greater Antilles"
"41",398215,398215,776117,"Species","Acyrtus artius","Briggs, 1955",279505,2,1,"Chordata","Gobiesociformes","Gobiesocidae","Acyrtus","Acyrtus artius","Actinopteri",TRUE,"LC",NA,NA,"Greater Antilles"
"42",398285,398285,768217,"Species","Adercotryma glomerata","(Brady, 1878)",113837,2,1,"Foraminifera","Lituolida","Adercotrymidae","Adercotryma","Adercotryma glomerata","Globothalamea",NA,NA,NA,NA,"Greater Antilles"
"43",398324,398324,773089,"Species","Admetella longipedata","(McIntosh, 1885)",214466,1,1,"Annelida","Phyllodocida","Polynoidae","Admetella","Admetella longipedata","Polychaeta",NA,NA,NA,NA,"Greater Antilles"
"44",398431,398431,398430,"Species","Aegathoa oculata","(Say, 1818)",258695,1,1,"Arthropoda","Isopoda","Cymothoidae","Aegathoa","Aegathoa oculata","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"45",398559,398559,398552,"Species","Aequipecten opercularis","(Linnaeus, 1758)",140687,2,1,"Mollusca","Pectinoida","Pectinidae","Aequipecten","Aequipecten opercularis","Bivalvia",NA,NA,NA,NA,"Greater Antilles"
"46",398561,398561,767084,"Genus","Aequorea","Péron & Lesueur, 1810",116998,2,1,"Cnidaria","Leptothecata","Aequoreidae","Aequorea",NA,"Hydrozoa",NA,NA,NA,NA,"Greater Antilles"
"47",398568,398568,398561,"Species","Aequorea macrodactyla","(Brandt, 1835)",117271,2,1,"Cnidaria","Leptothecata","Aequoreidae","Aequorea","Aequorea macrodactyla","Hydrozoa",NA,NA,NA,NA,"Greater Antilles"
"48",398572,398572,398561,"Species","Aequorea victoria","(Murbach & Shearer, 1902)",283998,1,1,"Cnidaria","Leptothecata","Aequoreidae","Aequorea","Aequorea victoria","Hydrozoa",NA,NA,NA,NA,"Greater Antilles"
"49",398578,398578,398577,"Species","Aeropsis rostrata","(Thomson, 1877)",124367,1,1,"Echinodermata","Spatangoida","Aeropsidae","Aeropsis","Aeropsis rostrata","Echinoidea",NA,NA,NA,NA,"Greater Antilles"
"50",398603,398603,398597,"Species","Aetea truncata","(Landsborough, 1852)",111067,1,1,"Bryozoa","Cheilostomatida","Aeteidae","Aetea","Aetea truncata","Gymnolaemata",NA,NA,NA,NA,"Greater Antilles"
"51",398644,398644,398634,"Genus","Aetideus","Brady, 1883",104112,5,1,"Arthropoda","Calanoida","Aetideidae","Aetideus",NA,NA,NA,NA,NA,NA,"Greater Antilles"
"52",398646,398646,398644,"Species","Aetideus arcuatus","(Vervoort, 1949)",104274,1,1,"Arthropoda","Calanoida","Aetideidae","Aetideus","Aetideus arcuatus",NA,NA,NA,NA,NA,"Greater Antilles"
"53",398647,398647,398644,"Species","Aetideus armatus","(Boeck, 1872)",104275,6,2,"Arthropoda","Calanoida","Aetideidae","Aetideus","Aetideus armatus",NA,NA,NA,NA,NA,"Greater Antilles"
"54",398667,398667,398665,"Species","Aeverrillia setigera","(Hincks, 1887)",159762,1,1,"Bryozoa","Ctenostomatida","Aeverrilliidae","Aeverrillia","Aeverrillia setigera","Gymnolaemata",NA,NA,NA,NA,"Greater Antilles"
"55",398748,398748,398744,"Species","Agalma okeni","Eschscholtz, 1825",135485,7,2,"Cnidaria","Siphonophorae","Agalmatidae","Agalma","Agalma okeni","Hydrozoa",NA,NA,NA,NA,"Greater Antilles"
"56",398768,398768,695348,"Species","Agaricia humilis","Verrill, 1901",287914,8,2,"Cnidaria","Scleractinia","Agariciidae","Agaricia","Agaricia humilis","Anthozoa",TRUE,"LC",NA,NA,"Greater Antilles"
"57",398779,398779,695348,"Species","Agaricia undata","(Ellis & Solander, 1786)",287917,12,4,"Cnidaria","Scleractinia","Agariciidae","Agaricia","Agaricia undata","Anthozoa",TRUE,"DD",NA,NA,"Greater Antilles"
"58",398819,398819,398817,"Species","Agelas clathrodes","(Schmidt, 1870)",164823,1,1,"Porifera","Agelasida","Agelasidae","Agelas","Agelas clathrodes","Demospongiae",NA,NA,NA,NA,"Greater Antilles"
"59",398827,398827,398817,"Species","Agelas oroides","(Schmidt, 1864)",132454,4,2,"Porifera","Agelasida","Agelasidae","Agelas","Agelas oroides","Demospongiae",NA,NA,NA,NA,"Greater Antilles"
"60",398828,398828,398817,"Species","Agelas schmidti","Wilson, 1902",164842,1,1,"Porifera","Agelasida","Agelasidae","Agelas","Agelas schmidti","Demospongiae",NA,NA,NA,NA,"Greater Antilles"
"61",398829,398829,398817,"Species","Agelas tubulata","Lehnert & van Soest, 1996",164845,1,1,"Porifera","Agelasida","Agelasidae","Agelas","Agelas tubulata","Demospongiae",NA,NA,NA,NA,"Greater Antilles"
"62",398863,398863,598231,"Species","Aglaophamus circinata","(Verrill in Smith & Harger, 1874)",157145,3,1,"Annelida","Phyllodocida","Nephtyidae","Aglaophamus","Aglaophamus circinata","Polychaeta",NA,NA,NA,NA,"Greater Antilles"
"63",398909,398909,398885,"Species","Aglaophenia trifida","Agassiz, 1862",284059,1,1,"Cnidaria","Leptothecata","Aglaopheniidae","Aglaophenia","Aglaophenia trifida","Hydrozoa",NA,NA,NA,NA,"Greater Antilles"
"64",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",117851,3,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Aglaura hemistoma","Hydrozoa",NA,NA,NA,NA,"Greater Antilles"
"65",399039,399039,768954,"Species","Ahliesaurus berryi","Bertelsen, Krefft & Marshall, 1976",126347,2,1,"Chordata","Aulopiformes","Notosudidae","Ahliesaurus","Ahliesaurus berryi","Actinopteri",NA,NA,NA,NA,"Greater Antilles"
"66",399088,399088,399087,"Species","Aiolochroia crassa","(Hyatt, 1875)",169632,1,1,"Porifera","Verongiida","Aplysinidae","Aiolochroia","Aiolochroia crassa","Demospongiae",NA,NA,NA,NA,"Greater Antilles"
"67",399107,399107,695382,"Species","Aiptasia tagetes","(Duchassaing & Michelotti, 1864)",283490,4,1,"Cnidaria","Actiniaria","Aiptasiidae","Aiptasia","Aiptasia tagetes","Anthozoa",NA,NA,NA,NA,"Greater Antilles"
"68",399126,399126,771672,"Species","Aix sponsa","(Linnaeus, 1758)",158938,2,1,"Chordata","Anseriformes","Anatidae","Aix","Aix sponsa","Aves",TRUE,"LC",NA,NA,"Greater Antilles"
"69",399244,399244,598471,"Species","Albula neoguinaica","Valenciennes, 1847",212254,1,1,"Chordata","Albuliformes","Albulidae","Albula","Albula neoguinaica","Actinopteri",NA,NA,NA,NA,"Greater Antilles"
"70",399251,399251,695389,"Species","Albunea gibbesii","Stimpson, 1859",421880,2,1,"Arthropoda","Decapoda","Albuneidae","Albunea","Albunea gibbesii","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"71",399384,399384,737643,"Species","Aldrovandia affinis","(Günther, 1877)",126637,6,3,"Chordata","Notacanthiformes","Halosauridae","Aldrovandia","Aldrovandia affinis","Actinopteri",NA,NA,NA,NA,"Greater Antilles"
"72",399390,399390,737643,"Species","Aldrovandia phalacra","(Vaillant, 1888)",126638,2,2,"Chordata","Notacanthiformes","Halosauridae","Aldrovandia","Aldrovandia phalacra","Actinopteri",NA,NA,NA,NA,"Greater Antilles"
"73",399393,399393,769646,"Species","Alebion carchariae","Krøyer, 1863",135818,1,1,"Arthropoda","Siphonostomatoida","Caligidae","Alebion","Alebion carchariae",NA,NA,NA,NA,NA,"Greater Antilles"
"74",399447,399447,598612,"Species","Alepisaurus ferox","Lowe, 1833",126333,3,1,"Chordata","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox","Actinopteri",TRUE,"LC",NA,NA,"Greater Antilles"
"75",399552,399552,737681,"Species","Alima neptuni","(Linnaeus, 1768)",409168,2,1,"Arthropoda","Stomatopoda","Squillidae","Alima","Alima neptuni","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"76",399565,399565,774445,"Species","Alitta succinea","(Leuckart, 1847)",234850,12,1,"Annelida","Phyllodocida","Nereididae","Alitta","Alitta succinea","Polychaeta",NA,NA,TRUE,NA,"Greater Antilles"
"77",399583,399583,769789,"Species","Alle alle","(Linnaeus, 1758)",137129,3,1,"Chordata","Charadriiformes","Alcidae","Alle","Alle alle","Aves",TRUE,"LC",NA,NA,"Greater Antilles"
"78",399750,399750,767629,"Genus","Alopias","Rafinesque, 1810",105740,5,1,"Chordata","Lamniformes","Alopiidae","Alopias",NA,"Elasmobranchii",NA,NA,NA,NA,"Greater Antilles"
"79",399779,399779,767767,"Family","Alpheidae","Rafinesque, 1815",106776,2,1,"Arthropoda","Decapoda","Alpheidae",NA,NA,"Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"80",399798,399798,399779,"Genus","Alpheus","Fabricius, 1798",106978,6,2,"Arthropoda","Decapoda","Alpheidae","Alpheus",NA,"Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"81",399837,399837,399798,"Species","Alpheus cristulifrons","Rathbun, 1900",240847,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus","Alpheus cristulifrons","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"82",399868,399868,399798,"Species","Alpheus heterochaelis","Say, 1818",158348,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus","Alpheus heterochaelis","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"83",399910,399910,399798,"Species","Alpheus paracrinitus","Miers, 1881",210522,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus","Alpheus paracrinitus","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"84",400039,400039,599075,"Species","Aluterus schoepfii","(Walbaum, 1792)",159490,4,4,"Chordata","Tetraodontiformes","Monacanthidae","Aluterus","Aluterus schoepfii","Actinopteri",NA,NA,NA,NA,"Greater Antilles"
"85",400134,400134,767788,"Genus","Alvinocaris","Williams & Chace, 1982",378084,2,1,"Arthropoda","Decapoda","Alvinocarididae","Alvinocaris",NA,"Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"86",400174,400174,403809,"Genus","Amakusanthura","Nunomura, 1977",118287,1,1,"Arthropoda","Isopoda","Anthuridae","Amakusanthura",NA,"Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"87",400188,400188,400174,"Species","Amakusanthura magnifica","(Menzies & Frankenberg, 1966)",255365,3,1,"Arthropoda","Isopoda","Anthuridae","Amakusanthura","Amakusanthura magnifica","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"88",400193,400193,400174,"Species","Amakusanthura signata","(Menzies & Glynn, 1968)",255374,9,1,"Arthropoda","Isopoda","Anthuridae","Amakusanthura","Amakusanthura signata","Malacostraca",NA,NA,NA,NA,"Greater Antilles"
"89",400232,400232,737817,"Species","Amallothrix falcifer","(Farran, 1926)",104769,5,1,"Arthropoda","Calanoida","Scolecitrichidae","Amallothrix","Amallothrix falcifer",NA,NA,NA,NA,NA,"Greater Antilles"
"90",400302,400302,1047068,"Species","Amathia distans","Busk, 1886",111656,1,1,"Bryozoa","Ctenostomatida","Vesiculariidae","Amathia","Amathia distans","Gymnolaemata",NA,NA,NA,NA,"Greater Antilles"
