"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"1",591,591,790171,"Species","Nereis (Neanthes) mancorae","Berkeley & Berkeley, 1961",329583,2,1,"Annelida","Phyllodocida","Nereididae","Nereis","Nereis (Neanthes) mancorae","Polychaeta",NA,NA,NA,NA,"Guayaquil"
"2",395587,395587,778095,"Species","Abyssicaprella galatheae","McCain, 1966",345308,1,1,"Arthropoda","Amphipoda","Caprellidae","Abyssicaprella","Abyssicaprella galatheae","Malacostraca",NA,NA,NA,NA,"Guayaquil"
"3",395731,395731,395729,"Species","Acanthemblemaria balanorum","Brock, 1940",279445,3,3,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria balanorum","Actinopteri",TRUE,"LC",NA,NA,"Guayaquil"
"4",395787,395787,395780,"Species","Acanthistius pictus","(Tschudi, 1846)",278727,4,1,"Chordata","Perciformes","Serranidae","Acanthistius","Acanthistius pictus","Actinopteri",TRUE,"LC",NA,NA,"Guayaquil"
"5",395866,395866,769187,"Genus","Acanthochondria","Oakley, 1930",128615,1,1,"Arthropoda","Poecilostomatoida","Chondracanthidae","Acanthochondria",NA,NA,NA,NA,NA,NA,"Guayaquil"
"6",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,1,1,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,NA,"Guayaquil"
"7",395973,395973,395971,"Species","Acanthoica quattrospina","Lohmann, 1903",235802,19,1,"Haptophyta","Syracosphaerales","Rhabdosphaeraceae","Acanthoica","Acanthoica quattrospina","Prymnesiophyceae",NA,NA,NA,NA,"Guayaquil"
"8",396675,396675,396662,"Species","Achnanthes brevipes","C.Agardh, 1824",149387,1,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes brevipes","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"9",396726,396726,396662,"Species","Achnanthes longipes","C.Agardh, 1824",156533,91,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes longipes","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"10",396957,396957,695290,"Species","Acrocalanus andersoni","Bowman, 1958",104644,1,1,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus andersoni",NA,NA,NA,NA,NA,"Guayaquil"
"11",397893,397893,849984,"Species","Actinocyclus curvatulus","Janisch, 1874",345847,5,1,"Ochrophyta","Coscinodiscales","Hemidiscaceae","Actinocyclus","Actinocyclus curvatulus","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"12",398029,398029,770756,"Genus","Actinoptychus","Ehrenberg, 1843",148947,28,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus",NA,"Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"13",398077,398077,398029,"Species","Actinoptychus octonarius","(Ehrenberg) Kützing, 1844",149163,22,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus octonarius","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"14",398083,398083,398029,"Species","Actinoptychus senarius","(Ehrenberg) Ehrenberg, 1843",148948,123,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus senarius","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"15",398085,398085,398029,"Species","Actinoptychus splendens","(Shadbolt) Ralfs ex Pritchard, 1861",148949,46,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus splendens","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"16",398565,398565,398561,"Species","Aequorea coerulescens","(Brandt, 1835)",221109,1,1,"Cnidaria","Leptothecata","Aequoreidae","Aequorea","Aequorea coerulescens","Hydrozoa",NA,NA,NA,NA,"Guayaquil"
"17",399140,399140,766922,"Genus","Akera","O. F. Müller, 1776",137641,1,1,"Mollusca","Anaspidea","Akeridae","Akera",NA,"Gastropoda",NA,NA,NA,NA,"Guayaquil"
"18",399468,399468,737659,"Species","Alepocephalus owstoni","Tanaka, 1908",272847,2,2,"Chordata","Osmeriformes","Alepocephalidae","Alepocephalus","Alepocephalus owstoni","Actinopteri",TRUE,"LC",NA,NA,"Guayaquil"
"19",399797,399797,737741,"Species","Alphestes multiguttatus","(Günther, 1867)",279569,1,1,"Chordata","Perciformes","Serranidae","Alphestes","Alphestes multiguttatus","Actinopteri",TRUE,"LC",NA,NA,"Guayaquil"
"20",401043,401043,738008,"Species","Amphidinium acutissimum","Schiller, 1933",109718,9,1,"Myzozoa","Gymnodiniales","Gymnodiniaceae","Amphidinium","Amphidinium acutissimum","Dinophyceae",NA,NA,NA,NA,"Guayaquil"
"21",401111,401111,401110,"Species","Amphilectus fucorum","(Esper, 1794)",150225,2,2,"Porifera","Poecilosclerida","Esperiopsidae","Amphilectus","Amphilectus fucorum","Demospongiae",NA,NA,NA,NA,"Guayaquil"
"22",401426,401426,770824,"Genus","Amphiprora","Ehrenberg, 1843",149140,184,1,"Ochrophyta","Naviculales","Amphipleuraceae","Amphiprora",NA,"Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"23",401536,401536,767902,"Genus","Amphisolenia","Stein, 1883",109459,9,1,"Myzozoa","Dinophysiales","Amphisoleniaceae","Amphisolenia",NA,"Dinophyceae",NA,NA,NA,NA,"Guayaquil"
"24",401723,401723,770794,"Genus","Amphora","Ehrenberg ex Kützing, 1844",149200,94,1,"Ochrophyta","Thalassiophysales","Catenulaceae","Amphora",NA,"Bacillariophyceae",NA,NA,TRUE,NA,"Guayaquil"
"25",402239,402239,775761,"Species","Anactis picta","(Lesson, 1830)",289406,1,1,"Cnidaria","Actiniaria",NA,"Anactis","Anactis picta","Anthozoa",NA,NA,NA,NA,"Guayaquil"
"26",402573,402573,695543,"Species","Anchoa argentivittata","(Regan, 1904)",275507,10,3,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa argentivittata","Actinopteri",TRUE,"LC",NA,NA,"Guayaquil"
"27",402582,402582,695543,"Species","Anchoa eigenmannia","(Meek & Hildebrand, 1923)",275516,3,1,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa eigenmannia","Actinopteri",TRUE,"LC",NA,NA,"Guayaquil"
"28",402600,402600,695543,"Species","Anchoa nasus","(Kner & Steindachner, 1867)",275528,13,1,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa nasus","Actinopteri",TRUE,"LC",NA,NA,"Guayaquil"
"29",402605,402605,695543,"Species","Anchoa starksi","(Gilbert & Pierson, 1898)",275534,5,1,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa starksi","Actinopteri",TRUE,"LC",NA,NA,"Guayaquil"
"30",402612,402612,738230,"Species","Anchovia macrolepidota","(Kner, 1863)",279608,5,1,"Chordata","Clupeiformes","Engraulidae","Anchovia","Anchovia macrolepidota","Actinopteri",TRUE,"LC",NA,NA,"Guayaquil"
"31",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",106671,5,2,"Arthropoda","Decapoda",NA,NA,NA,"Malacostraca",NA,NA,NA,NA,"Guayaquil"
"32",403684,403684,771628,"Species","Antholoba achates","(Drayton in Dana, 1846)",287436,4,3,"Cnidaria","Actiniaria","Actinostolidae","Antholoba","Antholoba achates","Anthozoa",NA,NA,NA,NA,"Guayaquil"
"33",403788,403788,768907,"Genus","Anthothela","Verrill, 1879",125324,2,2,"Cnidaria","Alcyonacea","Anthothelidae","Anthothela",NA,"Anthozoa",NA,NA,NA,NA,"Guayaquil"
"34",404327,404327,601831,"Species","Aphrodita japonica","Marenzeller, 1879",326499,2,1,"Annelida","Phyllodocida","Aphroditidae","Aphrodita","Aphrodita japonica","Polychaeta",NA,NA,NA,NA,"Guayaquil"
"35",405321,405321,768755,"Genus","Arbacia","Gray, 1835",123371,2,1,"Echinodermata","Arbacioida","Arbaciidae","Arbacia",NA,"Echinoidea",NA,NA,NA,NA,"Guayaquil"
"36",405619,405619,738774,"Species","Arcos rhodospilus","(Günther, 1864)",279685,7,4,"Chordata","Gobiesociformes","Gobiesocidae","Arcos","Arcos rhodospilus","Actinopteri",TRUE,"LC",NA,NA,"Guayaquil"
"37",405865,405865,405864,"Species","Argentina aliceae","Cohen & Atsaides, 1969",272891,19,3,"Chordata","Osmeriformes","Argentinidae","Argentina","Argentina aliceae","Actinopteri",TRUE,"LC",NA,NA,"Guayaquil"
"38",405925,405925,405924,"Subspecies","Argopecten irradians concentricus","(Say, 1822)",394266,7,1,"Mollusca","Pectinoida","Pectinidae","Argopecten","Argopecten irradians","Bivalvia",NA,NA,NA,NA,"Guayaquil"
"39",405954,405954,760154,"Genus","Argyropelecus","Cocco, 1829",126196,1,1,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus",NA,"Actinopteri",NA,NA,NA,NA,"Guayaquil"
"40",405969,405969,405954,"Species","Argyropelecus olfersii","(Cuvier, 1829)",274967,1,1,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus olfersii","Actinopteri",NA,NA,NA,NA,"Guayaquil"
"41",406207,406207,1028945,"Genus","Arius","Valenciennes, 1840",158710,2,2,"Chordata","Siluriformes","Ariidae","Arius",NA,"Actinopteri",NA,NA,NA,NA,"Guayaquil"
"42",407088,407088,770790,"Species","Asterionellopsis glacialis","(Castracane) Round, 1990",149139,430,2,"Ochrophyta","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis glacialis","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"43",407119,407119,771841,"Genus","Asterolampra","Ehrenberg, 1844",248069,5,1,"Ochrophyta","Asterolamprales","Asterolampraceae","Asterolampra",NA,"Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"44",407159,407159,771841,"Genus","Asteromphalus","Ehrenberg, 1844",162254,12,1,"Ochrophyta","Asterolamprales","Asterolampraceae","Asteromphalus",NA,"Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"45",407174,407174,407159,"Species","Asteromphalus flabellatus","(Brébisson) Greville, 1859",162255,111,1,"Ochrophyta","Asterolamprales","Asterolampraceae","Asteromphalus","Asteromphalus flabellatus","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"46",407176,407176,407159,"Species","Asteromphalus heptactis","(Brébisson) Ralfs, 1861",162258,226,2,"Ochrophyta","Asterolamprales","Asterolampraceae","Asteromphalus","Asteromphalus heptactis","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"47",407379,407379,695777,"Species","Astrangia haimei","Verrill, 1866",287121,4,2,"Cnidaria","Scleractinia","Rhizangiidae","Astrangia","Astrangia haimei","Anthozoa",NA,NA,NA,NA,"Guayaquil"
"48",408012,408012,408007,"Species","Atolla wyvillei","Haeckel, 1880",135282,2,1,"Cnidaria","Coronatae","Atollidae","Atolla","Atolla wyvillei","Scyphozoa",NA,NA,NA,NA,"Guayaquil"
"49",408443,408443,739328,"Genus","Aulopus","Cloquet, 1816",125663,1,1,"Chordata","Aulopiformes","Aulopidae","Aulopus",NA,"Actinopteri",NA,NA,NA,NA,"Guayaquil"
"50",409094,409094,770762,"Genus","Bacteriastrum","Shadbolt, 1854",149118,13,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum",NA,"Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"51",409096,409096,409094,"Species","Bacteriastrum comosum","J.Pavillard, 1916",248066,19,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum comosum","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"52",409100,409100,409094,"Species","Bacteriastrum delicatulum","Cleve, 1897",164108,208,2,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum delicatulum","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"53",409103,409103,409094,"Species","Bacteriastrum elongatum","Cleve, 1897",162916,1,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum elongatum","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"54",409104,409104,409094,"Species","Bacteriastrum furcatum","Shadbolt, 1854",164110,4,2,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum furcatum","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"55",409105,409105,409094,"Species","Bacteriastrum hyalinum","Lauder, 1864",149119,203,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum hyalinum","Bacillariophyceae",NA,NA,NA,NA,"Guayaquil"
"56",409205,409205,409200,"Species","Bairdiella ensifera","(Jordan & Gilbert, 1882)",276070,2,1,"Chordata","Perciformes","Sciaenidae","Bairdiella","Bairdiella ensifera","Actinopteri",TRUE,"LC",NA,NA,"Guayaquil"
"57",409238,409238,739484,"Species","Balaenoptera musculus","(Linnaeus, 1758)",137090,4,3,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus","Mammalia",TRUE,"EN",NA,NA,"Guayaquil"
"58",410631,410631,410629,"Species","Bathyonus caudalis","(Garman, 1899)",272796,1,1,"Chordata","Ophidiiformes","Ophidiidae","Bathyonus","Bathyonus caudalis","Actinopteri",NA,NA,NA,NA,"Guayaquil"
"59",410752,410752,739710,"Species","Bathypterois phenax","Parr, 1928",126345,1,1,"Chordata","Aulopiformes","Ipnopidae","Bathypterois","Bathypterois phenax","Actinopteri",NA,NA,NA,NA,"Guayaquil"
