"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","gisd","ecoregion"
"1",395447,395447,700476,"Genus","Abra","Lamarck, 1818",138474,1,1,"Mollusca","Cardiida","Semelidae","Abra","Bivalvia",NA,NA,NA,NA,"Guianan"
"2",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,8,2,"Cnidaria","Alcyonacea","Isididae","Acanella","Anthozoa",NA,NA,NA,NA,"Guianan"
"3",395746,395746,695236,"Species","Acanthephyra acanthitelsonis","Spence Bate, 1888",240809,3,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Malacostraca","Acanthephyra acanthitelsonis",NA,NA,NA,"Guianan"
"4",395747,395747,695236,"Species","Acanthephyra acutifrons","Spence Bate, 1888",158347,2,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Malacostraca","Acanthephyra acutifrons",NA,NA,NA,"Guianan"
"5",395761,395761,695236,"Species","Acanthephyra kingsleyi","Spence Bate, 1888",240810,2,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Malacostraca","Acanthephyra kingsleyi",NA,NA,NA,"Guianan"
"6",395815,395815,395814,"Species","Acanthocarpus alexandri","Stimpson, 1871",158044,2,1,"Arthropoda","Decapoda","Calappidae","Acanthocarpus","Malacostraca","Acanthocarpus alexandri",NA,NA,NA,"Guianan"
"7",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,19,1,"Chordata","Perciformes","Scombridae","Acanthocybium","Actinopteri","Acanthocybium solandri",TRUE,"LC",NA,"Guianan"
"8",396204,396204,754094,"Genus","Acanthostracion","Bleeker, 1865",126237,2,1,"Chordata","Tetraodontiformes","Ostraciidae","Acanthostracion","Actinopteri",NA,NA,NA,NA,"Guianan"
"9",396957,396957,695290,"Species","Acrocalanus andersoni","Bowman, 1958",104644,1,1,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus",NA,"Acrocalanus andersoni",NA,NA,NA,"Guianan"
"10",398647,398647,398644,"Species","Aetideus armatus","(Boeck, 1872)",104275,1,1,"Arthropoda","Calanoida","Aetideidae","Aetideus",NA,"Aetideus armatus",NA,NA,NA,"Guianan"
"11",398805,398805,398802,"Species","Agaue corollata","Bartsch, 1978",114878,1,1,"Arthropoda","Trombidiformes","Halacaridae","Agaue","Arachnida","Agaue corollata",NA,NA,NA,"Guianan"
"12",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",117851,4,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Hydrozoa","Aglaura hemistoma",NA,NA,NA,"Guianan"
"13",399388,399388,737643,"Species","Aldrovandia oleosa","Sulak, 1977",157881,2,2,"Chordata","Notacanthiformes","Halosauridae","Aldrovandia","Actinopteri","Aldrovandia oleosa",NA,NA,NA,"Guianan"
"14",400039,400039,599075,"Species","Aluterus schoepfii","(Walbaum, 1792)",159490,3,1,"Chordata","Tetraodontiformes","Monacanthidae","Aluterus","Actinopteri","Aluterus schoepfii",NA,NA,NA,"Guianan"
"15",400793,400793,737935,"Species","Ampelisca bicarinata","Goeke & Heard, 1983",421433,2,2,"Arthropoda","Amphipoda","Ampeliscidae","Ampelisca","Malacostraca","Ampelisca bicarinata",NA,NA,NA,"Guianan"
"16",400850,400850,737935,"Species","Ampelisca parapacifica","Goeke & Heard, 1984",421439,6,3,"Arthropoda","Amphipoda","Ampeliscidae","Ampelisca","Malacostraca","Ampelisca parapacifica",NA,NA,NA,"Guianan"
"17",400955,400955,776148,"Species","Amphiarius phrygiatus","(Valenciennes, 1840)",279586,96,3,"Chordata","Siluriformes","Ariidae","Amphiarius","Actinopteri","Amphiarius phrygiatus",TRUE,"LC",NA,"Guianan"
"18",400956,400956,776148,"Species","Amphiarius rugispinis","(Valenciennes, 1840)",279587,80,2,"Chordata","Siluriformes","Ariidae","Amphiarius","Actinopteri","Amphiarius rugispinis",NA,NA,NA,"Guianan"
"19",401612,401612,774583,"Species","Amphithyrus sculpturatus","Claus, 1879",236616,7,3,"Arthropoda","Amphipoda","Platyscelidae","Amphithyrus","Malacostraca","Amphithyrus sculpturatus",NA,NA,NA,"Guianan"
"20",402155,402155,776153,"Species","Anableps anableps","(Linnaeus, 1758)",279598,87,4,"Chordata","Cyprinodontiformes","Anablepidae","Anableps","Actinopteri","Anableps anableps",NA,NA,NA,"Guianan"
"21",402615,402615,738230,"Species","Anchovia surinamensis","(Bleeker, 1865)",279609,162,5,"Chordata","Clupeiformes","Engraulidae","Anchovia","Actinopteri","Anchovia surinamensis",NA,NA,NA,"Guianan"
"22",402616,402616,745197,"Genus","Anchoviella","Fowler, 1911",158700,37,4,"Chordata","Clupeiformes","Engraulidae","Anchoviella","Actinopteri",NA,NA,NA,NA,"Guianan"
"23",402622,402622,402616,"Species","Anchoviella brevirostris","(Günther, 1868)",275540,21,2,"Chordata","Clupeiformes","Engraulidae","Anchoviella","Actinopteri","Anchoviella brevirostris",TRUE,"LC",NA,"Guianan"
"24",402628,402628,402616,"Species","Anchoviella guianensis","(Eigenmann, 1912)",275543,58,4,"Chordata","Clupeiformes","Engraulidae","Anchoviella","Actinopteri","Anchoviella guianensis",NA,NA,NA,"Guianan"
"25",402632,402632,402616,"Species","Anchoviella lepidentostole","(Fowler, 1911)",275544,64,5,"Chordata","Clupeiformes","Engraulidae","Anchoviella","Actinopteri","Anchoviella lepidentostole",NA,NA,NA,"Guianan"
