"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","hab","gisd","ecoregion"
"1",395408,395408,509722,"Genus","Abietinaria","Kirchenpauer, 1884",117225,11,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Hydrozoa",NA,NA,NA,NA,NA,"Gulf of Alaska"
"2",395409,395409,395408,"Species","Abietinaria abietina","(Linnaeus, 1758)",117870,1,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Hydrozoa","Abietinaria abietina",NA,NA,NA,NA,"Gulf of Alaska"
"3",395414,395414,395408,"Species","Abietinaria gigantea","(Clark, 1877)",285364,2,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Hydrozoa","Abietinaria gigantea",NA,NA,NA,NA,"Gulf of Alaska"
"4",395422,395422,395408,"Species","Abietinaria variabilis","(Clark, 1877)",285382,3,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Hydrozoa","Abietinaria variabilis",NA,NA,NA,NA,"Gulf of Alaska"
"5",395971,395971,768313,"Genus","Acanthoica","Lohmann, 1903",115083,8,1,"Haptophyta","Syracosphaerales","Rhabdosphaeraceae","Acanthoica","Prymnesiophyceae",NA,NA,NA,NA,NA,"Gulf of Alaska"
"6",396013,396013,776107,"Species","Acantholiparis opercularis","Gilbert & Burke, 1912",279480,2,2,"Chordata","Scorpaeniformes","Liparidae","Acantholiparis","Actinopteri","Acantholiparis opercularis",NA,NA,NA,NA,"Gulf of Alaska"
"7",396016,396016,775539,"Species","Acantholumpenus mackayi","(Gilbert, 1896)",249703,2,2,"Chordata","Perciformes","Stichaeidae","Acantholumpenus","Actinopteri","Acantholumpenus mackayi",NA,NA,NA,NA,"Gulf of Alaska"
"8",396046,396046,780849,"Genus","Acanthomysis","Czerniavsky, 1882",119831,2,1,"Arthropoda","Mysida","Mysidae","Acanthomysis","Malacostraca",NA,NA,NA,NA,NA,"Gulf of Alaska"
"9",396202,396202,396200,"Species","Acanthostomella norvegica","(Daday, 1887)",183556,6,1,"Ciliophora","Choreotrichida","Ascampbelliellidae","Acanthostomella","Oligotrichea","Acanthostomella norvegica",NA,NA,NA,NA,"Gulf of Alaska"
"10",396290,396290,405225,"Subclass","Acari","Leach, 1817",292684,2,1,"Arthropoda",NA,NA,NA,"Arachnida",NA,NA,NA,NA,NA,"Gulf of Alaska"
"11",396326,396326,770837,"Species","Acartia (Acartiura) clausi","Giesbrecht, 1889",149755,72,1,"Arthropoda","Calanoida","Acartiidae","Acartia",NA,"Acartia (Acartiura) clausi",NA,NA,NA,NA,"Gulf of Alaska"
"12",396726,396726,396662,"Species","Achnanthes longipes","C.Agardh, 1824",156533,1,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes","Bacillariophyceae","Achnanthes longipes",NA,NA,NA,NA,"Gulf of Alaska"
"13",396974,396974,396971,"Species","Acrochaete ramosa","(N.L.Gardner) O'Kelly, 2006",377106,1,1,"Chlorophyta","Ulvales","Ulvellaceae","Acrochaete","Ulvophyceae","Acrochaete ramosa",NA,NA,NA,NA,"Gulf of Alaska"
"14",397092,397092,772910,"Genus","Acropora","Oken, 1815",205469,6,1,"Cnidaria","Scleractinia","Acroporidae","Acropora","Anthozoa",NA,NA,NA,NA,NA,"Gulf of Alaska"
"15",397361,397361,597075,"Species","Acrosiphonia saxatilis","(Ruprecht) K.L.Vinogradova, 1979",366448,4,1,"Chlorophyta","Ulotrichales","Ulotrichaceae","Acrosiphonia","Ulvophyceae","Acrosiphonia saxatilis",NA,NA,NA,NA,"Gulf of Alaska"
"16",397426,397426,737307,"Species","Acrothrix gracilis","Kylin, 1907",144908,1,1,"Ochrophyta","Ectocarpales","Chordariaceae","Acrothrix","Phaeophyceae","Acrothrix gracilis",NA,NA,NA,NA,"Gulf of Alaska"
