"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"1",362,362,397533,"Species","Acteon melampoides","Dall, 1881",159968,1,1,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon","Acteon melampoides","Gastropoda",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"2",532,532,473696,"Species","Munidopsis transtridens","Pequegnat & Pequegnat, 1971",392631,1,1,"Arthropoda","Decapoda","Munidopsidae","Munidopsis","Munidopsis transtridens","Malacostraca",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"3",582,582,477563,"Species","Nephasoma capelliformis","(Murina)",183285,17,1,"Sipuncula","Golfingiida","Golfingiidae","Nephasoma","Nephasoma capelliformis","Sipunculidea",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"4",606,606,654118,"Subspecies","Paraliparis copei copei","Goode & Bean, 1896",293702,2,2,"Chordata","Scorpaeniformes","Liparidae","Paraliparis","Paraliparis copei","Actinopteri",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"5",395408,395408,509722,"Genus","Abietinaria","Kirchenpauer, 1884",117225,27,2,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria",NA,"Hydrozoa",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"6",395409,395409,395408,"Species","Abietinaria abietina","(Linnaeus, 1758)",117870,3,2,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria abietina","Hydrozoa",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"7",395413,395413,395408,"Species","Abietinaria filicula","(Ellis & Solander, 1786)",117871,2,2,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria filicula","Hydrozoa",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"8",395446,395446,767579,"Species","Abothrium gadi","Van Beneden, 1871",105216,1,1,"Platyhelminthes","Bothriocephalidea","Triaenophoridae","Abothrium","Abothrium gadi","Cestoda",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"9",395447,395447,700476,"Genus","Abra","Lamarck, 1818",138474,1,1,"Mollusca","Cardiida","Semelidae","Abra",NA,"Bivalvia",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"10",395486,395486,438892,"Genus","Abraliopsis","Joubin, 1896",137931,3,3,"Mollusca","Oegopsida","Enoploteuthidae","Abraliopsis",NA,"Cephalopoda",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"11",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,4,2,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"12",395651,395651,395650,"Species","Acanella arbuscula","(Johnson, 1862)",125371,53,3,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella arbuscula","Anthozoa",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"13",395754,395754,695236,"Species","Acanthephyra eximia","Smith, 1884",564909,1,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra eximia","Malacostraca",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"14",395764,395764,695236,"Species","Acanthephyra pelagica","(Risso, 1816)",107581,13,4,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","Malacostraca",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"15",395827,395827,769073,"Species","Acanthochaenus luetkenii","Gill, 1884",127280,1,1,"Chordata","Stephanoberyciformes","Stephanoberycidae","Acanthochaenus","Acanthochaenus luetkenii","Actinopteri",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"16",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,156,2,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,NA,"Gulf of Maine_Bay of Fundy"
"17",395927,395927,395925,"Species","Acanthodoris pilosa","(Abildgaard in Müller, 1789)",140627,14,3,"Mollusca","Nudibranchia","Onchidorididae","Acanthodoris","Acanthodoris pilosa","Gastropoda",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
