"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",499,499,643613,"Species","Meringosphaera mediterranea","Lohmann, 1903",248129,443,1,"Ochrophyta","Mischococcales","Pleurochloridaceae","Meringosphaera","Meringosphaera mediterranea","Xanthophyceae",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"2",606,606,654118,"Subspecies","Paraliparis copei copei","Goode & Bean, 1896",293702,1379,9,"Chordata","Scorpaeniformes","Liparidae","Paraliparis","Paraliparis copei","Actinopteri",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"3",395409,395409,395408,"Species","Abietinaria abietina","(Linnaeus, 1758)",117870,7,2,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria abietina","Hydrozoa",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"4",395439,395439,395436,"Species","Abludomelita obtusata","(Montagu, 1813)",102788,1,1,"Arthropoda","Amphipoda","Melitidae","Abludomelita","Abludomelita obtusata","Malacostraca",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"5",395467,395467,438892,"Genus","Abralia","Gray, 1849",137930,1,1,"Mollusca","Oegopsida","Enoploteuthidae","Abralia",NA,"Cephalopoda",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"6",395486,395486,438892,"Genus","Abraliopsis","Joubin, 1896",137931,7,1,"Mollusca","Oegopsida","Enoploteuthidae","Abraliopsis",NA,"Cephalopoda",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"7",395651,395651,395650,"Species","Acanella arbuscula","(Johnson, 1862)",125371,60,3,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella arbuscula","Anthozoa",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"8",395754,395754,695236,"Species","Acanthephyra eximia","Smith, 1884",564909,27,2,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra eximia","Malacostraca",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"9",395764,395764,695236,"Species","Acanthephyra pelagica","(Risso, 1816)",107581,299,4,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","Malacostraca",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"10",395902,395902,395897,"Species","Acanthocorbis unguiculata","(Thomsen) Hara & Takahashi, 1984",105546,3,1,"Choanozoa","Acanthoecida","Acanthoecidae","Acanthocorbis","Acanthocorbis unguiculata","Choanoflagellatea",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"11",395941,395941,695247,"Species","Acanthogorgia armata","Verrill, 1878",125348,25,4,"Cnidaria","Alcyonacea","Acanthogorgiidae","Acanthogorgia","Acanthogorgia armata","Anthozoa",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"12",395973,395973,395971,"Species","Acanthoica quattrospina","Lohmann, 1903",235802,127,2,"Haptophyta","Syracosphaerales","Rhabdosphaeraceae","Acanthoica","Acanthoica quattrospina","Prymnesiophyceae",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"13",396199,396199,596574,"Species","Acanthostepheia malmgreni","(Goës, 1866)",102864,16,1,"Arthropoda","Amphipoda","Oedicerotidae","Acanthostepheia","Acanthostepheia malmgreni","Malacostraca",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"14",396202,396202,396200,"Species","Acanthostomella norvegica","(Daday, 1887)",183556,242,4,"Ciliophora","Choreotrichida","Ascampbelliellidae","Acanthostomella","Acanthostomella norvegica","Oligotrichea",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"15",396214,396214,737105,"Genus","Acanthurus","Forsskål, 1775",125908,1,1,"Chordata","Perciformes","Acanthuridae","Acanthurus",NA,"Actinopteri",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"16",396290,396290,405225,"Subclass","Acari","Leach, 1817",292684,1,1,"Arthropoda",NA,NA,NA,NA,"Arachnida",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"17",396326,396326,770837,"Species","Acartia (Acartiura) clausi","Giesbrecht, 1889",149755,73,2,"Arthropoda","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",NA,NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"18",396662,396662,770793,"Genus","Achnanthes","Bory de Saint-Vincent, 1822",149191,127,3,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes",NA,"Bacillariophyceae",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"19",396675,396675,396662,"Species","Achnanthes brevipes","C.Agardh, 1824",149387,1,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes brevipes","Bacillariophyceae",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"20",396726,396726,396662,"Species","Achnanthes longipes","C.Agardh, 1824",156533,12,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes longipes","Bacillariophyceae",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"21",396804,396804,737190,"Genus","Acipenser","Linnaeus, 1758",125618,1,1,"Chordata","Acipenseriformes","Acipenseridae","Acipenser",NA,"Actinopteri",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"22",396808,396808,396804,"Species","Acipenser fulvescens","Rafinesque, 1817",271694,234,3,"Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser fulvescens","Actinopteri",TRUE,"LC",NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"23",396813,396813,396804,"Species","Acipenser oxyrinchus","Mitchill, 1815",151802,217,5,"Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus","Actinopteri",TRUE,"NT",NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"24",396983,396983,770254,"Genus","Acrochaetium","Nägeli, 1858",143799,1,1,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium",NA,"Florideophyceae",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"25",397031,397031,396983,"Species","Acrochaetium savianum","(Meneghini) Nägeli, 1862",144386,11,1,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium","Acrochaetium savianum","Florideophyceae",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"26",397355,397355,597075,"Species","Acrosiphonia arcta","(Dillwyn) Gain, 1912",144407,1,1,"Chlorophyta","Ulotrichales","Ulotrichaceae","Acrosiphonia","Acrosiphonia arcta","Ulvophyceae",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"27",397561,397561,748410,"Genus","Actinauge","Verrill, 1883",100750,1,1,"Cnidaria","Actiniaria","Hormathiidae","Actinauge",NA,"Anthozoa",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"28",397565,397565,397561,"Species","Actinauge cristata","Riemann-Zürneck, 1986",158210,3,1,"Cnidaria","Actiniaria","Hormathiidae","Actinauge","Actinauge cristata","Anthozoa",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"29",397605,397605,695303,"Species","Actinernus nobilis","Verrill, 1879",158217,6,2,"Cnidaria","Actiniaria","Actinernidae","Actinernus","Actinernus nobilis","Anthozoa",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"30",397861,397861,767920,"Species","Actiniscus pentasterias","(Ehrenberg) Ehrenberg, 1844",109717,19,3,"Myzozoa","Actiniscales","Actiniscaceae","Actiniscus","Actiniscus pentasterias","Dinophyceae",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"31",397898,397898,849984,"Species","Actinocyclus ehrenbergii","Ralfs, 1861",149283,6,1,"Ochrophyta","Coscinodiscales","Hemidiscaceae","Actinocyclus","Actinocyclus ehrenbergii","Bacillariophyceae",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"32",398010,398010,778666,"Species","Actinomonas mirabilis","W.S.Kent, 1880",375694,2,1,"Ochrophyta","Pedinellales","Pedinellaceae","Actinomonas","Actinomonas mirabilis","Dictyochophyceae",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"33",398083,398083,398029,"Species","Actinoptychus senarius","(Ehrenberg) Ehrenberg, 1843",148948,4,2,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus senarius","Bacillariophyceae",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"34",398285,398285,768217,"Species","Adercotryma glomerata","(Brady, 1878)",113837,74,4,"Foraminifera","Lituolida","Adercotrymidae","Adercotryma","Adercotryma glomerata","Globothalamea",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"35",398391,398391,737450,"Genus","Aega","Leach, 1815",118394,1,1,"Arthropoda","Isopoda","Aegidae","Aega",NA,"Malacostraca",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"36",398412,398412,398391,"Species","Aega psora","(Linnaeus, 1758)",118827,11,4,"Arthropoda","Isopoda","Aegidae","Aega","Aega psora","Malacostraca",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"37",398483,398483,1014227,"Genus","Aegisthus","Giesbrecht, 1891",115186,1,1,"Arthropoda","Harpacticoida","Aegisthidae","Aegisthus",NA,NA,NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"38",398509,398509,398508,"Species","Aeolidia papillosa","(Linnaeus, 1761)",138709,7,1,"Mollusca","Nudibranchia","Aeolidiidae","Aeolidia","Aeolidia papillosa","Gastropoda",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"39",398573,398573,398561,"Species","Aequorea vitrina","Gosse, 1853",117273,1,1,"Cnidaria","Leptothecata","Aequoreidae","Aequorea","Aequorea vitrina","Hydrozoa",NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"40",398634,398634,740483,"Family","Aetideidae","Giesbrecht, 1892",104075,695,4,"Arthropoda","Calanoida","Aetideidae",NA,NA,NA,NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
"41",398639,398639,398635,"Species","Aetideopsis multiserrata","(Wolfenden, 1904)",104270,1,1,"Arthropoda","Calanoida","Aetideidae","Aetideopsis","Aetideopsis multiserrata",NA,NA,NA,NA,NA,"Gulf of St. Lawrence - Eastern Scotian Shelf"
