"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","ecoregion"
"1",395420,395420,395408,"Species","Abietinaria turgida","(Clark, 1877)",157609,1,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria turgida","Hydrozoa",NA,NA,"High Arctic Archipelago"
"2",396199,396199,596574,"Species","Acanthostepheia malmgreni","(Goës, 1866)",102864,2,1,"Arthropoda","Amphipoda","Oedicerotidae","Acanthostepheia","Acanthostepheia malmgreni","Malacostraca",NA,NA,"High Arctic Archipelago"
"3",398285,398285,768217,"Species","Adercotryma glomerata","(Brady, 1878)",113837,1,1,"Foraminifera","Lituolida","Adercotrymidae","Adercotryma","Adercotryma glomerata","Globothalamea",NA,NA,"High Arctic Archipelago"
"4",398634,398634,740483,"Family","Aetideidae","Giesbrecht, 1892",104075,75,1,"Arthropoda","Calanoida","Aetideidae",NA,NA,NA,NA,NA,"High Arctic Archipelago"
"5",399583,399583,769789,"Species","Alle alle","(Linnaeus, 1758)",137129,23,1,"Chordata","Charadriiformes","Alcidae","Alle","Alle alle","Aves",TRUE,"LC","High Arctic Archipelago"
"6",402405,402405,600649,"Species","Anarhichas denticulatus","Krøyer, 1845",126757,2,2,"Chordata","Perciformes","Anarhichadidae","Anarhichas","Anarhichas denticulatus","Actinopteri",NA,NA,"High Arctic Archipelago"
"7",402469,402469,402464,"Species","Anatoma crispata","(Fleming, 1828)",141417,1,1,"Mollusca",NA,"Anatomidae","Anatoma","Anatoma crispata","Gastropoda",NA,NA,"High Arctic Archipelago"
"8",405684,405684,627892,"Genus","Arctogadus","Dryagin, 1932",125728,1,1,"Chordata","Gadiformes","Gadidae","Arctogadus",NA,"Actinopteri",NA,NA,"High Arctic Archipelago"
"9",405685,405685,405684,"Species","Arctogadus borisovi","Dryagin, 1932",272297,3,1,"Chordata","Gadiformes","Gadidae","Arctogadus","Arctogadus borisovi","Actinopteri",NA,NA,"High Arctic Archipelago"
"10",405686,405686,405684,"Species","Arctogadus glacialis","(Peters, 1872)",126432,26,2,"Chordata","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","Actinopteri",NA,NA,"High Arctic Archipelago"
"11",406296,406296,406293,"Species","Armadillidium vulgare","(Latreille, 1804)",257832,2,1,"Arthropoda","Isopoda","Armadillidiidae","Armadillidium","Armadillidium vulgare","Malacostraca",NA,NA,"High Arctic Archipelago"
"12",406678,406678,406677,"Species","Ascorhynchus abyssi","Sars, 1877",134618,1,1,"Arthropoda","Pantopoda","Ascorhynchidae","Ascorhynchus","Ascorhynchus abyssi","Pycnogonida",NA,NA,"High Arctic Archipelago"
"13",410260,410260,410258,"Species","Bathyarca frielei","(Friele, 1877)",138796,1,1,"Mollusca","Arcoida","Arcidae","Bathyarca","Bathyarca frielei","Bivalvia",NA,NA,"High Arctic Archipelago"
"14",411441,411441,606283,"Species","Beroe cucumis","Fabricius, 1780",106358,2,1,"Ctenophora","Beroida","Beroidae","Beroe","Beroe cucumis","Nuda",NA,NA,"High Arctic Archipelago"
"15",412611,412611,696028,"Species","Botrynema ellinorae","(Hartlaub, 1909)",117616,7,1,"Cnidaria","Trachymedusae","Halicreatidae","Botrynema","Botrynema ellinorae","Hydrozoa",NA,NA,"High Arctic Archipelago"
"16",414462,414462,414431,"Genus","Calanus","Leach, 1816",104152,60,1,"Arthropoda","Calanoida","Calanidae","Calanus",NA,NA,NA,NA,"High Arctic Archipelago"
"17",414468,414468,414462,"Species","Calanus finmarchicus","(Gunnerus, 1770)",104464,168,1,"Arthropoda","Calanoida","Calanidae","Calanus","Calanus finmarchicus",NA,NA,NA,"High Arctic Archipelago"
"18",418487,418487,418484,"Species","Cepphus grylle","(Linnaeus, 1758)",137130,3,1,"Chordata","Charadriiformes","Alcidae","Cepphus","Cepphus grylle","Aves",TRUE,"LC","High Arctic Archipelago"
"19",424079,424079,424077,"Species","Clione limacina","(Phipps, 1774)",139178,55,1,"Mollusca","Gymnosomata","Clionidae","Clione","Clione limacina","Gastropoda",NA,NA,"High Arctic Archipelago"
"20",427007,427007,427005,"Species","Cornuspira involvens","(Reuss, 1850)",112488,1,1,"Foraminifera","Miliolida","Cornuspiridae","Cornuspira","Cornuspira involvens","Tubothalamea",NA,NA,"High Arctic Archipelago"
"21",428708,428708,428706,"Species","Cribrostomoides jeffreysi","(Williamson, 1858)",114035,33,1,"Foraminifera","Lituolida","Ammosphaeroidinidae","Cribrostomoides","Cribrostomoides jeffreysi",NA,NA,NA,"High Arctic Archipelago"
"22",429938,429938,429892,"Species","Cuspidaria obesa","(Lovén, 1846)",139450,1,1,"Mollusca",NA,"Cuspidariidae","Cuspidaria","Cuspidaria obesa","Bivalvia",NA,NA,"High Arctic Archipelago"
"23",430251,430251,771530,"Order","Cyclopoida","Burmeister, 1834",1101,1,1,"Arthropoda","Cyclopoida",NA,NA,NA,NA,NA,NA,"High Arctic Archipelago"
"24",432114,432114,770691,"Genus","Daphnia","O.F. Müller, 1785",148370,1,1,"Arthropoda","Diplostraca","Daphniidae","Daphnia",NA,"Branchiopoda",NA,NA,"High Arctic Archipelago"
"25",434436,434436,434435,"Species","Dimophyes arctica","(Chun, 1897)",135418,9,1,"Cnidaria","Siphonophorae","Diphyidae","Dimophyes","Dimophyes arctica","Hydrozoa",NA,NA,"High Arctic Archipelago"
"26",440039,440039,769774,"Species","Erignathus barbatus","(Erxleben, 1777)",137079,2,1,"Chordata","Carnivora","Phocidae","Erignathus","Erignathus barbatus","Mammalia",TRUE,"LC","High Arctic Archipelago"
"27",441524,441524,697424,"Species","Eukrohnia hamata","(Möbius, 1875)",105416,60,2,"Chaetognatha","Phragmophora","Eukrohniidae","Eukrohnia","Eukrohnia hamata","Sagittoidea",NA,NA,"High Arctic Archipelago"
"28",441672,441672,441667,"Species","Eumicrotremus derjugini","Popov, 1926",127215,3,2,"Chordata","Scorpaeniformes","Cyclopteridae","Eumicrotremus","Eumicrotremus derjugini","Actinopteri",NA,NA,"High Arctic Archipelago"
"29",441682,441682,441667,"Species","Eumicrotremus spinosus","(Fabricius, 1776)",127217,5,2,"Chordata","Scorpaeniformes","Cyclopteridae","Eumicrotremus","Eumicrotremus spinosus","Actinopteri",NA,NA,"High Arctic Archipelago"
"30",443610,443610,768177,"Species","Favulina hexagona","(Williamson, 1848)",113193,1,1,"Foraminifera","Lagenida","Ellipsolagenidae","Favulina","Favulina hexagona","Foraminifera incertae sedis",NA,NA,"High Arctic Archipelago"
