"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"1",606,606,654118,"Subspecies","Paraliparis copei copei","Goode & Bean, 1896",293702,4,1,"Chordata","Scorpaeniformes","Liparidae","Paraliparis","Paraliparis copei","Actinopteri",NA,NA,NA,NA,"Hudson Complex"
"2",395409,395409,395408,"Species","Abietinaria abietina","(Linnaeus, 1758)",117870,2,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria abietina","Hydrozoa",NA,NA,NA,NA,"Hudson Complex"
"3",395902,395902,395897,"Species","Acanthocorbis unguiculata","(Thomsen) Hara & Takahashi, 1984",105546,1,1,"Choanozoa","Acanthoecida","Acanthoecidae","Acanthocorbis","Acanthocorbis unguiculata","Choanoflagellatea",NA,NA,NA,NA,"Hudson Complex"
"4",396199,396199,596574,"Species","Acanthostepheia malmgreni","(Goës, 1866)",102864,72,2,"Arthropoda","Amphipoda","Oedicerotidae","Acanthostepheia","Acanthostepheia malmgreni","Malacostraca",NA,NA,NA,NA,"Hudson Complex"
"5",396662,396662,770793,"Genus","Achnanthes","Bory de Saint-Vincent, 1822",149191,6,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes",NA,"Bacillariophyceae",NA,NA,NA,NA,"Hudson Complex"
"6",396808,396808,396804,"Species","Acipenser fulvescens","Rafinesque, 1817",271694,60,3,"Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser fulvescens","Actinopteri",TRUE,"LC",NA,NA,"Hudson Complex"
"7",398010,398010,778666,"Species","Actinomonas mirabilis","W.S.Kent, 1880",375694,1,1,"Ochrophyta","Pedinellales","Pedinellaceae","Actinomonas","Actinomonas mirabilis","Dictyochophyceae",NA,NA,NA,NA,"Hudson Complex"
"8",398152,398152,398142,"Species","Actinostola groenlandica","Carlgren, 1899",283451,1,1,"Cnidaria","Actiniaria","Actinostolidae","Actinostola","Actinostola groenlandica","Anthozoa",NA,NA,NA,NA,"Hudson Complex"
"9",398285,398285,768217,"Species","Adercotryma glomerata","(Brady, 1878)",113837,53,1,"Foraminifera","Lituolida","Adercotrymidae","Adercotryma","Adercotryma glomerata","Globothalamea",NA,NA,NA,NA,"Hudson Complex"
"10",398407,398407,398391,"Species","Aega monophthalma","Johnston, 1834",118825,1,1,"Arthropoda","Isopoda","Aegidae","Aega","Aega monophthalma","Malacostraca",NA,NA,NA,NA,"Hudson Complex"
