"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"1",605,605,483975,"Species","Oxytoxum tessellatum","(Stein, 1883) Schütt, 1895",233874,17,1,"Myzozoa","Peridiniales","Oxytoxaceae","Oxytoxum","Oxytoxum tessellatum","Dinophyceae",NA,NA,NA,NA,"Humboldtian"
"2",395571,395571,695224,"Species","Abyla trigona","Quoy & Gaimard, 1827",135402,4,1,"Cnidaria","Siphonophorae","Abylidae","Abyla","Abyla trigona","Hydrozoa",NA,NA,NA,NA,"Humboldtian"
"3",395587,395587,778095,"Species","Abyssicaprella galatheae","McCain, 1966",345308,1,1,"Arthropoda","Amphipoda","Caprellidae","Abyssicaprella","Abyssicaprella galatheae","Malacostraca",NA,NA,NA,NA,"Humboldtian"
"4",395787,395787,395780,"Species","Acanthistius pictus","(Tschudi, 1846)",278727,6,3,"Chordata","Perciformes","Serranidae","Acanthistius","Acanthistius pictus","Actinopteri",TRUE,"LC",NA,NA,"Humboldtian"
"5",395971,395971,768313,"Genus","Acanthoica","Lohmann, 1903",115083,2,1,"Haptophyta","Syracosphaerales","Rhabdosphaeraceae","Acanthoica",NA,"Prymnesiophyceae",NA,NA,NA,NA,"Humboldtian"
"6",395973,395973,395971,"Species","Acanthoica quattrospina","Lohmann, 1903",235802,63,1,"Haptophyta","Syracosphaerales","Rhabdosphaeraceae","Acanthoica","Acanthoica quattrospina","Prymnesiophyceae",NA,NA,NA,NA,"Humboldtian"
"7",395978,395978,759725,"Genus","Acantholaimus","Allgén, 1933",2303,11,1,"Nematoda","Chromadorida","Chromadoridae","Acantholaimus",NA,"Chromadorea",NA,NA,NA,NA,"Humboldtian"
"8",396063,396063,1029628,"Genus","Acanthonchus","Cobb, 1920",2319,1,1,"Nematoda","Chromadorida","Cyatholaimidae","Acanthonchus",NA,"Chromadorea",NA,NA,NA,NA,"Humboldtian"
"9",396200,396200,406569,"Genus","Acanthostomella","Jörgensen, 1927",183555,1,1,"Ciliophora","Choreotrichida","Ascampbelliellidae","Acanthostomella",NA,"Oligotrichea",NA,NA,NA,NA,"Humboldtian"
"10",396662,396662,770793,"Genus","Achnanthes","Bory de Saint-Vincent, 1822",149191,3,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes",NA,"Bacillariophyceae",NA,NA,NA,NA,"Humboldtian"
