"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"1",398416,398416,398391,"Species","Aega semicarinata","Miers, 1875",256435,2,1,"Arthropoda","Isopoda","Aegidae","Aega","Aega semicarinata","Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"2",399447,399447,598612,"Species","Alepisaurus ferox","Lowe, 1833",126333,4,2,"Chordata","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox","Actinopteri",TRUE,"LC",NA,"Juan Fernandez and Desventuradas"
"3",401008,401008,776149,"Species","Amphichaetodon melbae","Burgess & Caldwell, 1978",279589,3,2,"Chordata","Perciformes","Chaetodontidae","Amphichaetodon","Amphichaetodon melbae","Actinopteri",TRUE,"DD",NA,"Juan Fernandez and Desventuradas"
"4",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",106671,1,1,"Arthropoda","Decapoda",NA,NA,NA,"Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"5",403275,403275,738353,"Species","Anoplogaster cornuta","(Valenciennes, 1833)",126393,1,1,"Chordata","Beryciformes","Anoplogastridae","Anoplogaster","Anoplogaster cornuta","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"6",403783,403783,769642,"Species","Anthosoma crassum","(Abildgaard, 1794)",135797,4,1,"Arthropoda","Siphonostomatoida","Dichelesthiidae","Anthosoma","Anthosoma crassum",NA,NA,NA,NA,"Juan Fernandez and Desventuradas"
"7",403788,403788,768907,"Genus","Anthothela","Verrill, 1879",125324,2,2,"Cnidaria","Alcyonacea","Anthothelidae","Anthothela",NA,"Anthozoa",NA,NA,NA,"Juan Fernandez and Desventuradas"
"8",404172,404172,1014277,"Genus","Aphanipathes","Brook, 1889",103303,2,2,"Cnidaria","Antipatharia","Aphanipathidae","Aphanipathes",NA,"Anthozoa",NA,NA,NA,"Juan Fernandez and Desventuradas"
"9",404490,404490,756411,"Genus","Aplidium","Savigny, 1816",103471,1,1,"Chordata","Aplousobranchia","Polyclinidae","Aplidium",NA,"Ascidiacea",NA,NA,NA,"Juan Fernandez and Desventuradas"
"10",405959,405959,405954,"Species","Argyropelecus gigas","Norman, 1930",127308,4,2,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus gigas","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"11",405962,405962,405954,"Species","Argyropelecus hemigymnus","Cocco, 1829",127309,8,3,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus hemigymnus","Actinopteri",TRUE,"LC",NA,"Juan Fernandez and Desventuradas"
"12",405969,405969,405954,"Species","Argyropelecus olfersii","(Cuvier, 1829)",274967,2,2,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus olfersii","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"13",405971,405971,405954,"Species","Argyropelecus sladeni","Regan, 1908",158837,2,1,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus sladeni","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"14",406296,406296,406293,"Species","Armadillidium vulgare","(Latreille, 1804)",257832,1,1,"Arthropoda","Isopoda","Armadillidiidae","Armadillidium","Armadillidium vulgare","Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"15",410817,410817,773323,"Species","Bathysauropsis gracilis","(Günther, 1878)",217676,1,1,"Chordata","Aulopiformes","Ipnopidae","Bathysauropsis","Bathysauropsis gracilis","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"16",411441,411441,606283,"Species","Beroe cucumis","Fabricius, 1780",106358,1,1,"Ctenophora","Beroida","Beroidae","Beroe","Beroe cucumis","Nuda",NA,NA,NA,"Juan Fernandez and Desventuradas"
"17",412757,412757,412751,"Species","Brachiella thynni","Cuvier, 1830",135839,1,1,"Arthropoda","Siphonostomatoida","Lernaeopodidae","Brachiella","Brachiella thynni",NA,NA,NA,NA,"Juan Fernandez and Desventuradas"
"18",412984,412984,412982,"Species","Brama brama","(Bonnaterre, 1788)",126783,1,1,"Chordata","Perciformes","Bramidae","Brama","Brama brama","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"19",413226,413226,836091,"Genus","Brissopsis","L. Agassiz, 1840",123418,3,1,"Echinodermata","Spatangoida","Brissidae","Brissopsis",NA,"Echinoidea",NA,NA,NA,"Juan Fernandez and Desventuradas"
"20",414466,414466,414462,"Species","Calanus chilensis","Brodsky, 1959",346212,1,1,"Arthropoda","Calanoida","Calanidae","Calanus","Calanus chilensis",NA,NA,NA,NA,"Juan Fernandez and Desventuradas"
"21",414731,414731,414728,"Species","Calliactis annulata","Carlgren, 1922",283610,2,2,"Cnidaria","Actiniaria","Hormathiidae","Calliactis","Calliactis annulata","Anthozoa",NA,NA,NA,"Juan Fernandez and Desventuradas"
"22",416494,416494,763741,"Family","Caprellidae","Leach, 1814",101361,2,1,"Arthropoda","Amphipoda","Caprellidae",NA,NA,"Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"23",416515,416515,740874,"Species","Caprodon longimanus","(Günther, 1859)",280030,4,1,"Chordata","Perciformes","Serranidae","Caprodon","Caprodon longimanus","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"24",416541,416541,779101,"Family","Capulidae","Fleming, 1822",139,1,1,"Mollusca","Littorinimorpha","Capulidae",NA,NA,"Gastropoda",NA,NA,NA,"Juan Fernandez and Desventuradas"
"25",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,5,2,"Mollusca",NA,NA,NA,NA,"Cephalopoda",NA,NA,NA,"Juan Fernandez and Desventuradas"
"26",418912,418912,611155,"Species","Ceratoscopelus warmingii","(Lütken, 1892)",126586,4,1,"Chordata","Myctophiformes","Myctophidae","Ceratoscopelus","Ceratoscopelus warmingii","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"27",420590,420590,420576,"Species","Cheilodactylus variegatus","Valenciennes, 1833",278156,1,1,"Chordata","Perciformes","Cheilodactylidae","Cheilodactylus","Cheilodactylus variegatus","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"28",421106,421106,744472,"Genus","Chilomycterus","Brisout de Barneville, 1846",126230,1,1,"Chordata","Tetraodontiformes","Diodontidae","Chilomycterus",NA,"Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"29",421221,421221,421217,"Species","Chiridius poppei","Giesbrecht, 1893",104293,1,1,"Arthropoda","Calanoida","Aetideidae","Chiridius","Chiridius poppei",NA,NA,NA,NA,"Juan Fernandez and Desventuradas"
"30",421290,421290,741804,"Species","Chironemus bicornis","(Steindachner, 1898)",280155,4,2,"Chordata","Perciformes","Chironemidae","Chironemus","Chironemus bicornis","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"31",421413,421413,779196,"Genus","Chlamys","Röding, 1798",138315,1,1,"Mollusca","Pectinoida","Pectinidae","Chlamys",NA,"Bivalvia",NA,NA,NA,"Juan Fernandez and Desventuradas"
"32",422158,422158,422102,"Species","Chromis meridiana","Greenfield & Woods, 1980",273741,5,3,"Chordata","Perciformes","Pomacentridae","Chromis","Chromis meridiana","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"33",423704,423704,696573,"Species","Clausocalanus arcuicornis","(Dana, 1849)",104502,1,1,"Arthropoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus arcuicornis",NA,NA,NA,NA,"Juan Fernandez and Desventuradas"
"34",423908,423908,442532,"Genus","Cleonardo","Stebbing, 1888",101513,1,1,"Arthropoda","Amphipoda","Eusiridae","Cleonardo",NA,"Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"35",425347,425347,425341,"Species","Colossendeis colossea","Wilson, 1881",134663,1,1,"Arthropoda","Pantopoda","Colossendeidae","Colossendeis","Colossendeis colossea","Pycnogonida",NA,NA,NA,"Juan Fernandez and Desventuradas"
"36",426646,426646,696723,"Species","Corallimorphus profundus","Moseley, 1877",283831,4,2,"Cnidaria","Corallimorpharia","Corallimorphidae","Corallimorphus","Corallimorphus profundus","Anthozoa",NA,NA,NA,"Juan Fernandez and Desventuradas"
