"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","class","order","family","genus","redlist","status","species","hab","gisd","ecoregion"
"1",396290,396290,405225,"Subclass","Acari","Leach, 1817",292684,1,1,"Arthropoda","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,"Lancaster Sound"
"2",398644,398644,398634,"Genus","Aetideus","Brady, 1883",104112,32,2,"Arthropoda",NA,"Calanoida","Aetideidae","Aetideus",NA,NA,NA,NA,NA,"Lancaster Sound"
"3",399583,399583,769789,"Species","Alle alle","(Linnaeus, 1758)",137129,164,3,"Chordata","Aves","Charadriiformes","Alcidae","Alle",TRUE,"LC","Alle alle",NA,NA,"Lancaster Sound"
"4",401369,401369,401367,"Species","Amphiporus angulatus","(Müller, 1774)",122645,1,1,"Nemertea","Enopla","Monostilifera","Amphiporidae","Amphiporus",NA,NA,"Amphiporus angulatus",NA,NA,"Lancaster Sound"
"5",405685,405685,405684,"Species","Arctogadus borisovi","Dryagin, 1932",272297,1,1,"Chordata","Actinopteri","Gadiformes","Gadidae","Arctogadus",NA,NA,"Arctogadus borisovi",NA,NA,"Lancaster Sound"
"6",405686,405686,405684,"Species","Arctogadus glacialis","(Peters, 1872)",126432,24,3,"Chordata","Actinopteri","Gadiformes","Gadidae","Arctogadus",NA,NA,"Arctogadus glacialis",NA,NA,"Lancaster Sound"
"7",406449,406449,406448,"Species","Artediellus atlanticus","Jordan & Evermann, 1898",127193,1,1,"Chordata","Actinopteri","Scorpaeniformes","Cottidae","Artediellus",NA,NA,"Artediellus atlanticus",NA,NA,"Lancaster Sound"
"8",406459,406459,406448,"Species","Artediellus scaber","Knipowitsch, 1907",127194,2,2,"Chordata","Actinopteri","Scorpaeniformes","Cottidae","Artediellus",NA,NA,"Artediellus scaber",NA,NA,"Lancaster Sound"
"9",406460,406460,406448,"Species","Artediellus uncinatus","(Reinhardt, 1834)",127195,45,3,"Chordata","Actinopteri","Scorpaeniformes","Cottidae","Artediellus",NA,NA,"Artediellus uncinatus",NA,NA,"Lancaster Sound"
"10",409229,409229,769778,"Species","Balaena mysticetus","Linnaeus, 1758",137086,9,1,"Chordata","Mammalia","Cetartiodactyla","Balaenidae","Balaena",TRUE,"LC","Balaena mysticetus",NA,NA,"Lancaster Sound"
"11",411441,411441,606283,"Species","Beroe cucumis","Fabricius, 1780",106358,4,3,"Ctenophora","Nuda","Beroida","Beroidae","Beroe",NA,NA,"Beroe cucumis",NA,NA,"Lancaster Sound"
"12",412369,412369,696016,"Species","Boreomysis arctica","(Krøyer, 1861)",119962,6,2,"Arthropoda","Malacostraca","Mysida","Mysidae","Boreomysis",NA,NA,"Boreomysis arctica",NA,NA,"Lancaster Sound"
"13",412423,412423,769126,"Species","Boroecia borealis","(Sars, 1866)",127766,26,2,"Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Boroecia",NA,NA,"Boroecia borealis",NA,NA,"Lancaster Sound"
"14",413540,413540,413521,"Species","Buccinum undatum","Linnaeus, 1758",138878,1,1,"Mollusca","Gastropoda","Neogastropoda","Buccinidae","Buccinum",NA,NA,"Buccinum undatum",NA,NA,"Lancaster Sound"
"15",414462,414462,414431,"Genus","Calanus","Leach, 1816",104152,91,5,"Arthropoda",NA,"Calanoida","Calanidae","Calanus",NA,NA,NA,NA,NA,"Lancaster Sound"
"16",414468,414468,414462,"Species","Calanus finmarchicus","(Gunnerus, 1770)",104464,168,4,"Arthropoda",NA,"Calanoida","Calanidae","Calanus",NA,NA,"Calanus finmarchicus",NA,NA,"Lancaster Sound"
"17",414600,414600,414599,"Species","Calidris alba","(Pallas, 1764)",159084,1,1,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris",TRUE,"LC","Calidris alba",NA,NA,"Lancaster Sound"
"18",414602,414602,414599,"Species","Calidris bairdii","(Coues, 1861)",159048,2,1,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris",TRUE,"LC","Calidris bairdii",NA,NA,"Lancaster Sound"
"19",414605,414605,414599,"Species","Calidris fuscicollis","(Vieillot, 1819)",159050,1,1,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris",TRUE,"LC","Calidris fuscicollis",NA,NA,"Lancaster Sound"
"20",414607,414607,414599,"Species","Calidris maritima","(Brünnich, 1764)",159052,1,1,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris",TRUE,"LC","Calidris maritima",NA,NA,"Lancaster Sound"
"21",415611,415611,415609,"Species","Calycella syringa","(Linnaeus, 1767)",117402,2,1,"Cnidaria","Hydrozoa","Leptothecata","Campanulinidae","Calycella",NA,NA,"Calycella syringa",NA,NA,"Lancaster Sound"
"22",417030,417030,696262,"Species","Careproctus reinhardti","(Krøyer, 1862)",127212,3,3,"Chordata","Actinopteri","Scorpaeniformes","Liparidae","Careproctus",NA,NA,"Careproctus reinhardti",NA,NA,"Lancaster Sound"
"23",417468,417468,754418,"Genus","Catablema","Haeckel, 1879",117180,4,1,"Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Catablema",NA,NA,NA,NA,NA,"Lancaster Sound"
"24",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,1,1,"Mollusca","Cephalopoda",NA,NA,NA,NA,NA,NA,NA,NA,"Lancaster Sound"
"25",418484,418484,737619,"Genus","Cepphus","Pallas, 1769",137038,1,1,"Chordata","Aves","Charadriiformes","Alcidae","Cepphus",NA,NA,NA,NA,NA,"Lancaster Sound"
"26",418487,418487,418484,"Species","Cepphus grylle","(Linnaeus, 1758)",137130,398,2,"Chordata","Aves","Charadriiformes","Alcidae","Cepphus",TRUE,"LC","Cepphus grylle",NA,NA,"Lancaster Sound"
"27",420006,420006,742089,"Genus","Chaetozone","Malmgren, 1867",129242,1,1,"Annelida","Polychaeta","Terebellida","Cirratulidae","Chaetozone",NA,NA,NA,NA,NA,"Lancaster Sound"
"28",421217,421217,398634,"Genus","Chiridius","Giesbrecht, 1893",104117,5,1,"Arthropoda",NA,"Calanoida","Aetideidae","Chiridius",NA,NA,NA,NA,NA,"Lancaster Sound"
"29",423473,423473,857451,"Species","Clangula hyemalis","(Linnaeus, 1758)",137071,9,1,"Chordata","Aves","Anseriformes","Anatidae","Clangula",TRUE,"VU","Clangula hyemalis",NA,NA,"Lancaster Sound"
"30",424077,424077,424098,"Genus","Clione","Pallas, 1774",137793,42,3,"Mollusca","Gastropoda","Gymnosomata","Clionidae","Clione",NA,NA,NA,NA,NA,"Lancaster Sound"
"31",424079,424079,424077,"Species","Clione limacina","(Phipps, 1774)",139178,64,7,"Mollusca","Gastropoda","Gymnosomata","Clionidae","Clione",NA,NA,"Clione limacina",NA,NA,"Lancaster Sound"
"32",426861,426861,742909,"Species","Coregonus artedi","Lesueur, 1818",158725,4,1,"Chordata","Actinopteri","Salmoniformes","Salmonidae","Coregonus",TRUE,"LR/lc","Coregonus artedi",NA,NA,"Lancaster Sound"
