"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","ecoregion"
"1",395528,395528,695219,"Species","Abudefduf declivifrons","(Gill, 1862)",273698,TRUE,"LC",3,2,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf declivifrons","Actinopteri","Magdalena Transition"
"2",395617,395617,774480,"Genus","Abyssothyris","Thomson, 1927",235231,NA,NA,1,1,"Brachiopoda","Terebratulida","Dyscoliidae","Abyssothyris",NA,"Rhynchonellata","Magdalena Transition"
"3",395618,395618,395617,"Species","Abyssothyris wyvillei","(Davidson, 1878)",235514,NA,NA,1,1,"Brachiopoda","Terebratulida","Dyscoliidae","Abyssothyris","Abyssothyris wyvillei","Rhynchonellata","Magdalena Transition"
"4",395737,395737,395729,"Species","Acanthemblemaria macrospilus","Brock, 1940",279455,TRUE,"LC",1,1,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria macrospilus","Actinopteri","Magdalena Transition"
"5",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,TRUE,"LC",1,1,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri","Magdalena Transition"
"6",398324,398324,773089,"Species","Admetella longipedata","(McIntosh, 1885)",214466,NA,NA,2,1,"Annelida","Phyllodocida","Polynoidae","Admetella","Admetella longipedata","Polychaeta","Magdalena Transition"
"7",398988,398988,776124,"Species","Agonopsis sterletus","(Gilbert, 1898)",279521,NA,NA,1,1,"Chordata","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis sterletus","Actinopteri","Magdalena Transition"
"8",399797,399797,737741,"Species","Alphestes multiguttatus","(Günther, 1867)",279569,TRUE,"LC",2,1,"Chordata","Perciformes","Serranidae","Alphestes","Alphestes multiguttatus","Actinopteri","Magdalena Transition"
"9",401251,401251,401229,"Species","Amphiophiura superba","(Lütken & Mortensen, 1899)",242740,NA,NA,1,1,"Echinodermata","Ophiurida","Ophiuridae","Amphiophiura","Amphiophiura superba","Ophiuroidea","Magdalena Transition"
"10",401285,860866,695475,"Species","Amphioplus daleus","(Lyman, 1879)",182963,NA,NA,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphioplus","Amphioplus daleus","Ophiuroidea","Magdalena Transition"
"11",401531,401531,401526,"Species","Amphisbetia operculata","(Linnaeus, 1758)",117874,NA,NA,1,1,"Cnidaria","Leptothecata","Sertulariidae","Amphisbetia","Amphisbetia operculata","Hydrozoa","Magdalena Transition"
"12",402573,402573,695543,"Species","Anchoa argentivittata","(Regan, 1904)",275507,TRUE,"LC",8,1,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa argentivittata","Actinopteri","Magdalena Transition"
"13",402600,402600,695543,"Species","Anchoa nasus","(Kner & Steindachner, 1867)",275528,TRUE,"LC",14,2,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa nasus","Actinopteri","Magdalena Transition"
"14",402612,402612,738230,"Species","Anchovia macrolepidota","(Kner, 1863)",279608,TRUE,"LC",17,2,"Chordata","Clupeiformes","Engraulidae","Anchovia","Anchovia macrolepidota","Actinopteri","Magdalena Transition"
"15",404496,404496,404490,"Species","Aplidium californicum","(Ritter & Forsyth, 1917)",249827,NA,NA,1,1,"Chordata","Aplousobranchia","Polyclinidae","Aplidium","Aplidium californicum","Ascidiacea","Magdalena Transition"
"16",404781,404781,695650,"Species","Apogon guadalupensis","(Osburn & Nichols, 1916)",273016,TRUE,"LC",1,1,"Chordata","Perciformes","Apogonidae","Apogon","Apogon guadalupensis","Actinopteri","Magdalena Transition"
"17",405877,405877,405864,"Species","Argentina sialis","Gilbert, 1890",272897,TRUE,"LC",2,1,"Chordata","Osmeriformes","Argentinidae","Argentina","Argentina sialis","Actinopteri","Magdalena Transition"
