"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","ecoregion"
"1",395385,395385,395384,"Species","Abatus agassizii","Mortensen, 1910",160759,3,2,"Echinodermata","Spatangoida","Schizasteridae","Abatus","Abatus agassizii","Echinoidea",NA,NA,NA,"Malvinas_Falklands"
"2",395973,395973,395971,"Species","Acanthoica quattrospina","Lohmann, 1903",235802,1,1,"Haptophyta","Syracosphaerales","Rhabdosphaeraceae","Acanthoica","Acanthoica quattrospina","Prymnesiophyceae",NA,NA,NA,"Malvinas_Falklands"
"3",396505,396505,768152,"Species","Acervulina inhaerens","Schulze, 1854",112827,1,1,"Foraminifera","Rotaliida","Acervulinidae","Acervulina","Acervulina inhaerens","Globothalamea",NA,NA,NA,"Malvinas_Falklands"
"4",396885,396885,396883,"Species","Acodontaster conspicuus","(Koehler, 1920)",172767,1,1,"Echinodermata","Valvatida","Odontasteridae","Acodontaster","Acodontaster conspicuus","Asteroidea",NA,NA,NA,"Malvinas_Falklands"
"5",396886,396886,396883,"Species","Acodontaster elongatus","(Sladen, 1889)",172769,3,1,"Echinodermata","Valvatida","Odontasteridae","Acodontaster","Acodontaster elongatus","Asteroidea",NA,NA,NA,"Malvinas_Falklands"
"6",396887,396887,396883,"Species","Acodontaster hodgsoni","(Bell, 1908)",172768,1,1,"Echinodermata","Valvatida","Odontasteridae","Acodontaster","Acodontaster hodgsoni","Asteroidea",NA,NA,NA,"Malvinas_Falklands"
"7",396917,396917,737211,"Species","Acontiostoma marionis","Stebbing, 1888",237692,4,2,"Arthropoda","Amphipoda","Lysianassidae","Acontiostoma","Acontiostoma marionis","Malacostraca",NA,NA,NA,"Malvinas_Falklands"
"8",397533,397533,737331,"Genus","Acteon","Montfort, 1810",137618,1,1,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon",NA,"Gastropoda",NA,NA,NA,"Malvinas_Falklands"
"9",398083,398083,398029,"Species","Actinoptychus senarius","(Ehrenberg) Ehrenberg, 1843",148948,3,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus senarius","Bacillariophyceae",NA,NA,NA,"Malvinas_Falklands"
"10",398221,398221,398217,"Species","Adacnarca nitens","Pelseneer, 1903",197020,1,1,"Mollusca","Arcoida","Philobryidae","Adacnarca","Adacnarca nitens","Bivalvia",NA,NA,NA,"Malvinas_Falklands"
"11",398403,398403,398391,"Species","Aega falklandica","Kussakin, 1967",256408,1,1,"Arthropoda","Isopoda","Aegidae","Aega","Aega falklandica","Malacostraca",NA,NA,NA,"Malvinas_Falklands"
"12",398568,398568,398561,"Species","Aequorea macrodactyla","(Brandt, 1835)",117271,1,1,"Cnidaria","Leptothecata","Aequoreidae","Aequorea","Aequorea macrodactyla","Hydrozoa",NA,NA,NA,"Malvinas_Falklands"
"13",398598,398598,398597,"Species","Aetea anguina","(Linnaeus, 1758)",111062,2,2,"Bryozoa","Cheilostomatida","Aeteidae","Aetea","Aetea anguina","Gymnolaemata",NA,NA,NA,"Malvinas_Falklands"
"14",398601,398601,398597,"Species","Aetea ligulata","Busk, 1852",111064,1,1,"Bryozoa","Cheilostomatida","Aeteidae","Aetea","Aetea ligulata","Gymnolaemata",NA,NA,NA,"Malvinas_Falklands"
"15",398635,398635,398634,"Genus","Aetideopsis","Sars G.O., 1903",104111,1,1,"Arthropoda","Calanoida","Aetideidae","Aetideopsis",NA,NA,NA,NA,NA,"Malvinas_Falklands"
"16",398644,398644,398634,"Genus","Aetideus","Brady, 1883",104112,3,1,"Arthropoda","Calanoida","Aetideidae","Aetideus",NA,NA,NA,NA,NA,"Malvinas_Falklands"
"17",398986,398986,776124,"Species","Agonopsis chiloensis","(Jenyns, 1840)",279520,9,4,"Chordata","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis chiloensis","Actinopteri",NA,NA,NA,"Malvinas_Falklands"
"18",400279,400279,767424,"Species","Amaryllis macrophthalma","Haswell, 1879",214721,5,2,"Arthropoda","Amphipoda","Amaryllididae","Amaryllis","Amaryllis macrophthalma","Malacostraca",NA,NA,NA,"Malvinas_Falklands"
"19",400320,400320,400318,"Species","Amauropsis anderssoni","(Strebel, 1906)",197029,3,2,"Mollusca","Littorinimorpha","Naticidae","Amauropsis","Amauropsis anderssoni","Gastropoda",NA,NA,NA,"Malvinas_Falklands"
"20",400502,400502,400500,"Species","Amblyraja doellojuradoi","(Pozzi, 1935)",271500,35,3,"Chordata","Rajiformes","Rajidae","Amblyraja","Amblyraja doellojuradoi","Elasmobranchii",TRUE,"LC",NA,"Malvinas_Falklands"
"21",400636,400636,844461,"Genus","Ammodiscus","Reuss, 1862",112290,1,1,"Foraminifera","Spirillinida","Ammodiscidae","Ammodiscus",NA,"Tubothalamea",NA,NA,NA,"Malvinas_Falklands"
"22",400669,400669,768214,"Species","Ammolagena clavata","(Jones & Parker, 1860)",113827,1,1,"Foraminifera","Lituolida","Ammolagenidae","Ammolagena","Ammolagena clavata","Globothalamea",NA,NA,NA,"Malvinas_Falklands"
"23",401018,401018,768210,"Species","Amphicoryna scalaris","(Batsch, 1791)",113780,4,1,"Foraminifera","Lagenida","Vaginulinidae","Amphicoryna","Amphicoryna scalaris","Foraminifera incertae sedis",NA,NA,NA,"Malvinas_Falklands"
"24",401111,401111,401110,"Species","Amphilectus fucorum","(Esper, 1794)",150225,10,4,"Porifera","Poecilosclerida","Esperiopsidae","Amphilectus","Amphilectus fucorum","Demospongiae",NA,NA,NA,"Malvinas_Falklands"
"25",401229,401229,699388,"Genus","Amphiophiura","Matsumoto, 1915",123554,1,1,"Echinodermata","Ophiurida","Ophiuridae","Amphiophiura",NA,"Ophiuroidea",NA,NA,NA,"Malvinas_Falklands"
"26",401380,401380,401367,"Species","Amphiporus gerlachei","Bürger, 1904",156292,5,2,"Nemertea","Monostilifera","Amphiporidae","Amphiporus","Amphiporus gerlachei","Enopla",NA,NA,NA,"Malvinas_Falklands"
"27",401387,401387,401367,"Species","Amphiporus inexpectatus","Wheeler, 1934",147991,1,1,"Nemertea","Monostilifera","Amphiporidae","Amphiporus","Amphiporus inexpectatus","Enopla",NA,NA,NA,"Malvinas_Falklands"
"28",401389,401389,401367,"Species","Amphiporus lecointei","Bürger, 1904",147994,1,1,"Nemertea","Monostilifera","Amphiporidae","Amphiporus","Amphiporus lecointei","Enopla",NA,NA,NA,"Malvinas_Falklands"
"29",401397,401397,401367,"Species","Amphiporus spinosus","Bürger, 1893",156311,2,2,"Nemertea","Monostilifera","Amphiporidae","Amphiporus","Amphiporus spinosus","Enopla",NA,NA,NA,"Malvinas_Falklands"
"30",401633,401633,401717,"Genus","Amphiura","Forbes, 1843",123613,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura",NA,"Ophiuroidea",NA,NA,NA,"Malvinas_Falklands"
"31",401664,401664,401633,"Species","Amphiura belgicae","Koehler, 1900",173102,9,3,"Echinodermata","Ophiurida","Amphiuridae","Amphiura","Amphiura belgicae","Ophiuroidea",NA,NA,NA,"Malvinas_Falklands"
"32",401681,401681,401633,"Species","Amphiura eugeniae","Ljungman, 1867",173113,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura","Amphiura eugeniae","Ophiuroidea",NA,NA,NA,"Malvinas_Falklands"
"33",402535,402535,402534,"Species","Anchinothria pycnobranchiata","(McIntosh, 1885)",173756,1,1,"Annelida","Eunicida","Onuphidae","Anchinothria","Anchinothria pycnobranchiata","Polychaeta",NA,NA,NA,"Malvinas_Falklands"
"34",402723,402723,600885,"Species","Ancistrosyllis groenlandica","McIntosh, 1879",130695,2,1,"Annelida","Phyllodocida","Pilargidae","Ancistrosyllis","Ancistrosyllis groenlandica","Polychaeta",NA,NA,NA,"Malvinas_Falklands"
"35",403407,403407,771527,"Species","Antarctolineus scotti","(Baylis, 1915)",155854,1,1,"Nemertea",NA,"Lineidae","Antarctolineus","Antarctolineus scotti","Anopla",NA,NA,NA,"Malvinas_Falklands"
"36",403409,403409,774233,"Species","Antarctomysis maxima","(Holt & Tattersall, 1906)",226680,1,1,"Arthropoda","Mysida","Mysidae","Antarctomysis","Antarctomysis maxima","Malacostraca",NA,NA,NA,"Malvinas_Falklands"
"37",403684,403684,771628,"Species","Antholoba achates","(Drayton in Dana, 1846)",287436,13,2,"Cnidaria","Actiniaria","Actinostolidae","Antholoba","Antholoba achates","Anthozoa",NA,NA,NA,"Malvinas_Falklands"
"38",403690,403690,737630,"Genus","Anthomastus","Verrill, 1878",125285,1,1,"Cnidaria","Alcyonacea","Alcyoniidae","Anthomastus",NA,"Anthozoa",NA,NA,NA,"Malvinas_Falklands"
"39",403837,403837,403836,"Species","Anticoma acuminata","(Eberth, 1863) Bastian, 1865",121767,1,1,"Nematoda","Enoplida","Anticomidae","Anticoma","Anticoma acuminata","Enoplea",NA,NA,NA,"Malvinas_Falklands"
"40",403921,403921,738473,"Species","Antimora rostrata","(Günther, 1878)",126486,2,2,"Chordata","Gadiformes","Moridae","Antimora","Antimora rostrata","Actinopteri",NA,NA,NA,"Malvinas_Falklands"
"41",404490,404490,756411,"Genus","Aplidium","Savigny, 1816",103471,1,1,"Chordata","Aplousobranchia","Polyclinidae","Aplidium",NA,"Ascidiacea",NA,NA,NA,"Malvinas_Falklands"
"42",404499,404499,404490,"Species","Aplidium circumvolutum","(Sluiter, 1900)",249832,6,1,"Chordata","Aplousobranchia","Polyclinidae","Aplidium","Aplidium circumvolutum","Ascidiacea",NA,NA,NA,"Malvinas_Falklands"
"43",404510,404510,404490,"Species","Aplidium fuegiense","(Cunningham, 1871)",173582,19,2,"Chordata","Aplousobranchia","Polyclinidae","Aplidium","Aplidium fuegiense","Ascidiacea",NA,NA,NA,"Malvinas_Falklands"
"44",405192,405192,405187,"Species","Arabella iricolor","(Montagu, 1804)",129854,1,1,"Annelida","Eunicida","Oenonidae","Arabella","Arabella iricolor","Polychaeta",NA,NA,NA,"Malvinas_Falklands"
"45",405267,405267,772275,"Genus","Arachnopusia","Jullien, 1888",172883,4,2,"Bryozoa","Cheilostomatida","Arachnopusiidae","Arachnopusia",NA,"Gymnolaemata",NA,NA,NA,"Malvinas_Falklands"
"46",405674,405674,483600,"Genus","Arctocephalus","(Gray, 1872)",231390,2,1,"Chordata","Carnivora","Otariidae","Arctocephalus",NA,"Mammalia",NA,NA,NA,"Malvinas_Falklands"
"47",405677,405677,405674,"Species","Arctocephalus gazella","(Peters, 1875)",231404,225,1,"Chordata","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella","Mammalia",TRUE,"LC",NA,"Malvinas_Falklands"
"48",406442,406442,738924,"Species","Artedidraco mirus","Lönnberg, 1905",234734,1,1,"Chordata","Perciformes","Artedidraconidae","Artedidraco","Artedidraco mirus","Actinopteri",NA,NA,NA,"Malvinas_Falklands"
"49",407001,407001,768211,"Species","Astacolus crepidulus","(Fichtel & Moll, 1798)",113781,9,1,"Foraminifera","Lagenida","Vaginulinidae","Astacolus","Astacolus crepidulus","Foraminifera incertae sedis",NA,NA,NA,"Malvinas_Falklands"
"50",408008,408008,408007,"Species","Atolla chuni","(Vanhöffen, 1902)",287146,1,1,"Cnidaria","Coronatae","Atollidae","Atolla","Atolla chuni","Scyphozoa",NA,NA,NA,"Malvinas_Falklands"
"51",408245,408245,408242,"Species","Augeneria tentaculata","Monro, 1930",130225,1,1,"Annelida","Eunicida","Lumbrineridae","Augeneria","Augeneria tentaculata","Polychaeta",NA,NA,NA,"Malvinas_Falklands"
"52",408592,408592,408590,"Species","Austrocidaris spinulosa","Mortensen, 1910",160788,5,2,"Echinodermata","Cidaroida","Cidaridae","Austrocidaris","Austrocidaris spinulosa","Echinoidea",NA,NA,NA,"Malvinas_Falklands"
"53",408625,408625,772431,"Species","Austrofilius furcatus","Hodgson, 1910",174985,1,1,"Arthropoda","Isopoda","Janiridae","Austrofilius","Austrofilius furcatus","Malacostraca",NA,NA,NA,"Malvinas_Falklands"
"54",409240,409240,739484,"Species","Balaenoptera physalus","(Linnaeus, 1758)",137091,2,2,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus","Mammalia",TRUE,"EN",NA,"Malvinas_Falklands"
"55",409257,409257,744019,"Genus","Balanophyllia","Wood, 1844",135108,4,2,"Cnidaria","Scleractinia","Dendrophylliidae","Balanophyllia",NA,"Anthozoa",NA,NA,NA,"Malvinas_Falklands"
"56",410123,410123,410122,"Species","Baseodiscus antarcticus","Baylis, 1915",147959,2,2,"Nemertea",NA,"Valenciniidae","Baseodiscus","Baseodiscus antarcticus","Anopla",NA,NA,NA,"Malvinas_Falklands"
"57",410290,410290,410289,"Species","Bathybiaster loripes","Sladen, 1889",172715,10,4,"Echinodermata","Paxillosida","Astropectinidae","Bathybiaster","Bathybiaster loripes","Asteroidea",NA,NA,NA,"Malvinas_Falklands"
"58",410300,410300,468851,"Genus","Bathycalanus","Sars G.O., 1905",104185,2,1,"Arthropoda","Calanoida","Megacalanidae","Bathycalanus",NA,NA,NA,NA,NA,"Malvinas_Falklands"
"59",410378,410378,739651,"Species","Bathydraco antarcticus","Günther, 1878",234794,1,1,"Chordata","Perciformes","Bathydraconidae","Bathydraco","Bathydraco antarcticus","Actinopteri",NA,NA,NA,"Malvinas_Falklands"
"60",410656,410656,605849,"Species","Bathypathes patula","Brook, 1889",103323,1,1,"Cnidaria","Antipatharia","Schizopathidae","Bathypathes","Bathypathes patula","Anthozoa",NA,NA,NA,"Malvinas_Falklands"
