"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","gisd","hab","ecoregion"
"1",395528,395528,695219,"Species","Abudefduf declivifrons","(Gill, 1862)",273698,TRUE,"LC",15,3,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf declivifrons","Actinopteri",NA,NA,"Mexican Tropical Pacific"
"2",395731,395731,395729,"Species","Acanthemblemaria balanorum","Brock, 1940",279445,TRUE,"LC",3,1,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria balanorum","Actinopteri",NA,NA,"Mexican Tropical Pacific"
"3",395733,395733,395729,"Species","Acanthemblemaria crockeri","Beebe & Tee-Van, 1938",279449,TRUE,"LC",1,1,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria crockeri","Actinopteri",NA,NA,"Mexican Tropical Pacific"
"4",395737,395737,395729,"Species","Acanthemblemaria macrospilus","Brock, 1940",279455,TRUE,"LC",16,2,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria macrospilus","Actinopteri",NA,NA,"Mexican Tropical Pacific"
"5",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,TRUE,"LC",1,1,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",NA,NA,"Mexican Tropical Pacific"
"6",395935,395935,776106,"Species","Acanthogobius flavimanus","(Temminck & Schlegel, 1845)",279475,TRUE,"LC",1,1,"Chordata","Perciformes","Gobiidae","Acanthogobius","Acanthogobius flavimanus","Actinopteri",TRUE,NA,"Mexican Tropical Pacific"
"7",395971,395971,768313,"Genus","Acanthoica","Lohmann, 1903",115083,NA,NA,1,1,"Haptophyta","Syracosphaerales","Rhabdosphaeraceae","Acanthoica",NA,"Prymnesiophyceae",NA,NA,"Mexican Tropical Pacific"
"8",396446,396446,775720,"Genus","Acentrogobius","Bleeker, 1874",206293,NA,NA,3,1,"Chordata","Perciformes","Gobiidae","Acentrogobius",NA,"Actinopteri",NA,NA,"Mexican Tropical Pacific"
"9",396961,396961,695290,"Species","Acrocalanus longicornis","Giesbrecht, 1888",104646,NA,NA,1,1,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus longicornis",NA,NA,NA,"Mexican Tropical Pacific"
"10",398748,398748,398744,"Species","Agalma okeni","Eschscholtz, 1825",135485,NA,NA,1,1,"Cnidaria","Siphonophorae","Agalmatidae","Agalma","Agalma okeni","Hydrozoa",NA,NA,"Mexican Tropical Pacific"
