"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",625,625,523185,"Subspecies","Tylosurus acus melanotus","(Bleeker, 1850)",293756,3,1,"Chordata","Beloniformes","Belonidae","Tylosurus","Tylosurus acus","Actinopteri",NA,NA,NA,NA,"Nicoya"
"2",395528,395528,695219,"Species","Abudefduf declivifrons","(Gill, 1862)",273698,13,3,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf declivifrons","Actinopteri",TRUE,"LC",NA,NA,"Nicoya"
"3",395568,395568,695224,"Species","Abyla haeckeli","Lens & van Riemsdijk, 1908",196556,1,1,"Cnidaria","Siphonophorae","Abylidae","Abyla","Abyla haeckeli","Hydrozoa",NA,NA,NA,NA,"Nicoya"
"4",395697,395697,395694,"Species","Acanthaster planci","(Linnaeus, 1758)",213289,1,1,"Echinodermata","Valvatida","Acanthasteridae","Acanthaster","Acanthaster planci","Asteroidea",NA,NA,TRUE,NA,"Nicoya"
"5",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,8,2,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,NA,"Nicoya"
"6",396214,396214,737105,"Genus","Acanthurus","Forsskål, 1775",125908,1,1,"Chordata","Perciformes","Acanthuridae","Acanthurus",NA,"Actinopteri",NA,NA,NA,NA,"Nicoya"
"7",398748,398748,398744,"Species","Agalma okeni","Eschscholtz, 1825",135485,3,1,"Cnidaria","Siphonophorae","Agalmatidae","Agalma","Agalma okeni","Hydrozoa",NA,NA,NA,NA,"Nicoya"
"8",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",117851,1,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Aglaura hemistoma","Hydrozoa",NA,NA,NA,NA,"Nicoya"
"9",399565,399565,774445,"Species","Alitta succinea","(Leuckart, 1847)",234850,1,1,"Annelida","Phyllodocida","Nereididae","Alitta","Alitta succinea","Polychaeta",NA,NA,TRUE,NA,"Nicoya"
"10",399797,399797,737741,"Species","Alphestes multiguttatus","(Günther, 1867)",279569,40,4,"Chordata","Perciformes","Serranidae","Alphestes","Alphestes multiguttatus","Actinopteri",TRUE,"LC",NA,NA,"Nicoya"
