"","id","valid_id","parent_id","rank_name","tname","tauthor","records","datasets","phylum","order","family","genus","species","class","worms_id","redlist","status","gisd","hab","ecoregion"
"1",593,593,771258,"Species","Nereis (Nereis) eakini","Hartman",2,1,"Annelida","Phyllodocida","Nereididae","Nereis","Nereis (Nereis) eakini","Polychaeta",NA,NA,NA,NA,NA,"North American Pacific Fijordland"
"2",395372,395372,738817,"Genus","Abarenicola","Wells, 1959",5,1,"Annelida",NA,"Arenicolidae","Abarenicola",NA,"Polychaeta",129205,NA,NA,NA,NA,"North American Pacific Fijordland"
"3",395377,395377,395372,"Species","Abarenicola pacifica","Healy & Wells, 1959",2,1,"Annelida",NA,"Arenicolidae","Abarenicola","Abarenicola pacifica","Polychaeta",326192,NA,NA,NA,NA,"North American Pacific Fijordland"
"4",395408,395408,509722,"Genus","Abietinaria","Kirchenpauer, 1884",16,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria",NA,"Hydrozoa",117225,NA,NA,NA,NA,"North American Pacific Fijordland"
"5",395409,395409,395408,"Species","Abietinaria abietina","(Linnaeus, 1758)",8,2,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria abietina","Hydrozoa",117870,NA,NA,NA,NA,"North American Pacific Fijordland"
"6",395411,395411,395408,"Species","Abietinaria anguina","(Trask, 1857)",6,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria anguina","Hydrozoa",285354,NA,NA,NA,NA,"North American Pacific Fijordland"
"7",395413,395413,395408,"Species","Abietinaria filicula","(Ellis & Solander, 1786)",3,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria filicula","Hydrozoa",117871,NA,NA,NA,NA,"North American Pacific Fijordland"
"8",395414,395414,395408,"Species","Abietinaria gigantea","(Clark, 1877)",3,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria gigantea","Hydrozoa",285364,NA,NA,NA,NA,"North American Pacific Fijordland"
"9",395415,395415,395408,"Species","Abietinaria greenei","(Murray, 1860)",6,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria greenei","Hydrozoa",285366,NA,NA,NA,NA,"North American Pacific Fijordland"
"10",395418,395418,395408,"Species","Abietinaria rigida","Fraser, 1911",5,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria rigida","Hydrozoa",285377,NA,NA,NA,NA,"North American Pacific Fijordland"
"11",395419,395419,395408,"Species","Abietinaria traski","(Torrey, 1902)",2,2,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria traski","Hydrozoa",285380,NA,NA,NA,NA,"North American Pacific Fijordland"
"12",395420,395420,395408,"Species","Abietinaria turgida","(Clark, 1877)",8,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria turgida","Hydrozoa",157609,NA,NA,NA,NA,"North American Pacific Fijordland"
"13",395422,395422,395408,"Species","Abietinaria variabilis","(Clark, 1877)",11,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria variabilis","Hydrozoa",285382,NA,NA,NA,NA,"North American Pacific Fijordland"
"14",395446,395446,767579,"Species","Abothrium gadi","Van Beneden, 1871",1,1,"Platyhelminthes","Bothriocephalidea","Triaenophoridae","Abothrium","Abothrium gadi","Cestoda",105216,NA,NA,NA,NA,"North American Pacific Fijordland"
"15",395687,395687,772182,"Species","Acanthascus platei","Schulze, 1886",8,1,"Porifera","Lyssacinosida","Rossellidae","Acanthascus","Acanthascus platei","Hexactinellida",189809,NA,NA,NA,NA,"North American Pacific Fijordland"
"16",395925,395925,481083,"Genus","Acanthodoris","Gray, 1850",3,1,"Mollusca","Nudibranchia","Onchidorididae","Acanthodoris",NA,"Gastropoda",138284,NA,NA,NA,NA,"North American Pacific Fijordland"
"17",395971,395971,768313,"Genus","Acanthoica","Lohmann, 1903",10,1,"Haptophyta","Syracosphaerales","Rhabdosphaeraceae","Acanthoica",NA,"Prymnesiophyceae",115083,NA,NA,NA,NA,"North American Pacific Fijordland"
"18",396013,396013,776107,"Species","Acantholiparis opercularis","Gilbert & Burke, 1912",2,2,"Chordata","Scorpaeniformes","Liparidae","Acantholiparis","Acantholiparis opercularis","Actinopteri",279480,NA,NA,NA,NA,"North American Pacific Fijordland"
"19",396073,396073,771677,"Species","Acanthonus armatus","Günther, 1878",1,1,"Chordata","Ophidiiformes","Ophidiidae","Acanthonus","Acanthonus armatus","Actinopteri",158998,NA,NA,NA,NA,"North American Pacific Fijordland"
"20",396202,396202,396200,"Species","Acanthostomella norvegica","(Daday, 1887)",1,1,"Ciliophora","Choreotrichida","Ascampbelliellidae","Acanthostomella","Acanthostomella norvegica","Oligotrichea",183556,NA,NA,NA,NA,"North American Pacific Fijordland"
"21",396298,396298,772018,"Genus","Acarnus","Gray, 1867",1,1,"Porifera","Poecilosclerida","Acarnidae","Acarnus",NA,"Demospongiae",167337,NA,NA,NA,NA,"North American Pacific Fijordland"
"22",396300,396300,396298,"Species","Acarnus erithacus","de Laubenfels, 1927",6,1,"Porifera","Poecilosclerida","Acarnidae","Acarnus","Acarnus erithacus","Demospongiae",167343,NA,NA,NA,NA,"North American Pacific Fijordland"
"23",396326,396326,770837,"Species","Acartia (Acartiura) clausi","Giesbrecht, 1889",49,1,"Arthropoda","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",NA,149755,NA,NA,NA,NA,"North American Pacific Fijordland"
