"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"1",395385,395385,395384,"Species","Abatus agassizii","Mortensen, 1910",160759,1,1,"Echinodermata","Spatangoida","Schizasteridae","Abatus","Abatus agassizii","Echinoidea",NA,NA,NA,"North Patagonian Gulfs"
"2",395387,395387,395384,"Species","Abatus cavernosus","(Philippi, 1845)",160762,3,2,"Echinodermata","Spatangoida","Schizasteridae","Abatus","Abatus cavernosus","Echinoidea",NA,NA,NA,"North Patagonian Gulfs"
"3",395781,395781,395780,"Species","Acanthistius brasilianus","(Cuvier, 1828)",278720,895,5,"Chordata","Perciformes","Serranidae","Acanthistius","Acanthistius brasilianus","Actinopteri",TRUE,"DD",NA,"North Patagonian Gulfs"
"4",396799,396799,396798,"Species","Acinetospora crinita","(Carmichael) Sauvageau, 1899",145398,1,1,"Ochrophyta","Ectocarpales","Acinetosporaceae","Acinetospora","Acinetospora crinita","Phaeophyceae",NA,NA,NA,"North Patagonian Gulfs"
"5",396885,396885,396883,"Species","Acodontaster conspicuus","(Koehler, 1920)",172767,1,1,"Echinodermata","Valvatida","Odontasteridae","Acodontaster","Acodontaster conspicuus","Asteroidea",NA,NA,NA,"North Patagonian Gulfs"
"6",398422,398422,398391,"Species","Aega webbii","(Guérin-Méneville, 1836)",256450,2,1,"Arthropoda","Isopoda","Aegidae","Aega","Aega webbii","Malacostraca",NA,NA,NA,"North Patagonian Gulfs"
"7",398598,398598,398597,"Species","Aetea anguina","(Linnaeus, 1758)",111062,2,1,"Bryozoa","Cheilostomatida","Aeteidae","Aetea","Aetea anguina","Gymnolaemata",NA,NA,NA,"North Patagonian Gulfs"
"8",398601,398601,398597,"Species","Aetea ligulata","Busk, 1852",111064,18,2,"Bryozoa","Cheilostomatida","Aeteidae","Aetea","Aetea ligulata","Gymnolaemata",NA,NA,NA,"North Patagonian Gulfs"
"9",398986,398986,776124,"Species","Agonopsis chiloensis","(Jenyns, 1840)",279520,174,4,"Chordata","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis chiloensis","Actinopteri",NA,NA,NA,"North Patagonian Gulfs"
"10",399697,399697,775003,"Species","Allotanais hirsutus","(Beddard, 1886)",247699,1,1,"Arthropoda","Tanaidacea","Tanaididae","Allotanais","Allotanais hirsutus","Malacostraca",NA,NA,NA,"North Patagonian Gulfs"
