"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"1",395361,395361,695212,"Species","Aaptos aaptos","(Schmidt, 1864)",134241,1,1,"Porifera","Suberitida","Suberitidae","Aaptos","Aaptos aaptos","Demospongiae",NA,NA,NA,NA,"Northeastern Brazil"
"2",395653,395653,395650,"Species","Acanella eburnea","(Pourtalès, 1868)",286299,1,1,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella eburnea","Anthozoa",NA,NA,NA,NA,"Northeastern Brazil"
"3",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,36,2,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,NA,"Northeastern Brazil"
"4",395978,395978,759725,"Genus","Acantholaimus","Allgén, 1933",2303,4,1,"Nematoda","Chromadorida","Chromadoridae","Acantholaimus",NA,"Chromadorea",NA,NA,NA,NA,"Northeastern Brazil"
"5",396204,396204,754094,"Genus","Acanthostracion","Bleeker, 1865",126237,1,1,"Chordata","Tetraodontiformes","Ostraciidae","Acanthostracion",NA,"Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"6",396298,396298,772018,"Genus","Acarnus","Gray, 1867",167337,1,1,"Porifera","Poecilosclerida","Acarnidae","Acarnus",NA,"Demospongiae",NA,NA,NA,NA,"Northeastern Brazil"
"7",396302,396302,396298,"Species","Acarnus radovani","(Boury-Esnault, 1973)",167350,2,2,"Porifera","Poecilosclerida","Acarnidae","Acarnus","Acarnus radovani","Demospongiae",NA,NA,NA,NA,"Northeastern Brazil"
"8",396547,396547,700486,"Genus","Acetes","H. Milne Edwards, 1830",158343,1,1,"Arthropoda","Decapoda","Sergestidae","Acetes",NA,"Malacostraca",NA,NA,NA,NA,"Northeastern Brazil"
"9",396662,396662,770793,"Genus","Achnanthes","Bory de Saint-Vincent, 1822",149191,20,2,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes",NA,"Bacillariophyceae",NA,NA,NA,NA,"Northeastern Brazil"
"10",396675,396675,396662,"Species","Achnanthes brevipes","C.Agardh, 1824",149387,5,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes brevipes","Bacillariophyceae",NA,NA,NA,NA,"Northeastern Brazil"
