"","id","valid_id","parent_id","rank_name","tname","tauthor","records","datasets","phylum","order","family","genus","species","class","worms_id","redlist","status","gisd","hab","ecoregion"
"1",593,593,771258,"Species","Nereis (Nereis) eakini","Hartman",2,1,"Annelida","Phyllodocida","Nereididae","Nereis","Nereis (Nereis) eakini","Polychaeta",NA,NA,NA,NA,NA,"Northern California"
"2",395408,395408,509722,"Genus","Abietinaria","Kirchenpauer, 1884",3,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria",NA,"Hydrozoa",117225,NA,NA,NA,NA,"Northern California"
"3",395409,395409,395408,"Species","Abietinaria abietina","(Linnaeus, 1758)",3,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria abietina","Hydrozoa",117870,NA,NA,NA,NA,"Northern California"
"4",395411,395411,395408,"Species","Abietinaria anguina","(Trask, 1857)",2,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria anguina","Hydrozoa",285354,NA,NA,NA,NA,"Northern California"
"5",395415,395415,395408,"Species","Abietinaria greenei","(Murray, 1860)",2,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria greenei","Hydrozoa",285366,NA,NA,NA,NA,"Northern California"
"6",395419,395419,395408,"Species","Abietinaria traski","(Torrey, 1902)",1,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria traski","Hydrozoa",285380,NA,NA,NA,NA,"Northern California"
"7",395422,395422,395408,"Species","Abietinaria variabilis","(Clark, 1877)",3,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria variabilis","Hydrozoa",285382,NA,NA,NA,NA,"Northern California"
"8",395650,395650,748828,"Genus","Acanella","Gray, 1870",157,1,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",125303,NA,NA,NA,NA,"Northern California"
"9",395925,395925,481083,"Genus","Acanthodoris","Gray, 1850",1,1,"Mollusca","Nudibranchia","Onchidorididae","Acanthodoris",NA,"Gastropoda",138284,NA,NA,NA,NA,"Northern California"
"10",395935,395935,776106,"Species","Acanthogobius flavimanus","(Temminck & Schlegel, 1845)",51,2,"Chordata","Perciformes","Gobiidae","Acanthogobius","Acanthogobius flavimanus","Actinopteri",279475,TRUE,"LC",TRUE,NA,"Northern California"
"11",396063,396063,1029628,"Genus","Acanthonchus","Cobb, 1920",3,1,"Nematoda","Chromadorida","Cyatholaimidae","Acanthonchus",NA,"Chromadorea",2319,NA,NA,NA,NA,"Northern California"
"12",396300,396300,396298,"Species","Acarnus erithacus","de Laubenfels, 1927",7,3,"Porifera","Poecilosclerida","Acarnidae","Acarnus","Acarnus erithacus","Demospongiae",167343,NA,NA,NA,NA,"Northern California"
"13",396497,396497,699147,"Genus","Aceroides","Sars, 1895",1,1,"Arthropoda","Amphipoda","Oedicerotidae","Aceroides",NA,"Malacostraca",101687,NA,NA,NA,NA,"Northern California"
"14",396773,396773,396772,"Species","Achtheinus dentatus","Wilson C.B., 1911",1,1,"Arthropoda","Siphonostomatoida","Pandaridae","Achtheinus","Achtheinus dentatus",NA,364579,NA,NA,NA,NA,"Northern California"
"15",396810,396810,396804,"Species","Acipenser medirostris","Ayres, 1854",4,2,"Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser medirostris","Actinopteri",271695,TRUE,"NT",NA,NA,"Northern California"
"16",396813,396813,396804,"Species","Acipenser oxyrinchus","Mitchill, 1815",1,1,"Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus","Actinopteri",151802,TRUE,"NT",NA,NA,"Northern California"
"17",396819,396819,396804,"Species","Acipenser transmontanus","Richardson, 1836",6,2,"Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser transmontanus","Actinopteri",238345,TRUE,"LC",NA,NA,"Northern California"
"18",396851,396851,396867,"Genus","Acmaea","Eschscholtz, 1833",1,1,"Mollusca",NA,"Acmaeidae","Acmaea",NA,"Gastropoda",137616,NA,NA,NA,NA,"Northern California"
"19",397533,397533,737331,"Genus","Acteon","Montfort, 1810",1,1,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon",NA,"Gastropoda",137618,NA,NA,NA,NA,"Northern California"
"20",397700,397700,737334,"Species","Actinia fragacea","Tugwell, 1856",1,1,"Cnidaria","Actiniaria","Actiniidae","Actinia","Actinia fragacea","Anthozoa",100805,NA,NA,NA,NA,"Northern California"
"21",398142,398142,737398,"Genus","Actinostola","Verrill, 1883",1,1,"Cnidaria","Actiniaria","Actinostolidae","Actinostola",NA,"Anthozoa",100709,NA,NA,NA,NA,"Northern California"
"22",398146,398146,398142,"Species","Actinostola carlgreni","Wassilieff, 1908",1,1,"Cnidaria","Actiniaria","Actinostolidae","Actinostola","Actinostola carlgreni","Anthozoa",283448,NA,NA,NA,NA,"Northern California"
"23",398380,398380,778545,"Species","Aechmophorus occidentalis","(Lawrence, 1858)",2436,6,"Chordata","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus occidentalis","Aves",366617,TRUE,"LC",NA,NA,"Northern California"
"24",398430,398430,430911,"Genus","Aegathoa","Dana, 1853",1,1,"Arthropoda","Isopoda","Cymothoidae","Aegathoa",NA,"Malacostraca",248374,NA,NA,NA,NA,"Northern California"
"25",398461,398461,698934,"Family","Aeginidae","Gegenbaur, 1857",1,1,"Cnidaria","Narcomedusae","Aeginidae",NA,NA,"Hydrozoa",16846,NA,NA,NA,NA,"Northern California"
"26",398649,398649,398644,"Species","Aetideus divergens","Bradford, 1971",3,1,"Arthropoda","Calanoida","Aetideidae","Aetideus","Aetideus divergens",NA,346076,NA,NA,NA,NA,"Northern California"
