"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","ecoregion"
"1",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,TRUE,"LC",33,2,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri","Northern Galapagos Islands"
"2",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",117851,NA,NA,2,2,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Aglaura hemistoma","Hydrozoa","Northern Galapagos Islands"
"3",403614,403614,601447,"Species","Anthias noeli","Anderson & Baldwin, 2000",273828,NA,NA,3,2,"Chordata","Perciformes","Serranidae","Anthias","Anthias noeli","Actinopteri","Northern Galapagos Islands"
"4",409257,409257,744019,"Genus","Balanophyllia","Wood, 1844",135108,NA,NA,2,2,"Cnidaria","Scleractinia","Dendrophylliidae","Balanophyllia",NA,"Anthozoa","Northern Galapagos Islands"
"5",411350,411350,411346,"Species","Benthodytes sanguinolenta","Théel, 1882",241785,NA,NA,1,1,"Echinodermata","Elasipodida","Psychropotidae","Benthodytes","Benthodytes sanguinolenta","Holothuroidea","Northern Galapagos Islands"
"6",414411,414411,740482,"Species","Calamopteryx jeb","Cohen, 1973",280020,TRUE,"LC",1,1,"Chordata","Ophidiiformes","Bythitidae","Calamopteryx","Calamopteryx jeb","Actinopteri","Northern Galapagos Islands"
"7",416282,416282,416280,"Species","Cantherhines dumerilii","(Hollard, 1854)",276248,NA,NA,3,1,"Chordata","Tetraodontiformes","Monacanthidae","Cantherhines","Cantherhines dumerilii","Actinopteri","Northern Galapagos Islands"
"8",416659,416659,696227,"Species","Caranx lugubris","Poey, 1860",126805,NA,NA,3,1,"Chordata","Perciformes","Carangidae","Caranx","Caranx lugubris","Actinopteri","Northern Galapagos Islands"
"9",416732,416732,696240,"Species","Carcharhinus albimarginatus","(Rüppell, 1837)",217352,TRUE,"NT",1,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus albimarginatus","Elasmobranchii","Northern Galapagos Islands"
"10",416747,416747,696240,"Species","Carcharhinus galapagensis","(Snodgrass & Heller, 1905)",105790,TRUE,"NT",8,2,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus galapagensis","Elasmobranchii","Northern Galapagos Islands"
"11",416756,416756,696240,"Species","Carcharhinus longimanus","(Poey, 1861)",105794,TRUE,"VU",1,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus longimanus","Elasmobranchii","Northern Galapagos Islands"
"12",418430,418430,418406,"Species","Cephalopholis panamensis","(Steindachner, 1877)",279152,TRUE,"LC",6,2,"Chordata","Perciformes","Serranidae","Cephalopholis","Cephalopholis panamensis","Actinopteri","Northern Galapagos Islands"
"13",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,NA,NA,4,1,"Mollusca",NA,NA,NA,NA,"Cephalopoda","Northern Galapagos Islands"
"14",419774,419774,696396,"Species","Chaetodon auriga","Forsskål, 1775",218730,TRUE,"LC",1,1,"Chordata","Perciformes","Chaetodontidae","Chaetodon","Chaetodon auriga","Actinopteri","Northern Galapagos Islands"
"15",419816,419816,696396,"Species","Chaetodon lunula","(Lacepède, 1802)",218733,TRUE,"LC",1,1,"Chordata","Perciformes","Chaetodontidae","Chaetodon","Chaetodon lunula","Actinopteri","Northern Galapagos Islands"
"16",420218,420218,773827,"Species","Chanos chanos","(Forsskål, 1775)",217625,NA,NA,1,1,"Chordata","Gonorhynchiformes","Chanidae","Chanos","Chanos chanos","Actinopteri","Northern Galapagos Islands"
"17",420876,420876,743298,"Family","Cheloniidae","Oppel, 1811",136999,NA,NA,5,3,"Chordata","Testudines","Cheloniidae",NA,NA,"Reptilia","Northern Galapagos Islands"
"18",421114,421114,421106,"Species","Chilomycterus reticulatus","(Linnaeus, 1758)",219964,NA,NA,1,1,"Chordata","Tetraodontiformes","Diodontidae","Chilomycterus","Chilomycterus reticulatus","Actinopteri","Northern Galapagos Islands"
"19",421532,421532,421530,"Species","Chlopsis bicollaris","(Myers & Wade, 1941)",271713,TRUE,"NT",4,3,"Chordata","Anguilliformes","Chlopsidae","Chlopsis","Chlopsis bicollaris","Actinopteri","Northern Galapagos Islands"
"20",422110,422110,422102,"Species","Chromis alta","Greenfield & Woods, 1980",273710,TRUE,"LC",3,3,"Chordata","Perciformes","Pomacentridae","Chromis","Chromis alta","Actinopteri","Northern Galapagos Islands"
"21",425022,425022,742449,"Species","Coelorinchus canus","(Garman, 1899)",280260,NA,NA,1,1,"Chordata","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus canus","Actinopteri","Northern Galapagos Islands"
"22",425199,425199,425198,"Species","Colanthura bruscai","Poore, 1984",258093,NA,NA,1,1,"Arthropoda","Isopoda","Paranthuridae","Colanthura","Colanthura bruscai","Malacostraca","Northern Galapagos Islands"
"23",425277,425277,778569,"Species","Collosphaera tuberosa","Haeckel, 1887",367318,NA,NA,1,1,"Radiozoa","Nassellaria","Collozoidae","Collosphaera","Collosphaera tuberosa","Polycystina","Northern Galapagos Islands"
"24",429559,429559,618144,"Species","Cubiceps pauciradiatus","Günther, 1872",159424,NA,NA,1,1,"Chordata","Perciformes","Nomeidae","Cubiceps","Cubiceps pauciradiatus","Actinopteri","Northern Galapagos Islands"
"25",430894,430894,430911,"Genus","Cymothoa","Fabricius, 1793",118409,NA,NA,1,1,"Arthropoda","Isopoda","Cymothoidae","Cymothoa",NA,"Malacostraca","Northern Galapagos Islands"
"26",432575,432575,432573,"Species","Delphinus delphis","Linnaeus, 1758",137094,TRUE,"LC",37,2,"Chordata","Cetartiodactyla","Delphinidae","Delphinus","Delphinus delphis","Mammalia","Northern Galapagos Islands"
"27",433185,433185,769806,"Species","Dermochelys coriacea","(Vandelli, 1761)",137209,TRUE,"VU",19,1,"Chordata","Testudines","Dermochelyidae","Dermochelys","Dermochelys coriacea","Reptilia","Northern Galapagos Islands"
"28",438900,438900,745246,"Species","Enoploteuthis obliqua","Burgess, 1982",342301,TRUE,"LC",1,1,"Mollusca","Oegopsida","Enoploteuthidae","Enoploteuthis","Enoploteuthis obliqua","Cephalopoda","Northern Galapagos Islands"
"29",439095,439095,439091,"Species","Entomacrodus chiostictus","(Jordan & Gilbert, 1882)",277243,TRUE,"LC",2,1,"Chordata","Perciformes","Blenniidae","Entomacrodus","Entomacrodus chiostictus","Actinopteri","Northern Galapagos Islands"
"30",439446,439446,745366,"Genus","Epinephelus","Bloch, 1793",126068,NA,NA,92,1,"Chordata","Perciformes","Serranidae","Epinephelus",NA,"Actinopteri","Northern Galapagos Islands"
