"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",606,606,654118,"Subspecies","Paraliparis copei copei","Goode & Bean, 1896",293702,4,2,"Chordata","Scorpaeniformes","Liparidae","Paraliparis","Paraliparis copei","Actinopteri",NA,NA,NA,NA,"Northern Grand Banks - Southern Labrador"
"2",395651,395651,395650,"Species","Acanella arbuscula","(Johnson, 1862)",125371,36,2,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella arbuscula","Anthozoa",NA,NA,NA,NA,"Northern Grand Banks - Southern Labrador"
"3",395754,395754,695236,"Species","Acanthephyra eximia","Smith, 1884",564909,4,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra eximia","Malacostraca",NA,NA,NA,NA,"Northern Grand Banks - Southern Labrador"
"4",395764,395764,695236,"Species","Acanthephyra pelagica","(Risso, 1816)",107581,468,3,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","Malacostraca",NA,NA,NA,NA,"Northern Grand Banks - Southern Labrador"
"5",395941,395941,695247,"Species","Acanthogorgia armata","Verrill, 1878",125348,40,1,"Cnidaria","Alcyonacea","Acanthogorgiidae","Acanthogorgia","Acanthogorgia armata","Anthozoa",NA,NA,NA,NA,"Northern Grand Banks - Southern Labrador"
"6",396199,396199,596574,"Species","Acanthostepheia malmgreni","(Goës, 1866)",102864,1,1,"Arthropoda","Amphipoda","Oedicerotidae","Acanthostepheia","Acanthostepheia malmgreni","Malacostraca",NA,NA,NA,NA,"Northern Grand Banks - Southern Labrador"
"7",396202,396202,396200,"Species","Acanthostomella norvegica","(Daday, 1887)",183556,47,1,"Ciliophora","Choreotrichida","Ascampbelliellidae","Acanthostomella","Acanthostomella norvegica","Oligotrichea",NA,NA,NA,NA,"Northern Grand Banks - Southern Labrador"
"8",396813,396813,396804,"Species","Acipenser oxyrinchus","Mitchill, 1815",151802,2,2,"Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus","Actinopteri",TRUE,"NT",NA,NA,"Northern Grand Banks - Southern Labrador"
"9",397565,397565,397561,"Species","Actinauge cristata","Riemann-Zürneck, 1986",158210,5,1,"Cnidaria","Actiniaria","Hormathiidae","Actinauge","Actinauge cristata","Anthozoa",NA,NA,NA,NA,"Northern Grand Banks - Southern Labrador"
"10",397861,397861,767920,"Species","Actiniscus pentasterias","(Ehrenberg) Ehrenberg, 1844",109717,6,1,"Myzozoa","Actiniscales","Actiniscaceae","Actiniscus","Actiniscus pentasterias","Dinophyceae",NA,NA,NA,NA,"Northern Grand Banks - Southern Labrador"
