"","id","valid_id","parent_id","rank_name","tname","tauthor","records","datasets","phylum","order","family","genus","species","class","worms_id","redlist","status","gisd","hab","ecoregion"
"1",478,478,805727,"Subspecies","Mangilia (Pleurotomella) agassizii mexicana","Dall",5,1,"Mollusca","Neogastropoda","Turridae","Mangilia","Mangilia (Pleurotomella) agassizii","Gastropoda",NA,NA,NA,NA,NA,"Northern Gulf of Mexico"
"2",541,541,473963,"Species","Muriceides kuekenthali","(Broch, 1912)",8,3,"Cnidaria","Alcyonacea","Plexauridae","Muriceides","Muriceides kuekenthali","Anthozoa",125382,NA,NA,NA,NA,"Northern Gulf of Mexico"
"3",609,609,699786,"Genus","Pinnixia","White, 1846",15,1,"Arthropoda","Decapoda","Pinnotheridae","Pinnixia",NA,"Malacostraca",NA,NA,NA,NA,NA,"Northern Gulf of Mexico"
"4",619,619,793677,"Species","Sthenorytis pernobilis","(P. Fischer & Bernardi, 1857)",3,1,"Mollusca","Caenogastropoda incertae sedis","Epitoniidae","Sthenorytis","Sthenorytis pernobilis","Gastropoda",419829,NA,NA,NA,NA,"Northern Gulf of Mexico"
"5",395404,395404,736966,"Genus","Aberranta","Hartman, 1965",4,1,"Annelida",NA,"Aberrantidae","Aberranta",NA,"Polychaeta",298124,NA,NA,NA,NA,"Northern Gulf of Mexico"
"6",395455,395455,395447,"Species","Abra longicallus","(Scacchi, 1835)",9,1,"Mollusca","Cardiida","Semelidae","Abra","Abra longicallus","Bivalvia",141434,NA,NA,NA,NA,"Northern Gulf of Mexico"
"7",395515,395515,695219,"Species","Abudefduf bengalensis","(Bloch, 1787)",1,1,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf bengalensis","Actinopteri",212885,NA,NA,NA,NA,"Northern Gulf of Mexico"
"8",395571,395571,695224,"Species","Abyla trigona","Quoy & Gaimard, 1827",6,1,"Cnidaria","Siphonophorae","Abylidae","Abyla","Abyla trigona","Hydrozoa",135402,NA,NA,NA,NA,"Northern Gulf of Mexico"
"9",395650,395650,748828,"Genus","Acanella","Gray, 1870",81,4,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",125303,NA,NA,NA,NA,"Northern Gulf of Mexico"
"10",395651,395651,395650,"Species","Acanella arbuscula","(Johnson, 1862)",10,4,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella arbuscula","Anthozoa",125371,NA,NA,NA,NA,"Northern Gulf of Mexico"
"11",395653,395653,395650,"Species","Acanella eburnea","(Pourtalès, 1868)",43,4,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella eburnea","Anthozoa",286299,NA,NA,NA,NA,"Northern Gulf of Mexico"
"12",395657,395657,774929,"Species","Acanthacaris caeca","A. Milne-Edwards, 1881",53,4,"Arthropoda","Decapoda","Nephropidae","Acanthacaris","Acanthacaris caeca","Malacostraca",293250,TRUE,"LC",NA,NA,"Northern Gulf of Mexico"
"13",395746,395746,695236,"Species","Acanthephyra acanthitelsonis","Spence Bate, 1888",11,2,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra acanthitelsonis","Malacostraca",240809,NA,NA,NA,NA,"Northern Gulf of Mexico"
"14",395747,395747,695236,"Species","Acanthephyra acutifrons","Spence Bate, 1888",9,2,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra acutifrons","Malacostraca",158347,NA,NA,NA,NA,"Northern Gulf of Mexico"
"15",395754,395754,695236,"Species","Acanthephyra eximia","Smith, 1884",15,2,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra eximia","Malacostraca",564909,NA,NA,NA,NA,"Northern Gulf of Mexico"
"16",395764,395764,695236,"Species","Acanthephyra pelagica","(Risso, 1816)",9,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","Malacostraca",107581,NA,NA,NA,NA,"Northern Gulf of Mexico"
"17",395815,395815,395814,"Species","Acanthocarpus alexandri","Stimpson, 1871",111,4,"Arthropoda","Decapoda","Calappidae","Acanthocarpus","Acanthocarpus alexandri","Malacostraca",158044,NA,NA,NA,NA,"Northern Gulf of Mexico"
"18",395891,395891,777875,"Genus","Acanthocope","Beddard, 1885",4,1,"Arthropoda","Isopoda","Munnopsidae","Acanthocope",NA,"Malacostraca",118333,NA,NA,NA,NA,"Northern Gulf of Mexico"
"19",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",18103,6,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",127014,TRUE,"LC",NA,NA,"Northern Gulf of Mexico"
"20",395918,395918,768283,"Species","Acanthodasys aculeatus","Remane, 1927",1,1,"Gastrotricha","Macrodasyida","Thaumastodermatidae","Acanthodasys","Acanthodasys aculeatus",NA,114618,NA,NA,NA,NA,"Northern Gulf of Mexico"
"21",395941,395941,695247,"Species","Acanthogorgia armata","Verrill, 1878",7,2,"Cnidaria","Alcyonacea","Acanthogorgiidae","Acanthogorgia","Acanthogorgia armata","Anthozoa",125348,NA,NA,NA,NA,"Northern Gulf of Mexico"
"22",395963,395963,451939,"Genus","Acanthohaustorius","Bousfield, 1965",52,4,"Arthropoda","Amphipoda","Haustoriidae","Acanthohaustorius",NA,"Malacostraca",158013,NA,NA,NA,NA,"Northern Gulf of Mexico"
"23",395965,395965,395963,"Species","Acanthohaustorius intermedius","Bousfield, 1965",5,2,"Arthropoda","Amphipoda","Haustoriidae","Acanthohaustorius","Acanthohaustorius intermedius","Malacostraca",158014,NA,NA,NA,NA,"Northern Gulf of Mexico"
"24",395966,395966,395963,"Species","Acanthohaustorius millsi","Bousfield, 1965",11,2,"Arthropoda","Amphipoda","Haustoriidae","Acanthohaustorius","Acanthohaustorius millsi","Malacostraca",158015,NA,NA,NA,NA,"Northern Gulf of Mexico"
"25",395967,395967,395963,"Species","Acanthohaustorius pansus","Thomas & J.L. Barnard, 1984",2,1,"Arthropoda","Amphipoda","Haustoriidae","Acanthohaustorius","Acanthohaustorius pansus","Malacostraca",345319,NA,NA,NA,NA,"Northern Gulf of Mexico"
"26",395968,395968,395963,"Species","Acanthohaustorius shoemakeri","Bousfield, 1965",2,1,"Arthropoda","Amphipoda","Haustoriidae","Acanthohaustorius","Acanthohaustorius shoemakeri","Malacostraca",345320,NA,NA,NA,NA,"Northern Gulf of Mexico"
"27",395970,395970,395963,"Species","Acanthohaustorius uncinus","Foster, 1989",26,3,"Arthropoda","Amphipoda","Haustoriidae","Acanthohaustorius","Acanthohaustorius uncinus","Malacostraca",345323,NA,NA,NA,NA,"Northern Gulf of Mexico"
"28",396073,396073,771677,"Species","Acanthonus armatus","Günther, 1878",8,2,"Chordata","Ophidiiformes","Ophidiidae","Acanthonus","Acanthonus armatus","Actinopteri",158998,NA,NA,NA,NA,"Northern Gulf of Mexico"
"29",396290,396290,405225,"Subclass","Acari","Leach, 1817",506,3,"Arthropoda",NA,NA,NA,NA,"Arachnida",292684,NA,NA,NA,NA,"Northern Gulf of Mexico"
"30",396381,396381,396376,"Species","Acasta cyathus","Darwin, 1854",17,1,"Arthropoda","Sessilia","Archaeobalanidae","Acasta","Acasta cyathus",NA,370509,NA,NA,NA,NA,"Northern Gulf of Mexico"
"31",396505,396505,768152,"Species","Acervulina inhaerens","Schulze, 1854",2,1,"Foraminifera","Rotaliida","Acervulinidae","Acervulina","Acervulina inhaerens","Globothalamea",112827,NA,NA,NA,NA,"Northern Gulf of Mexico"
"32",396549,396549,596697,"Subspecies","Acetes americanus carolinae","Hansen, 1933",10,2,"Arthropoda","Decapoda","Sergestidae","Acetes","Acetes americanus","Malacostraca",158345,NA,NA,NA,NA,"Northern Gulf of Mexico"
"33",396607,396607,400707,"Genus","Achelia","Hodge, 1864",7,1,"Arthropoda","Pantopoda","Ammotheidae","Achelia",NA,"Pycnogonida",134568,NA,NA,NA,NA,"Northern Gulf of Mexico"
"34",396662,396662,770793,"Genus","Achnanthes","Bory de Saint-Vincent, 1822",12,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes",NA,"Bacillariophyceae",149191,NA,NA,NA,NA,"Northern Gulf of Mexico"
"35",396799,396799,396798,"Species","Acinetospora crinita","(Carmichael) Sauvageau, 1899",3,1,"Ochrophyta","Ectocarpales","Acinetosporaceae","Acinetospora","Acinetospora crinita","Phaeophyceae",145398,NA,NA,NA,NA,"Northern Gulf of Mexico"
"36",396813,396813,396804,"Species","Acipenser oxyrinchus","Mitchill, 1815",38,2,"Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus","Actinopteri",151802,TRUE,"NT",NA,NA,"Northern Gulf of Mexico"
"37",396818,396818,396804,"Species","Acipenser sturio","Linnaeus, 1758",2,1,"Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser sturio","Actinopteri",126279,TRUE,"CR",NA,NA,"Northern Gulf of Mexico"
"38",396838,396838,779102,"Family","Aclididae","G.O. Sars, 1878",1,1,"Mollusca","Littorinimorpha","Aclididae",NA,NA,"Gastropoda",134,NA,NA,NA,NA,"Northern Gulf of Mexico"
"39",396957,396957,695290,"Species","Acrocalanus andersoni","Bowman, 1958",1,1,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus andersoni",NA,104644,NA,NA,NA,NA,"Northern Gulf of Mexico"
"40",396961,396961,695290,"Species","Acrocalanus longicornis","Giesbrecht, 1888",19,2,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus longicornis",NA,104646,NA,NA,NA,NA,"Northern Gulf of Mexico"
"41",397019,397019,396983,"Species","Acrochaetium microscopicum","(Nägeli ex Kützing) Nägeli, 1858",3,1,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium","Acrochaetium microscopicum","Florideophyceae",144368,NA,NA,NA,NA,"Northern Gulf of Mexico"
"42",397029,397029,396983,"Species","Acrochaetium sancti-thomae","Børgesen, 1915",1,1,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium","Acrochaetium sancti-thomae","Florideophyceae",371136,NA,NA,NA,NA,"Northern Gulf of Mexico"
"43",397031,397031,396983,"Species","Acrochaetium savianum","(Meneghini) Nägeli, 1862",1,1,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium","Acrochaetium savianum","Florideophyceae",144386,NA,NA,NA,NA,"Northern Gulf of Mexico"
"44",397032,397032,396983,"Species","Acrochaetium secundatum","(Lyngbye) Nägeli, 1858",2,1,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium","Acrochaetium secundatum","Florideophyceae",144387,NA,NA,NA,NA,"Northern Gulf of Mexico"
"45",397053,397053,596981,"Species","Acrocirrus frontifilis","(Grube, 1860)",18,4,"Annelida","Terebellida","Acrocirridae","Acrocirrus","Acrocirrus frontifilis","Polychaeta",129739,NA,NA,NA,NA,"Northern Gulf of Mexico"
"46",397439,397439,397433,"Species","Acryptolaria longitheca","(Allman, 1877)",5,2,"Cnidaria","Leptothecata","Lafoeidae","Acryptolaria","Acryptolaria longitheca","Hydrozoa",117681,NA,NA,NA,NA,"Northern Gulf of Mexico"
"47",397440,397440,397433,"Species","Acryptolaria rectangularis","(Jarvis, 1922)",3,1,"Cnidaria","Leptothecata","Lafoeidae","Acryptolaria","Acryptolaria rectangularis","Hydrozoa",284933,NA,NA,NA,NA,"Northern Gulf of Mexico"
"48",397524,397524,597146,"Species","Acteocina lepta","Woodring, 1928",6,2,"Mollusca","Cephalaspidea","Acteocinidae","Acteocina","Acteocina lepta","Gastropoda",420534,NA,NA,NA,NA,"Northern Gulf of Mexico"
"49",397533,397533,737331,"Genus","Acteon","Montfort, 1810",16,2,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon",NA,"Gastropoda",137618,NA,NA,NA,NA,"Northern Gulf of Mexico"
"50",397560,397560,771796,"Species","Actinastrum hantzschii","Lagerheim, 1882",1,1,"Chlorophyta","Chlorellales","Chlorellaceae","Actinastrum","Actinastrum hantzschii","Trebouxiophyceae",160543,NA,NA,NA,NA,"Northern Gulf of Mexico"
"51",397561,397561,748410,"Genus","Actinauge","Verrill, 1883",1,1,"Cnidaria","Actiniaria","Hormathiidae","Actinauge",NA,"Anthozoa",100750,NA,NA,NA,NA,"Northern Gulf of Mexico"
"52",397565,397565,397561,"Species","Actinauge cristata","Riemann-Zürneck, 1986",30,2,"Cnidaria","Actiniaria","Hormathiidae","Actinauge","Actinauge cristata","Anthozoa",158210,NA,NA,NA,NA,"Northern Gulf of Mexico"
"53",397568,397568,397561,"Species","Actinauge longicornis","(Verrill, 1882)",67,3,"Cnidaria","Actiniaria","Hormathiidae","Actinauge","Actinauge longicornis","Anthozoa",158212,NA,NA,NA,NA,"Northern Gulf of Mexico"
"54",397603,397603,695303,"Species","Actinernus elongatus","(Hertwig, 1882)",1,1,"Cnidaria","Actiniaria","Actinernidae","Actinernus","Actinernus elongatus","Anthozoa",172869,NA,NA,NA,NA,"Northern Gulf of Mexico"
"55",397970,397970,520628,"Genus","Actinocythereis","Puri, 1953",3,1,"Arthropoda","Podocopida","Trachyleberididae","Actinocythereis",NA,"Ostracoda",159931,NA,NA,NA,NA,"Northern Gulf of Mexico"
"56",398077,398077,398029,"Species","Actinoptychus octonarius","(Ehrenberg) Kützing, 1844",1,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus octonarius","Bacillariophyceae",149163,NA,NA,NA,NA,"Northern Gulf of Mexico"
"57",398083,398083,398029,"Species","Actinoptychus senarius","(Ehrenberg) Ehrenberg, 1843",5,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus senarius","Bacillariophyceae",148948,NA,NA,NA,NA,"Northern Gulf of Mexico"
"58",398128,398128,695313,"Species","Actinoscyphia saginata","(Verrill, 1882)",3,1,"Cnidaria","Actiniaria","Actinoscyphiidae","Actinoscyphia","Actinoscyphia saginata","Anthozoa",100836,NA,NA,NA,NA,"Northern Gulf of Mexico"
