"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"1",606,606,654118,"Subspecies","Paraliparis copei copei","Goode & Bean, 1896",293702,2,1,"Chordata","Scorpaeniformes","Liparidae","Paraliparis","Paraliparis copei","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"2",395651,395651,395650,"Species","Acanella arbuscula","(Johnson, 1862)",125371,9,1,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella arbuscula","Anthozoa",NA,NA,NA,NA,"Northern Labrador"
"3",395764,395764,695236,"Species","Acanthephyra pelagica","(Risso, 1816)",107581,159,3,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"4",395941,395941,695247,"Species","Acanthogorgia armata","Verrill, 1878",125348,3,1,"Cnidaria","Alcyonacea","Acanthogorgiidae","Acanthogorgia","Acanthogorgia armata","Anthozoa",NA,NA,NA,NA,"Northern Labrador"
"5",396068,396068,737079,"Genus","Acanthonotozoma","Boeck, 1876",101443,8,1,"Arthropoda","Amphipoda","Acanthonotozomatidae","Acanthonotozoma",NA,"Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"6",396199,396199,596574,"Species","Acanthostepheia malmgreni","(Goës, 1866)",102864,63,2,"Arthropoda","Amphipoda","Oedicerotidae","Acanthostepheia","Acanthostepheia malmgreni","Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"7",396290,396290,405225,"Subclass","Acari","Leach, 1817",292684,5,2,"Arthropoda",NA,NA,NA,NA,"Arachnida",NA,NA,NA,NA,"Northern Labrador"
"8",396326,396326,770837,"Species","Acartia (Acartiura) clausi","Giesbrecht, 1889",149755,1,1,"Arthropoda","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",NA,NA,NA,NA,NA,"Northern Labrador"
"9",396497,396497,699147,"Genus","Aceroides","Sars, 1895",101687,1,1,"Arthropoda","Amphipoda","Oedicerotidae","Aceroides",NA,"Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"10",398391,398391,737450,"Genus","Aega","Leach, 1815",118394,222,1,"Arthropoda","Isopoda","Aegidae","Aega",NA,"Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"11",398412,398412,398391,"Species","Aega psora","(Linnaeus, 1758)",118827,1,1,"Arthropoda","Isopoda","Aegidae","Aega","Aega psora","Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"12",398509,398509,398508,"Species","Aeolidia papillosa","(Linnaeus, 1761)",138709,3,1,"Mollusca","Nudibranchia","Aeolidiidae","Aeolidia","Aeolidia papillosa","Gastropoda",NA,NA,NA,NA,"Northern Labrador"
"13",398647,398647,398644,"Species","Aetideus armatus","(Boeck, 1872)",104275,1,1,"Arthropoda","Calanoida","Aetideidae","Aetideus","Aetideus armatus",NA,NA,NA,NA,NA,"Northern Labrador"
"14",399275,399275,769788,"Species","Alca torda","Linnaeus, 1758",137128,12,2,"Chordata","Charadriiformes","Alcidae","Alca","Alca torda","Aves",TRUE,"LC",NA,NA,"Northern Labrador"
"15",399317,399317,399316,"Genus","Alcyonidium","J.V.F.Lamouroux, 1813",110993,2,1,"Bryozoa","Ctenostomatida","Alcyonidiidae","Alcyonidium",NA,"Gymnolaemata",NA,NA,NA,NA,"Northern Labrador"
"16",399326,399326,399317,"Species","Alcyonidium gelatinosum","(Hudson) J.V.Lamouroux",111600,3,1,"Bryozoa","Ctenostomatida","Alcyonidiidae","Alcyonidium","Alcyonidium gelatinosum","Gymnolaemata",NA,NA,NA,NA,"Northern Labrador"
"17",399451,399451,737659,"Species","Alepocephalus agassizii","Goode & Bean, 1883",126681,3,2,"Chordata","Osmeriformes","Alepocephalidae","Alepocephalus","Alepocephalus agassizii","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"18",399456,399456,737659,"Species","Alepocephalus bairdii","Goode & Bean, 1879",126682,25,3,"Chordata","Osmeriformes","Alepocephalidae","Alepocephalus","Alepocephalus bairdii","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"19",399583,399583,769789,"Species","Alle alle","(Linnaeus, 1758)",137129,2864,3,"Chordata","Charadriiformes","Alcidae","Alle","Alle alle","Aves",TRUE,"LC",NA,NA,"Northern Labrador"
"20",399988,399988,771249,"Species","Altenaeum dawsoni","(Jeffreys, 1864)",152312,1,1,"Mollusca",NA,"Montacutidae","Altenaeum","Altenaeum dawsoni","Bivalvia",NA,NA,NA,NA,"Northern Labrador"
"21",400043,400043,504575,"Genus","Alvania","Risso, 1826",138439,2,1,"Mollusca","Littorinimorpha","Rissoidae","Alvania",NA,"Gastropoda",NA,NA,NA,NA,"Northern Labrador"
"22",400100,400100,400043,"Species","Alvania zetlandica","(Montagu, 1815)",141257,2,1,"Mollusca","Littorinimorpha","Rissoidae","Alvania","Alvania zetlandica","Gastropoda",NA,NA,NA,NA,"Northern Labrador"
