"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","family","genus","species","class","order","redlist","status","gisd","hab","ecoregion"
"1",395377,395377,395372,"Species","Abarenicola pacifica","Healy & Wells, 1959",326192,11,1,"Annelida","Arenicolidae","Abarenicola","Abarenicola pacifica","Polychaeta",NA,NA,NA,NA,NA,"Oregon, Washington, Vancouver Coast and Shelf"
"2",395408,395408,509722,"Genus","Abietinaria","Kirchenpauer, 1884",117225,3,1,"Cnidaria","Sertulariidae","Abietinaria",NA,"Hydrozoa","Leptothecata",NA,NA,NA,NA,"Oregon, Washington, Vancouver Coast and Shelf"
"3",395409,395409,395408,"Species","Abietinaria abietina","(Linnaeus, 1758)",117870,1,1,"Cnidaria","Sertulariidae","Abietinaria","Abietinaria abietina","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Oregon, Washington, Vancouver Coast and Shelf"
"4",395411,395411,395408,"Species","Abietinaria anguina","(Trask, 1857)",285354,1,1,"Cnidaria","Sertulariidae","Abietinaria","Abietinaria anguina","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Oregon, Washington, Vancouver Coast and Shelf"
"5",395413,395413,395408,"Species","Abietinaria filicula","(Ellis & Solander, 1786)",117871,1,1,"Cnidaria","Sertulariidae","Abietinaria","Abietinaria filicula","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Oregon, Washington, Vancouver Coast and Shelf"
"6",395415,395415,395408,"Species","Abietinaria greenei","(Murray, 1860)",285366,4,1,"Cnidaria","Sertulariidae","Abietinaria","Abietinaria greenei","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Oregon, Washington, Vancouver Coast and Shelf"
"7",395419,395419,395408,"Species","Abietinaria traski","(Torrey, 1902)",285380,3,1,"Cnidaria","Sertulariidae","Abietinaria","Abietinaria traski","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Oregon, Washington, Vancouver Coast and Shelf"
"8",395422,395422,395408,"Species","Abietinaria variabilis","(Clark, 1877)",285382,3,1,"Cnidaria","Sertulariidae","Abietinaria","Abietinaria variabilis","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Oregon, Washington, Vancouver Coast and Shelf"
"9",395935,395935,776106,"Species","Acanthogobius flavimanus","(Temminck & Schlegel, 1845)",279475,3,3,"Chordata","Gobiidae","Acanthogobius","Acanthogobius flavimanus","Actinopteri","Perciformes",TRUE,"LC",TRUE,NA,"Oregon, Washington, Vancouver Coast and Shelf"
"10",395971,395971,768313,"Genus","Acanthoica","Lohmann, 1903",115083,7,1,"Haptophyta","Rhabdosphaeraceae","Acanthoica",NA,"Prymnesiophyceae","Syracosphaerales",NA,NA,NA,NA,"Oregon, Washington, Vancouver Coast and Shelf"
