"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",502,502,812571,"Species","Metula (Metula) optima","Olsson & Bayer, 1972",491122,1,1,"Mollusca","Neogastropoda","Buccinidae","Metula","Metula (Metula) optima","Gastropoda",NA,NA,NA,NA,"Panama Bight"
"2",625,625,523185,"Subspecies","Tylosurus acus melanotus","(Bleeker, 1850)",293756,6,1,"Chordata","Beloniformes","Belonidae","Tylosurus","Tylosurus acus","Actinopteri",NA,NA,NA,NA,"Panama Bight"
"3",395568,395568,695224,"Species","Abyla haeckeli","Lens & van Riemsdijk, 1908",196556,1,1,"Cnidaria","Siphonophorae","Abylidae","Abyla","Abyla haeckeli","Hydrozoa",NA,NA,NA,NA,"Panama Bight"
"4",395731,395731,395729,"Species","Acanthemblemaria balanorum","Brock, 1940",279445,2,1,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria balanorum","Actinopteri",TRUE,"LC",NA,NA,"Panama Bight"
"5",395744,395744,395729,"Species","Acanthemblemaria stephensi","Rosenblatt & McCosker, 1988",279461,3,2,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria stephensi","Actinopteri",TRUE,"VU",NA,NA,"Panama Bight"
"6",395787,395787,395780,"Species","Acanthistius pictus","(Tschudi, 1846)",278727,1,1,"Chordata","Perciformes","Serranidae","Acanthistius","Acanthistius pictus","Actinopteri",TRUE,"LC",NA,NA,"Panama Bight"
"7",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,2,1,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,NA,"Panama Bight"
"8",396073,396073,771677,"Species","Acanthonus armatus","Günther, 1878",158998,1,1,"Chordata","Ophidiiformes","Ophidiidae","Acanthonus","Acanthonus armatus","Actinopteri",NA,NA,NA,NA,"Panama Bight"
"9",396587,396587,396583,"Species","Acharax johnsoni","(Dall, 1891)",293239,4,3,"Mollusca","Solemyoida","Solemyidae","Acharax","Acharax johnsoni","Bivalvia",NA,NA,NA,NA,"Panama Bight"
"10",396867,396867,779142,"Family","Acmaeidae","Forbes, 1850",114,16,1,"Mollusca",NA,"Acmaeidae",NA,NA,"Gastropoda",NA,NA,NA,NA,"Panama Bight"
"11",396957,396957,695290,"Species","Acrocalanus andersoni","Bowman, 1958",104644,1,1,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus andersoni",NA,NA,NA,NA,NA,"Panama Bight"
"12",396961,396961,695290,"Species","Acrocalanus longicornis","Giesbrecht, 1888",104646,2,1,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus longicornis",NA,NA,NA,NA,NA,"Panama Bight"
"13",398647,398647,398644,"Species","Aetideus armatus","(Boeck, 1872)",104275,1,1,"Arthropoda","Calanoida","Aetideidae","Aetideus","Aetideus armatus",NA,NA,NA,NA,NA,"Panama Bight"
"14",398748,398748,398744,"Species","Agalma okeni","Eschscholtz, 1825",135485,2,1,"Cnidaria","Siphonophorae","Agalmatidae","Agalma","Agalma okeni","Hydrozoa",NA,NA,NA,NA,"Panama Bight"
"15",399167,399167,767235,"Genus","Alaba","H. Adams & A. Adams, 1853",138133,2,1,"Mollusca","Caenogastropoda incertae sedis","Litiopidae","Alaba",NA,"Gastropoda",NA,NA,NA,NA,"Panama Bight"
"16",399565,399565,774445,"Species","Alitta succinea","(Leuckart, 1847)",234850,1,1,"Annelida","Phyllodocida","Nereididae","Alitta","Alitta succinea","Polychaeta",NA,NA,TRUE,NA,"Panama Bight"
"17",399779,399779,767767,"Family","Alpheidae","Rafinesque, 1815",106776,10,1,"Arthropoda","Decapoda","Alpheidae",NA,NA,"Malacostraca",NA,NA,NA,NA,"Panama Bight"
"18",399797,399797,737741,"Species","Alphestes multiguttatus","(Günther, 1867)",279569,35,4,"Chordata","Perciformes","Serranidae","Alphestes","Alphestes multiguttatus","Actinopteri",TRUE,"LC",NA,NA,"Panama Bight"
"19",399822,399822,399798,"Species","Alpheus bouvieri","A. Milne-Edwards, 1878",240846,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus","Alpheus bouvieri","Malacostraca",NA,NA,NA,NA,"Panama Bight"
"20",400043,400043,504575,"Genus","Alvania","Risso, 1826",138439,2,1,"Mollusca","Littorinimorpha","Rissoidae","Alvania",NA,"Gastropoda",NA,NA,NA,NA,"Panama Bight"
"21",400148,400148,745382,"Genus","Amaea","H. Adams & A. Adams, 1853",390683,2,1,"Mollusca","Caenogastropoda incertae sedis","Epitoniidae","Amaea",NA,"Gastropoda",NA,NA,NA,NA,"Panama Bight"
"22",400956,400956,776148,"Species","Amphiarius rugispinis","(Valenciennes, 1840)",279587,2,2,"Chordata","Siluriformes","Ariidae","Amphiarius","Amphiarius rugispinis","Actinopteri",NA,NA,NA,NA,"Panama Bight"
"23",401010,401010,774841,"Species","Amphichondrius granulatus","(Lütken & Mortensen, 1899)",246610,3,2,"Echinodermata","Ophiurida","Amphiuridae","Amphichondrius","Amphichondrius granulatus","Ophiuroidea",NA,NA,NA,NA,"Panama Bight"
"24",401320,401320,401717,"Genus","Amphipholis","Ljungman, 1866",123612,2,1,"Echinodermata","Ophiurida","Amphiuridae","Amphipholis",NA,"Ophiuroidea",NA,NA,NA,NA,"Panama Bight"
"25",401331,401331,401320,"Species","Amphipholis squamata","(Delle Chiaje, 1828)",125064,4,1,"Echinodermata","Ophiurida","Amphiuridae","Amphipholis","Amphipholis squamata","Ophiuroidea",NA,NA,NA,NA,"Panama Bight"
"26",401717,401717,772939,"Family","Amphiuridae","Ljungman, 1867",123206,1,1,"Echinodermata","Ophiurida","Amphiuridae",NA,NA,"Ophiuroidea",NA,NA,NA,NA,"Panama Bight"
"27",402573,402573,695543,"Species","Anchoa argentivittata","(Regan, 1904)",275507,13,3,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa argentivittata","Actinopteri",TRUE,"LC",NA,NA,"Panama Bight"
"28",402575,402575,695543,"Species","Anchoa chamensis","Hildebrand, 1943",275509,8,4,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa chamensis","Actinopteri",TRUE,"VU",NA,NA,"Panama Bight"
