"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"1",523,523,752032,"Species","Molgula pigafettae","Monniot C. & Monniot F., 1983",250907,1,1,"Chordata","Stolidobranchia","Molgulidae","Molgula","Molgula pigafettae","Ascidiacea",NA,NA,NA,"Patagonian Shelf"
"2",395387,395387,395384,"Species","Abatus cavernosus","(Philippi, 1845)",160762,9,3,"Echinodermata","Spatangoida","Schizasteridae","Abatus","Abatus cavernosus","Echinoidea",NA,NA,NA,"Patagonian Shelf"
"3",395781,395781,395780,"Species","Acanthistius brasilianus","(Cuvier, 1828)",278720,11,4,"Chordata","Perciformes","Serranidae","Acanthistius","Acanthistius brasilianus","Actinopteri",TRUE,"DD",NA,"Patagonian Shelf"
"4",396505,396505,768152,"Species","Acervulina inhaerens","Schulze, 1854",112827,1,1,"Foraminifera","Rotaliida","Acervulinidae","Acervulina","Acervulina inhaerens","Globothalamea",NA,NA,NA,"Patagonian Shelf"
"5",396884,396884,396883,"Species","Acodontaster capitatus","(Koehler, 1912)",172766,1,1,"Echinodermata","Valvatida","Odontasteridae","Acodontaster","Acodontaster capitatus","Asteroidea",NA,NA,NA,"Patagonian Shelf"
"6",396885,396885,396883,"Species","Acodontaster conspicuus","(Koehler, 1920)",172767,1,1,"Echinodermata","Valvatida","Odontasteridae","Acodontaster","Acodontaster conspicuus","Asteroidea",NA,NA,NA,"Patagonian Shelf"
"7",396886,396886,396883,"Species","Acodontaster elongatus","(Sladen, 1889)",172769,2,2,"Echinodermata","Valvatida","Odontasteridae","Acodontaster","Acodontaster elongatus","Asteroidea",NA,NA,NA,"Patagonian Shelf"
"8",396917,396917,737211,"Species","Acontiostoma marionis","Stebbing, 1888",237692,1,1,"Arthropoda","Amphipoda","Lysianassidae","Acontiostoma","Acontiostoma marionis","Malacostraca",NA,NA,NA,"Patagonian Shelf"
"9",397437,397437,397433,"Species","Acryptolaria crassicaulis","(Allman, 1888)",117680,1,1,"Cnidaria","Leptothecata","Lafoeidae","Acryptolaria","Acryptolaria crassicaulis","Hydrozoa",NA,NA,NA,"Patagonian Shelf"
"10",397533,397533,737331,"Genus","Acteon","Montfort, 1810",137618,1,1,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon",NA,"Gastropoda",NA,NA,NA,"Patagonian Shelf"
