"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","family","genus","species","class","order","redlist","status","gisd","hab","ecoregion"
"1",395377,395377,395372,"Species","Abarenicola pacifica","Healy & Wells, 1959",326192,1,1,"Annelida","Arenicolidae","Abarenicola","Abarenicola pacifica","Polychaeta",NA,NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"2",395408,395408,509722,"Genus","Abietinaria","Kirchenpauer, 1884",117225,6,1,"Cnidaria","Sertulariidae","Abietinaria",NA,"Hydrozoa","Leptothecata",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"3",395409,395409,395408,"Species","Abietinaria abietina","(Linnaeus, 1758)",117870,1,1,"Cnidaria","Sertulariidae","Abietinaria","Abietinaria abietina","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"4",395414,395414,395408,"Species","Abietinaria gigantea","(Clark, 1877)",285364,4,1,"Cnidaria","Sertulariidae","Abietinaria","Abietinaria gigantea","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"5",395418,395418,395408,"Species","Abietinaria rigida","Fraser, 1911",285377,1,1,"Cnidaria","Sertulariidae","Abietinaria","Abietinaria rigida","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"6",395419,395419,395408,"Species","Abietinaria traski","(Torrey, 1902)",285380,1,1,"Cnidaria","Sertulariidae","Abietinaria","Abietinaria traski","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"7",395422,395422,395408,"Species","Abietinaria variabilis","(Clark, 1877)",285382,1,1,"Cnidaria","Sertulariidae","Abietinaria","Abietinaria variabilis","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"8",396290,396290,405225,"Subclass","Acari","Leach, 1817",292684,3,3,"Arthropoda",NA,NA,NA,"Arachnida",NA,NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"9",396326,396326,770837,"Species","Acartia (Acartiura) clausi","Giesbrecht, 1889",149755,23,2,"Arthropoda","Acartiidae","Acartia","Acartia (Acartiura) clausi",NA,"Calanoida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"10",396819,396819,396804,"Species","Acipenser transmontanus","Richardson, 1836",238345,75309,5,"Chordata","Acipenseridae","Acipenser","Acipenser transmontanus","Actinopteri","Acipenseriformes",TRUE,"LC",NA,NA,"Puget Trough_Georgia Basin"
"11",397054,397054,596981,"Species","Acrocirrus heterochaetus","Annenkova, 1934",326213,2,2,"Annelida","Acrocirridae","Acrocirrus","Acrocirrus heterochaetus","Polychaeta","Terebellida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"12",397355,397355,597075,"Species","Acrosiphonia arcta","(Dillwyn) Gain, 1912",144407,1,1,"Chlorophyta","Ulotrichaceae","Acrosiphonia","Acrosiphonia arcta","Ulvophyceae","Ulotrichales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
