"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","ecoregion"
"1",625,625,523185,"Subspecies","Tylosurus acus melanotus","(Bleeker, 1850)",293756,3,1,"Chordata","Beloniformes","Belonidae","Tylosurus","Tylosurus acus","Actinopteri",NA,NA,"Revillagigedos"
"2",395486,395486,438892,"Genus","Abraliopsis","Joubin, 1896",137931,1,1,"Mollusca","Oegopsida","Enoploteuthidae","Abraliopsis",NA,"Cephalopoda",NA,NA,"Revillagigedos"
"3",395528,395528,695219,"Species","Abudefduf declivifrons","(Gill, 1862)",273698,1,1,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf declivifrons","Actinopteri",TRUE,"LC","Revillagigedos"
"4",395738,395738,395729,"Species","Acanthemblemaria mangognatha","Hastings & Robertson, 1999",279456,11,3,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria mangognatha","Actinopteri",TRUE,"VU","Revillagigedos"
"5",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,10,2,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC","Revillagigedos"
"6",399294,399294,769247,"Species","Alciopina parasitica","Claparède & Panceri, 1867",129750,1,1,"Annelida","Phyllodocida","Alciopidae","Alciopina","Alciopina parasitica","Polychaeta",NA,NA,"Revillagigedos"
"7",403463,403463,695596,"Species","Antennarius commerson","(Lacepède, 1798)",217852,1,1,"Chordata","Lophiiformes","Antennariidae","Antennarius","Antennarius commerson","Actinopteri",NA,NA,"Revillagigedos"
"8",404677,404677,776172,"Species","Apodichthys flavidus","Girard, 1854",279664,1,1,"Chordata","Perciformes","Pholidae","Apodichthys","Apodichthys flavidus","Actinopteri",NA,NA,"Revillagigedos"
"9",404781,404781,695650,"Species","Apogon guadalupensis","(Osburn & Nichols, 1916)",273016,9,1,"Chordata","Perciformes","Apogonidae","Apogon","Apogon guadalupensis","Actinopteri",TRUE,"LC","Revillagigedos"
"10",405911,405911,405907,"Species","Argonauta hians","Lightfoot, 1786",215276,1,1,"Mollusca","Octopoda","Argonautidae","Argonauta","Argonauta hians","Cephalopoda",TRUE,"LC","Revillagigedos"
"11",405925,405925,405924,"Subspecies","Argopecten irradians concentricus","(Say, 1822)",394266,1,1,"Mollusca","Pectinoida","Pectinidae","Argopecten","Argopecten irradians","Bivalvia",NA,NA,"Revillagigedos"
"12",407902,407902,739246,"Species","Atherinella eriarcha","Jordan & Gilbert, 1882",279800,23,2,"Chordata","Atheriniformes","Atherinopsidae","Atherinella","Atherinella eriarcha","Actinopteri",TRUE,"LC","Revillagigedos"
"13",408928,408928,776222,"Species","Axoclinus multicinctus","Allen & Robertson, 1992",279848,9,3,"Chordata","Perciformes","Tripterygiidae","Axoclinus","Axoclinus multicinctus","Actinopteri",TRUE,"VU","Revillagigedos"
"14",409238,409238,739484,"Species","Balaenoptera musculus","(Linnaeus, 1758)",137090,18,4,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus","Mammalia",TRUE,"EN","Revillagigedos"
"15",409240,409240,739484,"Species","Balaenoptera physalus","(Linnaeus, 1758)",137091,1,1,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus","Mammalia",TRUE,"EN","Revillagigedos"
"16",413295,413295,776269,"Species","Brosmophycis marginata","(Ayres, 1854)",280000,1,1,"Chordata","Ophidiiformes","Bythitidae","Brosmophycis","Brosmophycis marginata","Actinopteri",NA,NA,"Revillagigedos"
"17",415568,415568,415566,"Species","Calotomus carolinus","(Valenciennes, 1840)",219076,5,1,"Chordata","Perciformes","Scaridae","Calotomus","Calotomus carolinus","Actinopteri",TRUE,"LC","Revillagigedos"
"18",416282,416282,416280,"Species","Cantherhines dumerilii","(Hollard, 1854)",276248,16,2,"Chordata","Tetraodontiformes","Monacanthidae","Cantherhines","Cantherhines dumerilii","Actinopteri",NA,NA,"Revillagigedos"
"19",416659,416659,696227,"Species","Caranx lugubris","Poey, 1860",126805,25,3,"Chordata","Perciformes","Carangidae","Caranx","Caranx lugubris","Actinopteri",NA,NA,"Revillagigedos"
"20",416695,416695,740892,"Species","Carapus dubius","(Putnam, 1874)",272778,4,1,"Chordata","Ophidiiformes","Carapidae","Carapus","Carapus dubius","Actinopteri",TRUE,"DD","Revillagigedos"
"21",416732,416732,696240,"Species","Carcharhinus albimarginatus","(Rüppell, 1837)",217352,12,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus albimarginatus","Elasmobranchii",TRUE,"NT","Revillagigedos"
"22",416738,416738,696240,"Species","Carcharhinus brachyurus","(Günther, 1870)",217341,2,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus brachyurus","Elasmobranchii",TRUE,"NT","Revillagigedos"
"23",416747,416747,696240,"Species","Carcharhinus galapagensis","(Snodgrass & Heller, 1905)",105790,17,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus galapagensis","Elasmobranchii",TRUE,"NT","Revillagigedos"
"24",416756,416756,696240,"Species","Carcharhinus longimanus","(Poey, 1861)",105794,1,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus longimanus","Elasmobranchii",TRUE,"VU","Revillagigedos"
"25",416762,416762,696240,"Species","Carcharhinus obscurus","(Lesueur, 1818)",105796,1,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus obscurus","Elasmobranchii",TRUE,"VU","Revillagigedos"
"26",417267,417267,741049,"Genus","Caryophyllia","Lamarck, 1801",135085,2,2,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia",NA,"Anthozoa",NA,NA,"Revillagigedos"
"27",418414,418414,418406,"Species","Cephalopholis cruentata","(Lacepède, 1802)",279146,5,1,"Chordata","Perciformes","Serranidae","Cephalopholis","Cephalopholis cruentata","Actinopteri",TRUE,"LC","Revillagigedos"
"28",418430,418430,418406,"Species","Cephalopholis panamensis","(Steindachner, 1877)",279152,7,1,"Chordata","Perciformes","Serranidae","Cephalopholis","Cephalopholis panamensis","Actinopteri",TRUE,"LC","Revillagigedos"
"29",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,2,2,"Mollusca",NA,NA,NA,NA,"Cephalopoda",NA,NA,"Revillagigedos"
