"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","redlist","status","species","hab","gisd","ecoregion"
"1",395447,395447,700476,"Genus","Abra","Lamarck, 1818",138474,1,1,"Mollusca","Cardiida","Semelidae","Abra","Bivalvia",NA,NA,NA,NA,NA,"Rio Grande"
"2",395781,395781,395780,"Species","Acanthistius brasilianus","(Cuvier, 1828)",278720,1,1,"Chordata","Perciformes","Serranidae","Acanthistius","Actinopteri",TRUE,"DD","Acanthistius brasilianus",NA,NA,"Rio Grande"
"3",396961,396961,695290,"Species","Acrocalanus longicornis","Giesbrecht, 1888",104646,1,1,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus",NA,NA,NA,"Acrocalanus longicornis",NA,NA,"Rio Grande"
"4",397019,397019,396983,"Species","Acrochaetium microscopicum","(Nägeli ex Kützing) Nägeli, 1858",144368,5,1,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium","Florideophyceae",NA,NA,"Acrochaetium microscopicum",NA,NA,"Rio Grande"
"5",397433,397433,459531,"Genus","Acryptolaria","Norman, 1875",117128,1,1,"Cnidaria","Leptothecata","Lafoeidae","Acryptolaria","Hydrozoa",NA,NA,NA,NA,NA,"Rio Grande"
"6",397533,397533,737331,"Genus","Acteon","Montfort, 1810",137618,7,1,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon","Gastropoda",NA,NA,NA,NA,NA,"Rio Grande"
"7",398748,398748,398744,"Species","Agalma okeni","Eschscholtz, 1825",135485,1,1,"Cnidaria","Siphonophorae","Agalmatidae","Agalma","Hydrozoa",NA,NA,"Agalma okeni",NA,NA,"Rio Grande"
"8",398929,398929,398914,"Species","Aglaothamnion uruguayense","(W.R.Taylor) N.E.Aponte, D.L.Ballantine & J.N.Norris, 1994",373042,1,1,"Rhodophyta","Ceramiales","Callithamniaceae","Aglaothamnion","Florideophyceae",NA,NA,"Aglaothamnion uruguayense",NA,NA,"Rio Grande"
"9",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",117851,3,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Hydrozoa",NA,NA,"Aglaura hemistoma",NA,NA,"Rio Grande"
"10",399535,399535,737676,"Species","Alicia uruguayensis","Carlgren, 1927",291745,3,1,"Cnidaria","Actiniaria","Aliciidae","Alicia","Anthozoa",NA,NA,"Alicia uruguayensis",NA,NA,"Rio Grande"
"11",400043,400043,504575,"Genus","Alvania","Risso, 1826",138439,3,1,"Mollusca","Littorinimorpha","Rissoidae","Alvania","Gastropoda",NA,NA,NA,NA,NA,"Rio Grande"
"12",400235,400235,737817,"Species","Amallothrix paravalida","(Brodsky, 1950)",104772,3,1,"Arthropoda","Calanoida","Scolecitrichidae","Amallothrix",NA,NA,NA,"Amallothrix paravalida",NA,NA,"Rio Grande"
"13",401277,401277,695475,"Species","Amphioplus albidus","(Ljungman, 1867)",242749,2,2,"Echinodermata","Ophiurida","Amphiuridae","Amphioplus","Ophiuroidea",NA,NA,"Amphioplus albidus",NA,NA,"Rio Grande"
"14",401686,401686,401633,"Species","Amphiura flexuosa","Ljungman, 1867",242936,4,2,"Echinodermata","Ophiurida","Amphiuridae","Amphiura","Ophiuroidea",NA,NA,"Amphiura flexuosa",NA,NA,"Rio Grande"
"15",402115,402115,770532,"Genus","Anabaena","Bory de Saint-Vincent ex Bornet & Flahault, 1886",146585,1,1,"Cyanobacteria","Nostocales","Nostocaceae","Anabaena","Cyanophyceae",NA,NA,NA,TRUE,NA,"Rio Grande"
"16",402912,402912,738284,"Genus","Anguilla","Schrank, 1798",125620,10,1,"Chordata","Anguilliformes","Anguillidae","Anguilla","Actinopteri",NA,NA,NA,NA,NA,"Rio Grande"
"17",403611,403611,601447,"Species","Anthias menezesi","Anderson & Heemstra, 1980",273827,6,3,"Chordata","Perciformes","Serranidae","Anthias","Actinopteri",NA,NA,"Anthias menezesi",NA,NA,"Rio Grande"
"18",404418,404418,755551,"Genus","Apionsoma","Sluiter, 1902",136027,3,1,"Sipuncula","Phascolosomatida","Phascolosomatidae","Apionsoma","Phascolosomatidea",NA,NA,NA,NA,NA,"Rio Grande"
"19",405606,405606,405605,"Species","Arcopsis adamsi","(Dall, 1886)",420724,1,1,"Mollusca","Arcoida","Noetiidae","Arcopsis","Bivalvia",NA,NA,"Arcopsis adamsi",NA,NA,"Rio Grande"
"20",405744,405744,771734,"Species","Ardea alba","Linnaeus, 1758",159381,1,1,"Chordata","Ciconiiformes","Ardeidae","Ardea","Aves",TRUE,"LC","Ardea alba",NA,NA,"Rio Grande"
"21",405959,405959,405954,"Species","Argyropelecus gigas","Norman, 1930",127308,2,1,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Actinopteri",NA,NA,"Argyropelecus gigas",NA,NA,"Rio Grande"
