"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","gisd","redlist","status","ecoregion"
"1",395387,395387,395384,"Species","Abatus cavernosus","(Philippi, 1845)",160762,1,1,"Echinodermata","Spatangoida","Schizasteridae","Abatus","Abatus cavernosus","Echinoidea",NA,NA,NA,"Rio de la Plata"
"2",397627,397627,737334,"Species","Actinia bermudensis","(McMurrich, 1889)",283273,2,2,"Cnidaria","Actiniaria","Actiniidae","Actinia","Actinia bermudensis","Anthozoa",NA,NA,NA,"Rio de la Plata"
"3",398578,398578,398577,"Species","Aeropsis rostrata","(Thomson, 1877)",124367,1,1,"Echinodermata","Spatangoida","Aeropsidae","Aeropsis","Aeropsis rostrata","Echinoidea",NA,NA,NA,"Rio de la Plata"
"4",398886,398886,398885,"Species","Aglaophenia acacia","Allman, 1883",117274,1,1,"Cnidaria","Leptothecata","Aglaopheniidae","Aglaophenia","Aglaophenia acacia","Hydrozoa",NA,NA,NA,"Rio de la Plata"
"5",398929,398929,398914,"Species","Aglaothamnion uruguayense","(W.R.Taylor) N.E.Aponte, D.L.Ballantine & J.N.Norris, 1994",373042,1,1,"Rhodophyta","Ceramiales","Callithamniaceae","Aglaothamnion","Aglaothamnion uruguayense","Florideophyceae",NA,NA,NA,"Rio de la Plata"
"6",399044,399044,399042,"Species","Ahnfeltia plicata","(Hudson) E.M.Fries, 1836",144422,1,1,"Rhodophyta","Ahnfeltiales","Ahnfeltiaceae","Ahnfeltia","Ahnfeltia plicata","Florideophyceae",NA,NA,NA,"Rio de la Plata"
"7",399333,399333,399317,"Species","Alcyonidium polyoum","(Hassall, 1841)",153717,1,1,"Bryozoa","Ctenostomatida","Alcyonidiidae","Alcyonidium","Alcyonidium polyoum","Gymnolaemata",NA,NA,NA,"Rio de la Plata"
"8",399565,399565,774445,"Species","Alitta succinea","(Leuckart, 1847)",234850,1,1,"Annelida","Phyllodocida","Nereididae","Alitta","Alitta succinea","Polychaeta",TRUE,NA,NA,"Rio de la Plata"
"9",400279,400279,767424,"Species","Amaryllis macrophthalma","Haswell, 1879",214721,1,1,"Arthropoda","Amphipoda","Amaryllididae","Amaryllis","Amaryllis macrophthalma","Malacostraca",NA,NA,NA,"Rio de la Plata"
"10",401223,401223,401208,"Species","Amphiodia pulchella","(Lyman, 1869)",242674,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiodia","Amphiodia pulchella","Ophiuroidea",NA,NA,NA,"Rio de la Plata"
"11",401277,401277,695475,"Species","Amphioplus albidus","(Ljungman, 1867)",242749,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphioplus","Amphioplus albidus","Ophiuroidea",NA,NA,NA,"Rio de la Plata"
"12",401301,401301,695475,"Species","Amphioplus lucyae","Tommasi, 1971",242780,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphioplus","Amphioplus lucyae","Ophiuroidea",NA,NA,NA,"Rio de la Plata"
"13",401331,401331,401320,"Species","Amphipholis squamata","(Delle Chiaje, 1828)",125064,2,1,"Echinodermata","Ophiurida","Amphiuridae","Amphipholis","Amphipholis squamata","Ophiuroidea",NA,NA,NA,"Rio de la Plata"
"14",401669,401669,401633,"Species","Amphiura complanata","Ljungman, 1867",242911,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura","Amphiura complanata","Ophiuroidea",NA,NA,NA,"Rio de la Plata"
