"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","hab","ecoregion"
"1",395573,395573,1014202,"Genus","Abylopsis","Chun, 1888",135352,4,1,"Cnidaria","Siphonophorae","Abylidae","Abylopsis","Hydrozoa",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"2",395746,395746,695236,"Species","Acanthephyra acanthitelsonis","Spence Bate, 1888",240809,5,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Malacostraca","Acanthephyra acanthitelsonis",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"3",395747,395747,695236,"Species","Acanthephyra acutifrons","Spence Bate, 1888",158347,1,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Malacostraca","Acanthephyra acutifrons",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"4",395761,395761,695236,"Species","Acanthephyra kingsleyi","Spence Bate, 1888",240810,4,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Malacostraca","Acanthephyra kingsleyi",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"5",395765,395765,695236,"Species","Acanthephyra prionota","Foxton, 1971",210437,3,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Malacostraca","Acanthephyra prionota",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"6",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,10,1,"Chordata","Perciformes","Scombridae","Acanthocybium","Actinopteri","Acanthocybium solandri",TRUE,"LC",NA,"Sao Pedro and Sao Paulo Islands"
"7",397627,397627,737334,"Species","Actinia bermudensis","(McMurrich, 1889)",283273,1,1,"Cnidaria","Actiniaria","Actiniidae","Actinia","Anthozoa","Actinia bermudensis",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"8",398748,398748,398744,"Species","Agalma okeni","Eschscholtz, 1825",135485,2,1,"Cnidaria","Siphonophorae","Agalmatidae","Agalma","Hydrozoa","Agalma okeni",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"9",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",117851,5,2,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Hydrozoa","Aglaura hemistoma",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"10",399798,399798,399779,"Genus","Alpheus","Fabricius, 1798",106978,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus","Malacostraca",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"11",401617,401617,738092,"Species","Amphitretus pelagicus","Hoyle, 1885",342272,1,1,"Mollusca","Octopoda","Amphitretidae","Amphitretus","Cephalopoda","Amphitretus pelagicus",TRUE,"LC",NA,"Sao Pedro and Sao Paulo Islands"
"12",402024,402024,1014255,"Genus","Ampithoe","Leach, 1814",101459,3,1,"Arthropoda","Amphipoda","Ampithoidae","Ampithoe","Malacostraca",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"13",403101,403101,403100,"Species","Annatiara affinis","(Hartlaub, 1914)",117783,1,1,"Cnidaria","Anthoathecata","Pandeidae","Annatiara","Hydrozoa","Annatiara affinis",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"14",403626,403626,601447,"Species","Anthias salmopunctatus","Lubbock & Edwards, 1981",273829,3,2,"Chordata","Perciformes","Serranidae","Anthias","Actinopteri","Anthias salmopunctatus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"15",404955,404955,404954,"Species","Apolemia uvaria","(Lesueur, 1815)",135497,1,1,"Cnidaria","Siphonophorae","Apolemiidae","Apolemia","Hydrozoa","Apolemia uvaria",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"16",405265,405265,768659,"Species","Arachnomysis megalops","Zimmer, 1914",226687,1,1,"Arthropoda","Mysida","Mysidae","Arachnomysis","Malacostraca","Arachnomysis megalops",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"17",405962,405962,405954,"Species","Argyropelecus hemigymnus","Cocco, 1829",127309,2,2,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Actinopteri","Argyropelecus hemigymnus",TRUE,"LC",NA,"Sao Pedro and Sao Paulo Islands"
"18",405971,405971,405954,"Species","Argyropelecus sladeni","Regan, 1908",158837,2,2,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Actinopteri","Argyropelecus sladeni",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"19",406204,406204,738888,"Species","Aristostomias xenostoma","Regan & Trewavas, 1930",275008,1,1,"Chordata","Stomiiformes","Stomiidae","Aristostomias","Actinopteri","Aristostomias xenostoma",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"20",407119,407119,771841,"Genus","Asterolampra","Ehrenberg, 1844",248069,1,1,"Ochrophyta","Asterolamprales","Asterolampraceae","Asterolampra","Bacillariophyceae",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"21",407388,407388,695777,"Species","Astrangia solitaria","(Le Sueur, 1818)",287125,1,1,"Cnidaria","Scleractinia","Rhizangiidae","Astrangia","Anthozoa","Astrangia solitaria",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"22",407974,407974,739256,"Genus","Atlanta","Lesueur, 1817",137687,4,1,"Mollusca","Littorinimorpha","Atlantidae","Atlanta","Gastropoda",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"23",410265,410265,410258,"Species","Bathyarca inaequisculpta","(E. A. Smith, 1885)",138798,2,2,"Mollusca","Arcoida","Arcidae","Bathyarca","Bivalvia","Bathyarca inaequisculpta",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"24",411021,411021,768185,"Species","Beella digitata","(Brady, 1879)",113433,26,4,"Foraminifera","Globigerinida","Globigerinidae","Beella","Globothalamea","Beella digitata",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"25",411249,411249,411247,"Species","Bentharca asperula","(Dall, 1881)",138801,4,2,"Mollusca","Arcoida","Arcidae","Bentharca","Bivalvia","Bentharca asperula",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"26",411261,411261,411258,"Species","Bentheogennema intermedia","(Spence Bate, 1888)",107086,2,1,"Arthropoda","Decapoda","Benthesicymidae","Bentheogennema","Malacostraca","Bentheogennema intermedia",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"27",411394,411394,695978,"Species","Benthosema suborbitale","(Gilbert, 1913)",126581,4,2,"Chordata","Myctophiformes","Myctophidae","Benthosema","Actinopteri","Benthosema suborbitale",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"28",412012,412012,695996,"Species","Bodianus insularis","Gomon & Lubbock, 1980",273532,1,1,"Chordata","Perciformes","Labridae","Bodianus","Actinopteri","Bodianus insularis",TRUE,"LC",NA,"Sao Pedro and Sao Paulo Islands"
"29",412141,412141,696002,"Species","Bolinichthys distofax","Johnson, 1975",272649,2,2,"Chordata","Myctophiformes","Myctophidae","Bolinichthys","Actinopteri","Bolinichthys distofax",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"30",412757,412757,412751,"Species","Brachiella thynni","Cuvier, 1830",135839,1,1,"Arthropoda","Siphonostomatoida","Lernaeopodidae","Brachiella",NA,"Brachiella thynni",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"31",413149,413149,769993,"Species","Brevinucula verrilli","(Dall, 1886)",140580,1,1,"Mollusca","Nuculida","Nuculidae","Brevinucula","Bivalvia","Brevinucula verrilli",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"32",413273,413273,1011682,"Genus","Brookula","Iredale, 1912",196946,2,1,"Mollusca",NA,"[unassigned] Seguenzioidea","Brookula","Gastropoda",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"33",413450,413450,770257,"Genus","Bryopsis","J.V.Lamouroux, 1809",143812,1,1,"Chlorophyta","Bryopsidales","Bryopsidaceae","Bryopsis","Ulvophyceae",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"34",414345,414345,768660,"Species","Caesaromysis hispida","Ortmann, 1893",119978,1,1,"Arthropoda","Mysida","Mysidae","Caesaromysis","Malacostraca","Caesaromysis hispida",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"35",414543,414543,774525,"Species","Calcidiscus leptoporus","(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978",235923,6,2,"Haptophyta","Coccolithales","Calcidiscaceae","Calcidiscus","Prymnesiophyceae","Calcidiscus leptoporus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"36",415421,415421,608894,"Species","Calocalanus pavoninus","Farran, 1936",104670,2,1,"Arthropoda","Calanoida","Paracalanidae","Calocalanus",NA,"Calocalanus pavoninus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"37",415579,415579,793894,"Genus","Calozodion","Gardiner, 1973",136195,2,1,"Arthropoda","Tanaidacea","Metapseudidae","Calozodion","Malacostraca",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"38",415699,415699,768310,"Genus","Calyptrosphaera","Lohmann, 1902",235828,3,1,"Haptophyta","Coccosphaerales","Calyptrosphaeraceae","Calyptrosphaera","Prymnesiophyceae",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"39",415840,415840,609164,"Species","Campylaspis bicarinata","Jones, 1974",182384,4,1,"Arthropoda","Cumacea","Nannastacidae","Campylaspis","Malacostraca","Campylaspis bicarinata",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"40",416183,416183,609426,"Species","Candacia pachydactyla","(Dana, 1849)",104483,2,1,"Arthropoda","Calanoida","Candaciidae","Candacia",NA,"Candacia pachydactyla",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"41",416188,416188,609426,"Species","Candacia simplex","(Giesbrecht, 1889)",220914,1,1,"Arthropoda","Calanoida","Candaciidae","Candacia",NA,"Candacia simplex",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"42",416659,416659,696227,"Species","Caranx lugubris","Poey, 1860",126805,5,1,"Chordata","Perciformes","Carangidae","Caranx","Actinopteri","Caranx lugubris",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"43",417277,417277,417267,"Species","Caryophyllia ambrosia","Alcock, 1898",135135,1,1,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia","Anthozoa","Caryophyllia ambrosia",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
