"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"1",606,606,654118,"Subspecies","Paraliparis copei copei","Goode & Bean, 1896",293702,22,4,"Chordata","Scorpaeniformes","Liparidae","Paraliparis","Paraliparis copei","Actinopteri",NA,NA,NA,NA,"Scotian Shelf"
"2",395439,395439,395436,"Species","Abludomelita obtusata","(Montagu, 1813)",102788,3,2,"Arthropoda","Amphipoda","Melitidae","Abludomelita","Abludomelita obtusata","Malacostraca",NA,NA,NA,NA,"Scotian Shelf"
"3",395467,395467,438892,"Genus","Abralia","Gray, 1849",137930,7,1,"Mollusca","Oegopsida","Enoploteuthidae","Abralia",NA,"Cephalopoda",NA,NA,NA,NA,"Scotian Shelf"
"4",395486,395486,438892,"Genus","Abraliopsis","Joubin, 1896",137931,5,1,"Mollusca","Oegopsida","Enoploteuthidae","Abraliopsis",NA,"Cephalopoda",NA,NA,NA,NA,"Scotian Shelf"
"5",395573,395573,1014202,"Genus","Abylopsis","Chun, 1888",135352,7,1,"Cnidaria","Siphonophorae","Abylidae","Abylopsis",NA,"Hydrozoa",NA,NA,NA,NA,"Scotian Shelf"
"6",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,6,3,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",NA,NA,NA,NA,"Scotian Shelf"
"7",395651,395651,395650,"Species","Acanella arbuscula","(Johnson, 1862)",125371,29,4,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella arbuscula","Anthozoa",NA,NA,NA,NA,"Scotian Shelf"
"8",395754,395754,695236,"Species","Acanthephyra eximia","Smith, 1884",564909,20,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra eximia","Malacostraca",NA,NA,NA,NA,"Scotian Shelf"
"9",395764,395764,695236,"Species","Acanthephyra pelagica","(Risso, 1816)",107581,124,5,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","Malacostraca",NA,NA,NA,NA,"Scotian Shelf"
"10",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,4,3,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,NA,"Scotian Shelf"
"11",395941,395941,695247,"Species","Acanthogorgia armata","Verrill, 1878",125348,11,3,"Cnidaria","Alcyonacea","Acanthogorgiidae","Acanthogorgia","Acanthogorgia armata","Anthozoa",NA,NA,NA,NA,"Scotian Shelf"
"12",395966,395966,395963,"Species","Acanthohaustorius millsi","Bousfield, 1965",158015,1,1,"Arthropoda","Amphipoda","Haustoriidae","Acanthohaustorius","Acanthohaustorius millsi","Malacostraca",NA,NA,NA,NA,"Scotian Shelf"
"13",395968,395968,395963,"Species","Acanthohaustorius shoemakeri","Bousfield, 1965",345320,1,1,"Arthropoda","Amphipoda","Haustoriidae","Acanthohaustorius","Acanthohaustorius shoemakeri","Malacostraca",NA,NA,NA,NA,"Scotian Shelf"
"14",395973,395973,395971,"Species","Acanthoica quattrospina","Lohmann, 1903",235802,1,1,"Haptophyta","Syracosphaerales","Rhabdosphaeraceae","Acanthoica","Acanthoica quattrospina","Prymnesiophyceae",NA,NA,NA,NA,"Scotian Shelf"
"15",396200,396200,406569,"Genus","Acanthostomella","Jörgensen, 1927",183555,9,1,"Ciliophora","Choreotrichida","Ascampbelliellidae","Acanthostomella",NA,"Oligotrichea",NA,NA,NA,NA,"Scotian Shelf"
"16",396202,396202,396200,"Species","Acanthostomella norvegica","(Daday, 1887)",183556,4,1,"Ciliophora","Choreotrichida","Ascampbelliellidae","Acanthostomella","Acanthostomella norvegica","Oligotrichea",NA,NA,NA,NA,"Scotian Shelf"
"17",396214,396214,737105,"Genus","Acanthurus","Forsskål, 1775",125908,10,1,"Chordata","Perciformes","Acanthuridae","Acanthurus",NA,"Actinopteri",NA,NA,NA,NA,"Scotian Shelf"
"18",396290,396290,405225,"Subclass","Acari","Leach, 1817",292684,1,1,"Arthropoda",NA,NA,NA,NA,"Arachnida",NA,NA,NA,NA,"Scotian Shelf"
"19",396314,396314,770838,"Species","Acartia (Acanthacartia) bifilosa","(Giesbrecht, 1881)",345919,1,1,"Arthropoda","Calanoida","Acartiidae","Acartia","Acartia (Acanthacartia) bifilosa",NA,NA,NA,NA,NA,"Scotian Shelf"
"20",396326,396326,770837,"Species","Acartia (Acartiura) clausi","Giesbrecht, 1889",149755,275,5,"Arthropoda","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) clausi",NA,NA,NA,NA,NA,"Scotian Shelf"
"21",396436,396436,771698,"Species","Accipiter cooperii","(Bonaparte, 1828)",159103,1,1,"Chordata","Falconiformes","Accipitridae","Accipiter","Accipiter cooperii","Aves",TRUE,"LC",NA,NA,"Scotian Shelf"
"22",396438,396438,771698,"Species","Accipiter gentilis","(Linnaeus, 1758)",159104,1,1,"Chordata","Falconiformes","Accipitridae","Accipiter","Accipiter gentilis","Aves",TRUE,"LC",NA,NA,"Scotian Shelf"
"23",396442,396442,771698,"Species","Accipiter striatus","Vieillot, 1807",159105,1,1,"Chordata","Falconiformes","Accipitridae","Accipiter","Accipiter striatus","Aves",TRUE,"LC",NA,NA,"Scotian Shelf"
"24",396618,396618,396607,"Species","Achelia scabra","Wilson, 1880",158475,2,2,"Arthropoda","Pantopoda","Ammotheidae","Achelia","Achelia scabra","Pycnogonida",NA,NA,NA,NA,"Scotian Shelf"
"25",396662,396662,770793,"Genus","Achnanthes","Bory de Saint-Vincent, 1822",149191,1,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes",NA,"Bacillariophyceae",NA,NA,NA,NA,"Scotian Shelf"
"26",396726,396726,396662,"Species","Achnanthes longipes","C.Agardh, 1824",156533,1,1,"Ochrophyta","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes longipes","Bacillariophyceae",NA,NA,NA,NA,"Scotian Shelf"
