"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","gisd","hab","ecoregion"
"1",395447,395447,700476,"Genus","Abra","Lamarck, 1818",138474,21,1,"Mollusca","Cardiida","Semelidae","Abra","Bivalvia",NA,NA,NA,NA,NA,"Southeastern Brazil"
"2",395568,395568,695224,"Species","Abyla haeckeli","Lens & van Riemsdijk, 1908",196556,2,1,"Cnidaria","Siphonophorae","Abylidae","Abyla","Hydrozoa","Abyla haeckeli",NA,NA,NA,NA,"Southeastern Brazil"
"3",395571,395571,695224,"Species","Abyla trigona","Quoy & Gaimard, 1827",135402,6,1,"Cnidaria","Siphonophorae","Abylidae","Abyla","Hydrozoa","Abyla trigona",NA,NA,NA,NA,"Southeastern Brazil"
"4",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,2,1,"Cnidaria","Alcyonacea","Isididae","Acanella","Anthozoa",NA,NA,NA,NA,NA,"Southeastern Brazil"
"5",395781,395781,395780,"Species","Acanthistius brasilianus","(Cuvier, 1828)",278720,10,3,"Chordata","Perciformes","Serranidae","Acanthistius","Actinopteri","Acanthistius brasilianus",TRUE,"DD",NA,NA,"Southeastern Brazil"
"6",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,1,1,"Chordata","Perciformes","Scombridae","Acanthocybium","Actinopteri","Acanthocybium solandri",TRUE,"LC",NA,NA,"Southeastern Brazil"
"7",396063,396063,1029628,"Genus","Acanthonchus","Cobb, 1920",2319,4,1,"Nematoda","Chromadorida","Cyatholaimidae","Acanthonchus","Chromadorea",NA,NA,NA,NA,NA,"Southeastern Brazil"
"8",396249,396249,396214,"Species","Acanthurus monroviae","Steindachner, 1876",126750,2,1,"Chordata","Perciformes","Acanthuridae","Acanthurus","Actinopteri","Acanthurus monroviae",TRUE,"LC",NA,NA,"Southeastern Brazil"
"9",396799,396799,396798,"Species","Acinetospora crinita","(Carmichael) Sauvageau, 1899",145398,12,1,"Ochrophyta","Ectocarpales","Acinetosporaceae","Acinetospora","Phaeophyceae","Acinetospora crinita",NA,NA,NA,NA,"Southeastern Brazil"
"10",396961,396961,695290,"Species","Acrocalanus longicornis","Giesbrecht, 1888",104646,23,2,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus",NA,"Acrocalanus longicornis",NA,NA,NA,NA,"Southeastern Brazil"
"11",396983,396983,770254,"Genus","Acrochaetium","Nägeli, 1858",143799,2,1,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium","Florideophyceae",NA,NA,NA,NA,NA,"Southeastern Brazil"
"12",397019,397019,396983,"Species","Acrochaetium microscopicum","(Nägeli ex Kützing) Nägeli, 1858",144368,5,2,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium","Florideophyceae","Acrochaetium microscopicum",NA,NA,NA,NA,"Southeastern Brazil"
"13",397031,397031,396983,"Species","Acrochaetium savianum","(Meneghini) Nägeli, 1862",144386,1,1,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium","Florideophyceae","Acrochaetium savianum",NA,NA,NA,NA,"Southeastern Brazil"
