"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","gisd","hab","ecoregion"
"1",429,429,434937,"Subspecies","Diplodus sargus lineatus","(Valenciennes, 1830)",293581,TRUE,"LC",1,1,"Chordata","Perciformes","Sparidae","Diplodus","Diplodus sargus","Actinopteri",NA,NA,"Southern California Bight"
"2",491,491,813371,"Species","Margarita (Turcicula) bairdii","Dall",NA,NA,NA,6,1,"Mollusca",NA,"Trochidae","Margarita","Margarita (Turcicula) bairdii","Gastropoda",NA,NA,"Southern California Bight"
"3",593,593,771258,"Species","Nereis (Nereis) eakini","Hartman",NA,NA,NA,1,1,"Annelida","Phyllodocida","Nereididae","Nereis","Nereis (Nereis) eakini","Polychaeta",NA,NA,"Southern California Bight"
"4",395404,395404,736966,"Genus","Aberranta","Hartman, 1965",298124,NA,NA,2,1,"Annelida",NA,"Aberrantidae","Aberranta",NA,"Polychaeta",NA,NA,"Southern California Bight"
"5",395408,395408,509722,"Genus","Abietinaria","Kirchenpauer, 1884",117225,NA,NA,6,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria",NA,"Hydrozoa",NA,NA,"Southern California Bight"
"6",395411,395411,395408,"Species","Abietinaria anguina","(Trask, 1857)",285354,NA,NA,2,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria anguina","Hydrozoa",NA,NA,"Southern California Bight"
"7",395419,395419,395408,"Species","Abietinaria traski","(Torrey, 1902)",285380,NA,NA,1,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria traski","Hydrozoa",NA,NA,"Southern California Bight"
"8",395441,395441,768525,"Species","Abollifer prolabens","Vørs",118036,NA,NA,1,1,"Protoctista incertae sedis",NA,NA,"Abollifer","Abollifer prolabens",NA,NA,NA,"Southern California Bight"
"9",395486,395486,438892,"Genus","Abraliopsis","Joubin, 1896",137931,NA,NA,4,1,"Mollusca","Oegopsida","Enoploteuthidae","Abraliopsis",NA,"Cephalopoda",NA,NA,"Southern California Bight"
"10",395617,395617,774480,"Genus","Abyssothyris","Thomson, 1927",235231,NA,NA,3,1,"Brachiopoda","Terebratulida","Dyscoliidae","Abyssothyris",NA,"Rhynchonellata",NA,NA,"Southern California Bight"
"11",395618,395618,395617,"Species","Abyssothyris wyvillei","(Davidson, 1878)",235514,NA,NA,1,1,"Brachiopoda","Terebratulida","Dyscoliidae","Abyssothyris","Abyssothyris wyvillei","Rhynchonellata",NA,NA,"Southern California Bight"
"12",395687,395687,772182,"Species","Acanthascus platei","Schulze, 1886",189809,NA,NA,2,2,"Porifera","Lyssacinosida","Rossellidae","Acanthascus","Acanthascus platei","Hexactinellida",NA,NA,"Southern California Bight"
"13",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,TRUE,"LC",3,2,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",NA,NA,"Southern California Bight"
"14",395935,395935,776106,"Species","Acanthogobius flavimanus","(Temminck & Schlegel, 1845)",279475,TRUE,"LC",33,2,"Chordata","Perciformes","Gobiidae","Acanthogobius","Acanthogobius flavimanus","Actinopteri",TRUE,NA,"Southern California Bight"
"15",396290,396290,405225,"Subclass","Acari","Leach, 1817",292684,NA,NA,1,1,"Arthropoda",NA,NA,NA,NA,"Arachnida",NA,NA,"Southern California Bight"
"16",396300,396300,396298,"Species","Acarnus erithacus","de Laubenfels, 1927",167343,NA,NA,4,2,"Porifera","Poecilosclerida","Acarnidae","Acarnus","Acarnus erithacus","Demospongiae",NA,NA,"Southern California Bight"
"17",396587,396587,396583,"Species","Acharax johnsoni","(Dall, 1891)",293239,NA,NA,3,2,"Mollusca","Solemyoida","Solemyidae","Acharax","Acharax johnsoni","Bivalvia",NA,NA,"Southern California Bight"
"18",396648,396648,396647,"Species","Achlyonice ecalcarea","Théel, 1879",148770,NA,NA,1,1,"Echinodermata","Elasipodida","Elpidiidae","Achlyonice","Achlyonice ecalcarea","Holothuroidea",NA,NA,"Southern California Bight"
"19",396774,396774,396772,"Species","Achtheinus oblongus","Wilson C.B., 1908",364583,NA,NA,1,1,"Arthropoda","Siphonostomatoida","Pandaridae","Achtheinus","Achtheinus oblongus",NA,NA,NA,"Southern California Bight"
"20",396819,396819,396804,"Species","Acipenser transmontanus","Richardson, 1836",238345,TRUE,"LC",1,1,"Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser transmontanus","Actinopteri",NA,NA,"Southern California Bight"
"21",396911,396911,775746,"Species","Acontiophorum niveum","Fautin, Eppard & Mead, 1988",289332,NA,NA,4,1,"Cnidaria","Actiniaria","Acontiophoridae","Acontiophorum","Acontiophorum niveum","Anthozoa",NA,NA,"Southern California Bight"
"22",398380,398380,778545,"Species","Aechmophorus occidentalis","(Lawrence, 1858)",366617,TRUE,"LC",1107,4,"Chordata","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus occidentalis","Aves",NA,NA,"Southern California Bight"
"23",398508,398508,737469,"Genus","Aeolidia","Cuvier, 1798",137630,NA,NA,1,1,"Mollusca","Nudibranchia","Aeolidiidae","Aeolidia",NA,"Gastropoda",NA,NA,"Southern California Bight"
"24",398509,398509,398508,"Species","Aeolidia papillosa","(Linnaeus, 1761)",138709,NA,NA,4,1,"Mollusca","Nudibranchia","Aeolidiidae","Aeolidia","Aeolidia papillosa","Gastropoda",NA,NA,"Southern California Bight"
"25",398572,398572,398561,"Species","Aequorea victoria","(Murbach & Shearer, 1902)",283998,NA,NA,1,1,"Cnidaria","Leptothecata","Aequoreidae","Aequorea","Aequorea victoria","Hydrozoa",NA,NA,"Southern California Bight"
"26",398647,398647,398644,"Species","Aetideus armatus","(Boeck, 1872)",104275,NA,NA,1,1,"Arthropoda","Calanoida","Aetideidae","Aetideus","Aetideus armatus",NA,NA,NA,"Southern California Bight"
"27",398657,398657,773744,"Species","Aetomylaeus maculatus","(Gray, 1834)",217428,TRUE,"EN",1,1,"Chordata","Myliobatiformes","Myliobatidae","Aetomylaeus","Aetomylaeus maculatus","Elasmobranchii",NA,NA,"Southern California Bight"
"28",398885,398885,398912,"Genus","Aglaophenia","Lamouroux, 1812",116999,NA,NA,4,1,"Cnidaria","Leptothecata","Aglaopheniidae","Aglaophenia",NA,"Hydrozoa",NA,NA,"Southern California Bight"
