"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",501,501,812157,"Species","Metula (Agassitula) guppyi","Olsson & Bayer, 1972",491115,1,1,"Mollusca","Neogastropoda","Buccinidae","Metula","Metula (Agassitula) guppyi","Gastropoda",NA,NA,NA,NA,"Southern Caribbean"
"2",505,505,803357,"Species","Mithrax (Mithraculus) corphye","(Herbst)",NA,1,1,"Arthropoda","Decapoda","Majidae","Mithrax","Mithrax (Mithraculus) corphye","Malacostraca",NA,NA,NA,NA,"Southern Caribbean"
"3",395455,395455,395447,"Species","Abra longicallus","(Scacchi, 1835)",141434,11,1,"Mollusca","Cardiida","Semelidae","Abra","Abra longicallus","Bivalvia",NA,NA,NA,NA,"Southern Caribbean"
"4",395561,395561,695219,"Species","Abudefduf vaigiensis","(Quoy & Gaimard, 1825)",212879,2,1,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf vaigiensis","Actinopteri",NA,NA,NA,NA,"Southern Caribbean"
"5",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,16,3,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",NA,NA,NA,NA,"Southern Caribbean"
"6",395657,395657,774929,"Species","Acanthacaris caeca","A. Milne-Edwards, 1881",293250,9,1,"Arthropoda","Decapoda","Nephropidae","Acanthacaris","Acanthacaris caeca","Malacostraca",TRUE,"LC",NA,NA,"Southern Caribbean"
"7",395736,395736,395729,"Species","Acanthemblemaria johnsoni","Almany & Baldwin, 1996",279454,6,2,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria johnsoni","Actinopteri",TRUE,"LC",NA,NA,"Southern Caribbean"
"8",395740,395740,395729,"Species","Acanthemblemaria medusa","Smith-Vaniz & Palacio, 1974",279458,28,2,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria medusa","Actinopteri",TRUE,"LC",NA,NA,"Southern Caribbean"
"9",395743,395743,395729,"Species","Acanthemblemaria spinosa","Metzelaar, 1919",254883,41,6,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria spinosa","Actinopteri",TRUE,"LC",NA,NA,"Southern Caribbean"
"10",395746,395746,695236,"Species","Acanthephyra acanthitelsonis","Spence Bate, 1888",240809,4,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra acanthitelsonis","Malacostraca",NA,NA,NA,NA,"Southern Caribbean"
"11",395747,395747,695236,"Species","Acanthephyra acutifrons","Spence Bate, 1888",158347,3,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra acutifrons","Malacostraca",NA,NA,NA,NA,"Southern Caribbean"
"12",395761,395761,695236,"Species","Acanthephyra kingsleyi","Spence Bate, 1888",240810,1,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra kingsleyi","Malacostraca",NA,NA,NA,NA,"Southern Caribbean"
"13",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,16,3,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,NA,"Southern Caribbean"
"14",396140,396140,771138,"Genus","Acanthopleura","Guilding, 1829",151210,38,1,"Mollusca","Chitonida","Chitonidae","Acanthopleura",NA,"Polyplacophora",NA,NA,NA,NA,"Southern Caribbean"
"15",396214,396214,737105,"Genus","Acanthurus","Forsskål, 1775",125908,3,1,"Chordata","Perciformes","Acanthuridae","Acanthurus",NA,"Actinopteri",NA,NA,NA,NA,"Southern Caribbean"
"16",396529,396529,770277,"Genus","Acetabularia","J.V.Lamouroux, 1812",144059,1,1,"Chlorophyta","Dasycladales","Polyphysaceae","Acetabularia",NA,"Ulvophyceae",NA,NA,NA,NA,"Southern Caribbean"
"17",396851,396851,396867,"Genus","Acmaea","Eschscholtz, 1833",137616,17,2,"Mollusca",NA,"Acmaeidae","Acmaea",NA,"Gastropoda",NA,NA,NA,NA,"Southern Caribbean"
"18",397568,397568,397561,"Species","Actinauge longicornis","(Verrill, 1882)",158212,1,1,"Cnidaria","Actiniaria","Hormathiidae","Actinauge","Actinauge longicornis","Anthozoa",NA,NA,NA,NA,"Southern Caribbean"
"19",398212,398212,776116,"Species","Acyrtops amplicirrus","Briggs, 1955",279503,3,3,"Chordata","Gobiesociformes","Gobiesocidae","Acyrtops","Acyrtops amplicirrus","Actinopteri",TRUE,"LC",NA,NA,"Southern Caribbean"
"20",398215,398215,776117,"Species","Acyrtus artius","Briggs, 1955",279505,12,2,"Chordata","Gobiesociformes","Gobiesocidae","Acyrtus","Acyrtus artius","Actinopteri",TRUE,"LC",NA,NA,"Southern Caribbean"
"21",398572,398572,398561,"Species","Aequorea victoria","(Murbach & Shearer, 1902)",283998,1,1,"Cnidaria","Leptothecata","Aequoreidae","Aequorea","Aequorea victoria","Hydrozoa",NA,NA,NA,NA,"Southern Caribbean"
"22",398644,398644,398634,"Genus","Aetideus","Brady, 1883",104112,10,1,"Arthropoda","Calanoida","Aetideidae","Aetideus",NA,NA,NA,NA,NA,NA,"Southern Caribbean"
"23",398647,398647,398644,"Species","Aetideus armatus","(Boeck, 1872)",104275,1,1,"Arthropoda","Calanoida","Aetideidae","Aetideus","Aetideus armatus",NA,NA,NA,NA,NA,"Southern Caribbean"
"24",398768,398768,695348,"Species","Agaricia humilis","Verrill, 1901",287914,2,1,"Cnidaria","Scleractinia","Agariciidae","Agaricia","Agaricia humilis","Anthozoa",TRUE,"LC",NA,NA,"Southern Caribbean"
"25",398819,398819,398817,"Species","Agelas clathrodes","(Schmidt, 1870)",164823,5,3,"Porifera","Agelasida","Agelasidae","Agelas","Agelas clathrodes","Demospongiae",NA,NA,NA,NA,"Southern Caribbean"
"26",398822,398822,398817,"Species","Agelas dispar","Duchassaing & Michelotti, 1864",164827,1,1,"Porifera","Agelasida","Agelasidae","Agelas","Agelas dispar","Demospongiae",NA,NA,NA,NA,"Southern Caribbean"
"27",398828,398828,398817,"Species","Agelas schmidti","Wilson, 1902",164842,1,1,"Porifera","Agelasida","Agelasidae","Agelas","Agelas schmidti","Demospongiae",NA,NA,NA,NA,"Southern Caribbean"
"28",399088,399088,399087,"Species","Aiolochroia crassa","(Hyatt, 1875)",169632,2,2,"Porifera","Verongiida","Aplysinidae","Aiolochroia","Aiolochroia crassa","Demospongiae",NA,NA,NA,NA,"Southern Caribbean"
"29",399779,399779,767767,"Family","Alpheidae","Rafinesque, 1815",106776,3,1,"Arthropoda","Decapoda","Alpheidae",NA,NA,"Malacostraca",NA,NA,NA,NA,"Southern Caribbean"
