"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"1",362,362,397533,"Species","Acteon melampoides","Dall, 1881",159968,5,1,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon","Acteon melampoides","Gastropoda",NA,NA,NA,"Southern Gulf of Mexico"
"2",364,364,397533,"Species","Acteon perforatus","Dall, 1881",420513,3,1,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon","Acteon perforatus","Gastropoda",NA,NA,NA,"Southern Gulf of Mexico"
"3",532,532,473696,"Species","Munidopsis transtridens","Pequegnat & Pequegnat, 1971",392631,3,3,"Arthropoda","Decapoda","Munidopsidae","Munidopsis","Munidopsis transtridens","Malacostraca",NA,NA,NA,"Southern Gulf of Mexico"
"4",395455,395455,395447,"Species","Abra longicallus","(Scacchi, 1835)",141434,4,1,"Mollusca","Cardiida","Semelidae","Abra","Abra longicallus","Bivalvia",NA,NA,NA,"Southern Gulf of Mexico"
"5",395467,395467,438892,"Genus","Abralia","Gray, 1849",137930,2,2,"Mollusca","Oegopsida","Enoploteuthidae","Abralia",NA,"Cephalopoda",NA,NA,NA,"Southern Gulf of Mexico"
"6",395568,395568,695224,"Species","Abyla haeckeli","Lens & van Riemsdijk, 1908",196556,9,1,"Cnidaria","Siphonophorae","Abylidae","Abyla","Abyla haeckeli","Hydrozoa",NA,NA,NA,"Southern Gulf of Mexico"
"7",395571,395571,695224,"Species","Abyla trigona","Quoy & Gaimard, 1827",135402,6,1,"Cnidaria","Siphonophorae","Abylidae","Abyla","Abyla trigona","Hydrozoa",NA,NA,NA,"Southern Gulf of Mexico"
"8",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,13,4,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",NA,NA,NA,"Southern Gulf of Mexico"
"9",395653,395653,395650,"Species","Acanella eburnea","(Pourtalès, 1868)",286299,8,3,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella eburnea","Anthozoa",NA,NA,NA,"Southern Gulf of Mexico"
"10",395657,395657,774929,"Species","Acanthacaris caeca","A. Milne-Edwards, 1881",293250,8,3,"Arthropoda","Decapoda","Nephropidae","Acanthacaris","Acanthacaris caeca","Malacostraca",TRUE,"LC",NA,"Southern Gulf of Mexico"
"11",395746,395746,695236,"Species","Acanthephyra acanthitelsonis","Spence Bate, 1888",240809,13,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra acanthitelsonis","Malacostraca",NA,NA,NA,"Southern Gulf of Mexico"
"12",395747,395747,695236,"Species","Acanthephyra acutifrons","Spence Bate, 1888",158347,14,2,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra acutifrons","Malacostraca",NA,NA,NA,"Southern Gulf of Mexico"
"13",395754,395754,695236,"Species","Acanthephyra eximia","Smith, 1884",564909,17,2,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra eximia","Malacostraca",NA,NA,NA,"Southern Gulf of Mexico"
"14",395761,395761,695236,"Species","Acanthephyra kingsleyi","Spence Bate, 1888",240810,1,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra kingsleyi","Malacostraca",NA,NA,NA,"Southern Gulf of Mexico"
"15",395764,395764,695236,"Species","Acanthephyra pelagica","(Risso, 1816)",107581,10,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","Malacostraca",NA,NA,NA,"Southern Gulf of Mexico"
"16",395815,395815,395814,"Species","Acanthocarpus alexandri","Stimpson, 1871",158044,17,2,"Arthropoda","Decapoda","Calappidae","Acanthocarpus","Acanthocarpus alexandri","Malacostraca",NA,NA,NA,"Southern Gulf of Mexico"
"17",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,1153,3,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,"Southern Gulf of Mexico"
"18",396073,396073,771677,"Species","Acanthonus armatus","Günther, 1878",158998,10,1,"Chordata","Ophidiiformes","Ophidiidae","Acanthonus","Acanthonus armatus","Actinopteri",NA,NA,NA,"Southern Gulf of Mexico"
"19",396173,396173,767483,"Species","Acanthoscina acanthodes","(Stebbing, 1895)",103277,4,1,"Arthropoda","Amphipoda","Scinidae","Acanthoscina","Acanthoscina acanthodes","Malacostraca",NA,NA,NA,"Southern Gulf of Mexico"
"20",396290,396290,405225,"Subclass","Acari","Leach, 1817",292684,56,1,"Arthropoda",NA,NA,NA,NA,"Arachnida",NA,NA,NA,"Southern Gulf of Mexico"
"21",396381,396381,396376,"Species","Acasta cyathus","Darwin, 1854",370509,22,1,"Arthropoda","Sessilia","Archaeobalanidae","Acasta","Acasta cyathus",NA,NA,NA,NA,"Southern Gulf of Mexico"
"22",396442,396442,771698,"Species","Accipiter striatus","Vieillot, 1807",159105,12,1,"Chordata","Falconiformes","Accipitridae","Accipiter","Accipiter striatus","Aves",TRUE,"LC",NA,"Southern Gulf of Mexico"
"23",396549,396549,596697,"Subspecies","Acetes americanus carolinae","Hansen, 1933",158345,6,1,"Arthropoda","Decapoda","Sergestidae","Acetes","Acetes americanus","Malacostraca",NA,NA,NA,"Southern Gulf of Mexico"
"24",396799,396799,396798,"Species","Acinetospora crinita","(Carmichael) Sauvageau, 1899",145398,2,1,"Ochrophyta","Ectocarpales","Acinetosporaceae","Acinetospora","Acinetospora crinita","Phaeophyceae",NA,NA,NA,"Southern Gulf of Mexico"
"25",396961,396961,695290,"Species","Acrocalanus longicornis","Giesbrecht, 1888",104646,74,2,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus longicornis",NA,NA,NA,NA,"Southern Gulf of Mexico"
