"","id","valid_id","parent_id","rank_name","tname","records","datasets","phylum","order","family","genus","species","class","tauthor","worms_id","redlist","status","gisd","hab","ecoregion"
"1",459,459,822301,"Species","Maeandra clivosa",1,1,"Cnidaria","Scleractinia","Meandrinidae","Maeandra","Maeandra clivosa","Anthozoa",NA,NA,NA,NA,NA,NA,"Southwestern Caribbean"
"2",460,460,459,"Subspecies","Maeandra clivosa explanata",1,1,"Cnidaria","Scleractinia","Meandrinidae","Maeandra","Maeandra clivosa","Anthozoa",NA,NA,NA,NA,NA,NA,"Southwestern Caribbean"
"3",503,503,810724,"Species","Metula (Minitula) minor",1,1,"Mollusca","Neogastropoda","Buccinidae","Metula","Metula (Minitula) minor","Gastropoda","Olsson & Bayer, 1972",491120,NA,NA,NA,NA,"Southwestern Caribbean"
"4",619,619,793677,"Species","Sthenorytis pernobilis",1,1,"Mollusca","Caenogastropoda incertae sedis","Epitoniidae","Sthenorytis","Sthenorytis pernobilis","Gastropoda","(P. Fischer & Bernardi, 1857)",419829,NA,NA,NA,NA,"Southwestern Caribbean"
"5",395455,395455,395447,"Species","Abra longicallus",74,1,"Mollusca","Cardiida","Semelidae","Abra","Abra longicallus","Bivalvia","(Scacchi, 1835)",141434,NA,NA,NA,NA,"Southwestern Caribbean"
"6",395467,395467,438892,"Genus","Abralia",1,1,"Mollusca","Oegopsida","Enoploteuthidae","Abralia",NA,"Cephalopoda","Gray, 1849",137930,NA,NA,NA,NA,"Southwestern Caribbean"
"7",395650,395650,748828,"Genus","Acanella",7,3,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa","Gray, 1870",125303,NA,NA,NA,NA,"Southwestern Caribbean"
"8",395651,395651,395650,"Species","Acanella arbuscula",3,2,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella arbuscula","Anthozoa","(Johnson, 1862)",125371,NA,NA,NA,NA,"Southwestern Caribbean"
"9",395657,395657,774929,"Species","Acanthacaris caeca",24,1,"Arthropoda","Decapoda","Nephropidae","Acanthacaris","Acanthacaris caeca","Malacostraca","A. Milne-Edwards, 1881",293250,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"10",395729,395729,741512,"Genus","Acanthemblemaria",1,1,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria",NA,"Actinopteri","Metzelaar, 1919",254882,NA,NA,NA,NA,"Southwestern Caribbean"
"11",395743,395743,395729,"Species","Acanthemblemaria spinosa",2,2,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria spinosa","Actinopteri","Metzelaar, 1919",254883,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"12",395911,395911,769048,"Species","Acanthocybium solandri",2,2,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri","(Cuvier, 1832)",127014,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"13",396214,396214,737105,"Genus","Acanthurus",1,1,"Chordata","Perciformes","Acanthuridae","Acanthurus",NA,"Actinopteri","Forsskål, 1775",125908,NA,NA,NA,NA,"Southwestern Caribbean"
"14",396303,396303,396298,"Species","Acarnus souriei",1,1,"Porifera","Poecilosclerida","Acarnidae","Acarnus","Acarnus souriei","Demospongiae","(Lévi, 1952)",167351,NA,NA,NA,NA,"Southwestern Caribbean"
"15",396381,396381,396376,"Species","Acasta cyathus",1,1,"Arthropoda","Sessilia","Archaeobalanidae","Acasta","Acasta cyathus",NA,"Darwin, 1854",370509,NA,NA,NA,NA,"Southwestern Caribbean"
"16",396851,396851,396867,"Genus","Acmaea",3,2,"Mollusca",NA,"Acmaeidae","Acmaea",NA,"Gastropoda","Eschscholtz, 1833",137616,NA,NA,NA,NA,"Southwestern Caribbean"
"17",396867,396867,779142,"Family","Acmaeidae",2,1,"Mollusca",NA,"Acmaeidae",NA,NA,"Gastropoda","Forbes, 1850",114,NA,NA,NA,NA,"Southwestern Caribbean"
"18",396961,396961,695290,"Species","Acrocalanus longicornis",10,1,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus longicornis",NA,"Giesbrecht, 1888",104646,NA,NA,NA,NA,"Southwestern Caribbean"
"19",397075,397075,771651,"Species","Acromycter atlanticus",4,2,"Chordata","Anguilliformes","Congridae","Acromycter","Acromycter atlanticus","Actinopteri","Smith, 1989",275421,NA,NA,NA,NA,"Southwestern Caribbean"
"20",397533,397533,737331,"Genus","Acteon",2,1,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon",NA,"Gastropoda","Montfort, 1810",137618,NA,NA,NA,NA,"Southwestern Caribbean"
"21",397568,397568,397561,"Species","Actinauge longicornis",1,1,"Cnidaria","Actiniaria","Hormathiidae","Actinauge","Actinauge longicornis","Anthozoa","(Verrill, 1882)",158212,NA,NA,NA,NA,"Southwestern Caribbean"
"22",398215,398215,776117,"Species","Acyrtus artius",4,2,"Chordata","Gobiesociformes","Gobiesocidae","Acyrtus","Acyrtus artius","Actinopteri","Briggs, 1955",279505,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"23",398552,398552,1011602,"Genus","Aequipecten",1,1,"Mollusca","Pectinoida","Pectinidae","Aequipecten",NA,"Bivalvia","P. Fischer, 1886",138313,NA,NA,NA,NA,"Southwestern Caribbean"
"24",398634,398634,740483,"Family","Aetideidae",5,1,"Arthropoda","Calanoida","Aetideidae",NA,NA,NA,"Giesbrecht, 1892",104075,NA,NA,NA,NA,"Southwestern Caribbean"
"25",398647,398647,398644,"Species","Aetideus armatus",10,1,"Arthropoda","Calanoida","Aetideidae","Aetideus","Aetideus armatus",NA,"(Boeck, 1872)",104275,NA,NA,NA,NA,"Southwestern Caribbean"
"26",398768,398768,695348,"Species","Agaricia humilis",2,2,"Cnidaria","Scleractinia","Agariciidae","Agaricia","Agaricia humilis","Anthozoa","Verrill, 1901",287914,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"27",398779,398779,695348,"Species","Agaricia undata",41,2,"Cnidaria","Scleractinia","Agariciidae","Agaricia","Agaricia undata","Anthozoa","(Ellis & Solander, 1786)",287917,TRUE,"DD",NA,NA,"Southwestern Caribbean"
"28",398817,398817,769376,"Genus","Agelas",10,2,"Porifera","Agelasida","Agelasidae","Agelas",NA,"Demospongiae","Duchassaing & Michelotti, 1864",131771,NA,NA,NA,NA,"Southwestern Caribbean"
"29",398933,398933,737560,"Species","Aglaura hemistoma",1,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Aglaura hemistoma","Hydrozoa","Péron & Lesueur, 1810",117851,NA,NA,NA,NA,"Southwestern Caribbean"
"30",399088,399088,399087,"Species","Aiolochroia crassa",2,2,"Porifera","Verongiida","Aplysinidae","Aiolochroia","Aiolochroia crassa","Demospongiae","(Hyatt, 1875)",169632,NA,NA,NA,NA,"Southwestern Caribbean"
"31",399384,399384,737643,"Species","Aldrovandia affinis",2,2,"Chordata","Notacanthiformes","Halosauridae","Aldrovandia","Aldrovandia affinis","Actinopteri","(Günther, 1877)",126637,NA,NA,NA,NA,"Southwestern Caribbean"
"32",399532,399532,737676,"Species","Alicia mirabilis",1,1,"Cnidaria","Actiniaria","Aliciidae","Alicia","Alicia mirabilis","Anthozoa","Johnson, 1861",100862,NA,NA,NA,NA,"Southwestern Caribbean"
"33",399565,399565,774445,"Species","Alitta succinea",1,1,"Annelida","Phyllodocida","Nereididae","Alitta","Alitta succinea","Polychaeta","(Leuckart, 1847)",234850,NA,NA,TRUE,NA,"Southwestern Caribbean"
"34",399651,399651,775089,"Genus","Alloniscus",1,1,"Arthropoda","Isopoda","Alloniscidae","Alloniscus",NA,"Malacostraca","Dana, 1854",203831,NA,NA,NA,NA,"Southwestern Caribbean"
"35",399779,399779,767767,"Family","Alpheidae",123,2,"Arthropoda","Decapoda","Alpheidae",NA,NA,"Malacostraca","Rafinesque, 1815",106776,NA,NA,NA,NA,"Southwestern Caribbean"
"36",399784,399784,399779,"Genus","Alpheopsis",1,1,"Arthropoda","Decapoda","Alpheidae","Alpheopsis",NA,"Malacostraca","Coutière, 1897",106977,NA,NA,NA,NA,"Southwestern Caribbean"
"37",399797,399797,737741,"Species","Alphestes multiguttatus",2,1,"Chordata","Perciformes","Serranidae","Alphestes","Alphestes multiguttatus","Actinopteri","(Günther, 1867)",279569,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"38",399798,399798,399779,"Genus","Alpheus",9,2,"Arthropoda","Decapoda","Alpheidae","Alpheus",NA,"Malacostraca","Fabricius, 1798",106978,NA,NA,NA,NA,"Southwestern Caribbean"
"39",399902,399902,399798,"Species","Alpheus normanni",1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus","Alpheus normanni","Malacostraca","Kingsley, 1878",158349,NA,NA,NA,NA,"Southwestern Caribbean"
"40",400039,400039,599075,"Species","Aluterus schoepfii",7,3,"Chordata","Tetraodontiformes","Monacanthidae","Aluterus","Aluterus schoepfii","Actinopteri","(Walbaum, 1792)",159490,NA,NA,NA,NA,"Southwestern Caribbean"
"41",400111,400111,772910,"Genus","Alveopora",2,2,"Cnidaria","Scleractinia","Acroporidae","Alveopora",NA,"Anthozoa","Blainville, 1830",206945,NA,NA,NA,NA,"Southwestern Caribbean"
"42",400575,400575,779754,"Species","Americardia media",1,1,"Mollusca","Cardiida","Cardiidae","Americardia","Americardia media","Bivalvia","(Linnaeus, 1758)",420847,NA,NA,NA,NA,"Southwestern Caribbean"
"43",400709,400709,400708,"Species","Ammothella appendiculata",2,1,"Arthropoda","Pantopoda","Ammotheidae","Ammothella","Ammothella appendiculata","Pycnogonida","(Dohrn, 1881)",134609,NA,NA,NA,NA,"Southwestern Caribbean"
"44",400882,400882,628170,"Family","Ampeliscidae",2,1,"Arthropoda","Amphipoda","Ampeliscidae",NA,NA,"Malacostraca","Krøyer, 1842",101364,NA,NA,NA,NA,"Southwestern Caribbean"
"45",401010,401010,774841,"Species","Amphichondrius granulatus",20,1,"Echinodermata","Ophiurida","Amphiuridae","Amphichondrius","Amphichondrius granulatus","Ophiuroidea","(Lütken & Mortensen, 1899)",246610,NA,NA,NA,NA,"Southwestern Caribbean"
