"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",395767,395767,695236,"Species","Acanthephyra quadrispinosa","Kemp, 1939",210438,1,1,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra quadrispinosa","Malacostraca",NA,NA,NA,NA,"Trindade and Martin Vaz Islands"
"2",396961,396961,695290,"Species","Acrocalanus longicornis","Giesbrecht, 1888",104646,2,1,"Arthropoda","Calanoida","Paracalanidae","Acrocalanus","Acrocalanus longicornis",NA,NA,NA,NA,NA,"Trindade and Martin Vaz Islands"
"3",397524,397524,597146,"Species","Acteocina lepta","Woodring, 1928",420534,1,1,"Mollusca","Cephalaspidea","Acteocinidae","Acteocina","Acteocina lepta","Gastropoda",NA,NA,NA,NA,"Trindade and Martin Vaz Islands"
"4",398215,398215,776117,"Species","Acyrtus artius","Briggs, 1955",279505,2,1,"Chordata","Gobiesociformes","Gobiesocidae","Acyrtus","Acyrtus artius","Actinopteri",TRUE,"LC",NA,NA,"Trindade and Martin Vaz Islands"
"5",398817,398817,769376,"Genus","Agelas","Duchassaing & Michelotti, 1864",131771,1,1,"Porifera","Agelasida","Agelasidae","Agelas",NA,"Demospongiae",NA,NA,NA,NA,"Trindade and Martin Vaz Islands"
"6",399798,399798,399779,"Genus","Alpheus","Fabricius, 1798",106978,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus",NA,"Malacostraca",NA,NA,NA,NA,"Trindade and Martin Vaz Islands"
"7",399837,399837,399798,"Species","Alpheus cristulifrons","Rathbun, 1900",240847,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus","Alpheus cristulifrons","Malacostraca",NA,NA,NA,NA,"Trindade and Martin Vaz Islands"
"8",400575,400575,779754,"Species","Americardia media","(Linnaeus, 1758)",420847,1,1,"Mollusca","Cardiida","Cardiidae","Americardia","Americardia media","Bivalvia",NA,NA,NA,NA,"Trindade and Martin Vaz Islands"
"9",402008,402008,772825,"Species","Amphorides quadrilineata","(Claparède & Lachmann, 1858)",235769,4,1,"Ciliophora","Choreotrichida","Tintinnidae","Amphorides","Amphorides quadrilineata","Oligotrichea",NA,NA,NA,NA,"Trindade and Martin Vaz Islands"
"10",402302,402302,738174,"Species","Anadyomene lacerata","D.S.Littler & M.M.Littler, 1991",373222,3,1,"Chlorophyta","Cladophorales","Anadyomenaceae","Anadyomene","Anadyomene lacerata","Ulvophyceae",NA,NA,NA,NA,"Trindade and Martin Vaz Islands"
"11",402308,402308,738174,"Species","Anadyomene stellata","(Wulfen) C.Agardh, 1823",145012,4,1,"Chlorophyta","Cladophorales","Anadyomenaceae","Anadyomene","Anadyomene stellata","Ulvophyceae",NA,NA,NA,NA,"Trindade and Martin Vaz Islands"
"12",403358,403358,432917,"Genus","Antalis","H. Adams & A. Adams, 1854",150531,1,1,"Mollusca","Dentaliida","Dentaliidae","Antalis",NA,"Scaphopoda",NA,NA,NA,NA,"Trindade and Martin Vaz Islands"
"13",406149,406149,406123,"Species","Ariosoma selenops","Reid, 1934",271736,1,1,"Chordata","Anguilliformes","Congridae","Ariosoma","Ariosoma selenops","Actinopteri",TRUE,"LC",NA,NA,"Trindade and Martin Vaz Islands"
"14",406201,406201,738888,"Species","Aristostomias polydactylus","Regan & Trewavas, 1930",158842,1,1,"Chordata","Stomiiformes","Stomiidae","Aristostomias","Aristostomias polydactylus","Actinopteri",NA,NA,NA,NA,"Trindade and Martin Vaz Islands"
"15",407134,407134,407119,"Species","Asterolampra marylandica","Ehrenberg, 1844",248070,1,1,"Ochrophyta","Asterolamprales","Asterolampraceae","Asterolampra","Asterolampra marylandica","Bacillariophyceae",NA,NA,NA,NA,"Trindade and Martin Vaz Islands"
