"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"1",395385,395385,395384,"Species","Abatus agassizii","Mortensen, 1910",160759,2,1,"Echinodermata","Spatangoida","Schizasteridae","Abatus","Abatus agassizii","Echinoidea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"2",395387,395387,395384,"Species","Abatus cavernosus","(Philippi, 1845)",160762,5,1,"Echinodermata","Spatangoida","Schizasteridae","Abatus","Abatus cavernosus","Echinoidea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"3",395781,395781,395780,"Species","Acanthistius brasilianus","(Cuvier, 1828)",278720,20,4,"Chordata","Perciformes","Serranidae","Acanthistius","Acanthistius brasilianus","Actinopteri",TRUE,"DD",NA,"Uruguay-Buenos Aires Shelf"
"4",396886,396886,396883,"Species","Acodontaster elongatus","(Sladen, 1889)",172769,1,1,"Echinodermata","Valvatida","Odontasteridae","Acodontaster","Acodontaster elongatus","Asteroidea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"5",397533,397533,737331,"Genus","Acteon","Montfort, 1810",137618,10,1,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon",NA,"Gastropoda",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"6",398285,398285,768217,"Species","Adercotryma glomerata","(Brady, 1878)",113837,1,1,"Foraminifera","Lituolida","Adercotrymidae","Adercotryma","Adercotryma glomerata","Globothalamea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"7",398591,398591,695340,"Species","Aesopus obesus","(Hinds, 1844)",409951,3,1,"Mollusca","Neogastropoda","Columbellidae","Aesopus","Aesopus obesus","Gastropoda",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"8",398886,398886,398885,"Species","Aglaophenia acacia","Allman, 1883",117274,1,1,"Cnidaria","Leptothecata","Aglaopheniidae","Aglaophenia","Aglaophenia acacia","Hydrozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"9",398986,398986,776124,"Species","Agonopsis chiloensis","(Jenyns, 1840)",279520,2,2,"Chordata","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis chiloensis","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"10",399565,399565,774445,"Species","Alitta succinea","(Leuckart, 1847)",234850,12,2,"Annelida","Phyllodocida","Nereididae","Alitta","Alitta succinea","Polychaeta",NA,NA,TRUE,"Uruguay-Buenos Aires Shelf"
"11",400502,400502,400500,"Species","Amblyraja doellojuradoi","(Pozzi, 1935)",271500,21,2,"Chordata","Rajiformes","Rajidae","Amblyraja","Amblyraja doellojuradoi","Elasmobranchii",TRUE,"LC",NA,"Uruguay-Buenos Aires Shelf"
"12",400636,400636,844461,"Genus","Ammodiscus","Reuss, 1862",112290,3,1,"Foraminifera","Spirillinida","Ammodiscidae","Ammodiscus",NA,"Tubothalamea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"13",400702,400702,769509,"Species","Ammothea longispina","Gordon, 1932",172922,1,1,"Arthropoda","Pantopoda","Ammotheidae","Ammothea","Ammothea longispina","Pycnogonida",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"14",401111,401111,401110,"Species","Amphilectus fucorum","(Esper, 1794)",150225,3,1,"Porifera","Poecilosclerida","Esperiopsidae","Amphilectus","Amphilectus fucorum","Demospongiae",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"15",401223,401223,401208,"Species","Amphiodia pulchella","(Lyman, 1869)",242674,2,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiodia","Amphiodia pulchella","Ophiuroidea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"16",401353,401353,401349,"Species","Amphipneustes koehleri","Mortensen, 1905",160773,1,1,"Echinodermata","Spatangoida","Paleopneustina incertae sedis B","Amphipneustes","Amphipneustes koehleri","Echinoidea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"17",401392,401392,401367,"Species","Amphiporus moseleyi","Hubrecht, 1887",148002,1,1,"Nemertea","Monostilifera","Amphiporidae","Amphiporus","Amphiporus moseleyi","Enopla",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
