"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",623,623,822133,"Species","Tetaturris bartletti","(Dall, 1889)",435025,4,1,"Mollusca","Neogastropoda","Turridae","Tetaturris","Tetaturris bartletti","Gastropoda",NA,NA,NA,NA,"Western Caribbean"
"2",395561,395561,695219,"Species","Abudefduf vaigiensis","(Quoy & Gaimard, 1825)",212879,2,1,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf vaigiensis","Actinopteri",NA,NA,NA,NA,"Western Caribbean"
"3",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,6,2,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",NA,NA,NA,NA,"Western Caribbean"
"4",395657,395657,774929,"Species","Acanthacaris caeca","A. Milne-Edwards, 1881",293250,1,1,"Arthropoda","Decapoda","Nephropidae","Acanthacaris","Acanthacaris caeca","Malacostraca",TRUE,"LC",NA,NA,"Western Caribbean"
"5",395741,395741,395729,"Species","Acanthemblemaria paula","Johnson & Brothers, 1989",279459,2,2,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria paula","Actinopteri",TRUE,"VU",NA,NA,"Western Caribbean"
"6",395743,395743,395729,"Species","Acanthemblemaria spinosa","Metzelaar, 1919",254883,7,2,"Chordata","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria spinosa","Actinopteri",TRUE,"LC",NA,NA,"Western Caribbean"
"7",395815,395815,395814,"Species","Acanthocarpus alexandri","Stimpson, 1871",158044,3,2,"Arthropoda","Decapoda","Calappidae","Acanthocarpus","Acanthocarpus alexandri","Malacostraca",NA,NA,NA,NA,"Western Caribbean"
"8",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,28,4,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",TRUE,"LC",NA,NA,"Western Caribbean"
"9",396851,396851,396867,"Genus","Acmaea","Eschscholtz, 1833",137616,12,1,"Mollusca",NA,"Acmaeidae","Acmaea",NA,"Gastropoda",NA,NA,NA,NA,"Western Caribbean"
"10",396867,396867,779142,"Family","Acmaeidae","Forbes, 1850",114,7,1,"Mollusca",NA,"Acmaeidae",NA,NA,"Gastropoda",NA,NA,NA,NA,"Western Caribbean"
"11",398561,398561,767084,"Genus","Aequorea","Péron & Lesueur, 1810",116998,1,1,"Cnidaria","Leptothecata","Aequoreidae","Aequorea",NA,"Hydrozoa",NA,NA,NA,NA,"Western Caribbean"
"12",398768,398768,695348,"Species","Agaricia humilis","Verrill, 1901",287914,1,1,"Cnidaria","Scleractinia","Agariciidae","Agaricia","Agaricia humilis","Anthozoa",TRUE,"LC",NA,NA,"Western Caribbean"
"13",399779,399779,767767,"Family","Alpheidae","Rafinesque, 1815",106776,13,1,"Arthropoda","Decapoda","Alpheidae",NA,NA,"Malacostraca",NA,NA,NA,NA,"Western Caribbean"
"14",399784,399784,399779,"Genus","Alpheopsis","Coutière, 1897",106977,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheopsis",NA,"Malacostraca",NA,NA,NA,NA,"Western Caribbean"
"15",399798,399798,399779,"Genus","Alpheus","Fabricius, 1798",106978,4,1,"Arthropoda","Decapoda","Alpheidae","Alpheus",NA,"Malacostraca",NA,NA,NA,NA,"Western Caribbean"
"16",399991,399991,861467,"Genus","Alteutha","Baird, 1846",115427,1,1,"Arthropoda","Harpacticoida","Peltidiidae","Alteutha",NA,NA,NA,NA,NA,NA,"Western Caribbean"
"17",400043,400043,504575,"Genus","Alvania","Risso, 1826",138439,2,1,"Mollusca","Littorinimorpha","Rissoidae","Alvania",NA,"Gastropoda",NA,NA,NA,NA,"Western Caribbean"
"18",400193,400193,400174,"Species","Amakusanthura signata","(Menzies & Glynn, 1968)",255374,8,1,"Arthropoda","Isopoda","Anthuridae","Amakusanthura","Amakusanthura signata","Malacostraca",NA,NA,NA,NA,"Western Caribbean"
"19",400709,400709,400708,"Species","Ammothella appendiculata","(Dohrn, 1881)",134609,4,1,"Arthropoda","Pantopoda","Ammotheidae","Ammothella","Ammothella appendiculata","Pycnogonida",NA,NA,NA,NA,"Western Caribbean"
"20",400769,400769,450470,"Genus","Amorphinopsis","Carter, 1887",131800,1,1,"Porifera","Suberitida","Halichondriidae","Amorphinopsis",NA,"Demospongiae",NA,NA,NA,NA,"Western Caribbean"
"21",401174,401174,401171,"Species","Amphimedon viridis","Duchassaing & Michelotti, 1864",166701,2,1,"Porifera","Haplosclerida","Niphatidae","Amphimedon","Amphimedon viridis","Demospongiae",NA,NA,NA,NA,"Western Caribbean"
