"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","gisd","ecoregion"
"1",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",127014,TRUE,"LC",15,2,"Chordata","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri",NA,"Western Galapagos Islands"
"2",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",117851,NA,NA,1,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Aglaura hemistoma","Hydrozoa",NA,"Western Galapagos Islands"
"3",399290,399290,737620,"Species","Alciopa reynaudii","Audouin & H Milne Edwards, 1833",129749,NA,NA,1,1,"Annelida","Phyllodocida","Alciopidae","Alciopa","Alciopa reynaudii","Polychaeta",NA,"Western Galapagos Islands"
"4",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",106671,NA,NA,3,1,"Arthropoda","Decapoda",NA,NA,NA,"Malacostraca",NA,"Western Galapagos Islands"
"5",403754,403754,403720,"Species","Anthopleura nigrescens","(Verrill, 1928)",283368,NA,NA,2,2,"Cnidaria","Actiniaria","Actiniidae","Anthopleura","Anthopleura nigrescens","Anthozoa",NA,"Western Galapagos Islands"
"6",403981,403981,601621,"Species","Antipathes virgata","Esper, 1788",283936,NA,NA,2,2,"Cnidaria","Antipatharia","Antipathidae","Antipathes","Antipathes virgata","Anthozoa",NA,"Western Galapagos Islands"
"7",404490,404490,756411,"Genus","Aplidium","Savigny, 1816",103471,NA,NA,4,1,"Chordata","Aplousobranchia","Polyclinidae","Aplidium",NA,"Ascidiacea",NA,"Western Galapagos Islands"
"8",404781,404781,695650,"Species","Apogon guadalupensis","(Osburn & Nichols, 1916)",273016,TRUE,"LC",5,2,"Chordata","Perciformes","Apogonidae","Apogon","Apogon guadalupensis","Actinopteri",NA,"Western Galapagos Islands"
"9",405584,405584,771718,"Species","Archosargus pourtalesii","(Steindachner, 1881)",275965,TRUE,"NT",13,3,"Chordata","Perciformes","Sparidae","Archosargus","Archosargus pourtalesii","Actinopteri",NA,"Western Galapagos Islands"
"10",405617,405617,738774,"Species","Arcos poecilophthalmos","(Jenyns, 1842)",279684,NA,NA,10,3,"Chordata","Gobiesociformes","Gobiesocidae","Arcos","Arcos poecilophthalmos","Actinopteri",NA,"Western Galapagos Islands"
"11",405619,405619,738774,"Species","Arcos rhodospilus","(Günther, 1864)",279685,TRUE,"LC",1,1,"Chordata","Gobiesociformes","Gobiesocidae","Arcos","Arcos rhodospilus","Actinopteri",NA,"Western Galapagos Islands"
"12",405993,405993,767541,"Genus","Argyrotheca","Dall, 1900",104047,NA,NA,1,1,"Brachiopoda","Terebratulida","Megathyrididae","Argyrotheca",NA,"Rhynchonellata",NA,"Western Galapagos Islands"
"13",406092,406092,406086,"Species","Arietellus setosus","Giesbrecht, 1893",104352,NA,NA,1,1,"Arthropoda","Calanoida","Arietellidae","Arietellus","Arietellus setosus",NA,NA,"Western Galapagos Islands"
"14",409238,409238,739484,"Species","Balaenoptera musculus","(Linnaeus, 1758)",137090,TRUE,"EN",33,7,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus","Mammalia",NA,"Western Galapagos Islands"
"15",409257,409257,744019,"Genus","Balanophyllia","Wood, 1844",135108,NA,NA,2,2,"Cnidaria","Scleractinia","Dendrophylliidae","Balanophyllia",NA,"Anthozoa",NA,"Western Galapagos Islands"
"16",410683,410683,671919,"Genus","Bathyplotes","Östergren, 1896",123460,NA,NA,1,1,"Echinodermata","Aspidochirotida","Synallactidae","Bathyplotes",NA,"Holothuroidea",NA,"Western Galapagos Islands"
"17",410855,410855,605946,"Species","Bathyteuthis abyssicola","Hoyle, 1885",138848,TRUE,"LC",1,1,"Mollusca","Decapodiformes incertae sedis","Bathyteuthidae","Bathyteuthis","Bathyteuthis abyssicola","Cephalopoda",NA,"Western Galapagos Islands"
"18",412143,412143,696002,"Species","Bolinichthys longipes","(Brauer, 1906)",272650,NA,NA,1,1,"Chordata","Myctophiformes","Myctophidae","Bolinichthys","Bolinichthys longipes","Actinopteri",NA,"Western Galapagos Islands"
"19",412538,412538,696023,"Species","Bothus constellatus","(Jordan, 1889)",274183,NA,NA,2,2,"Chordata","Pleuronectiformes","Bothidae","Bothus","Bothus constellatus","Actinopteri",NA,"Western Galapagos Islands"
"20",414411,414411,740482,"Species","Calamopteryx jeb","Cohen, 1973",280020,TRUE,"LC",14,3,"Chordata","Ophidiiformes","Bythitidae","Calamopteryx","Calamopteryx jeb","Actinopteri",NA,"Western Galapagos Islands"
"21",416189,416189,609426,"Species","Candacia tenuimana","(Giesbrecht, 1889)",104485,NA,NA,1,1,"Arthropoda","Calanoida","Candaciidae","Candacia","Candacia tenuimana",NA,NA,"Western Galapagos Islands"
"22",416676,416676,696227,"Species","Caranx ruber","(Bloch, 1793)",302432,NA,NA,1,1,"Chordata","Perciformes","Carangidae","Caranx","Caranx ruber","Actinopteri",NA,"Western Galapagos Islands"
"23",416732,416732,696240,"Species","Carcharhinus albimarginatus","(Rüppell, 1837)",217352,TRUE,"NT",1,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus albimarginatus","Elasmobranchii",NA,"Western Galapagos Islands"
"24",416747,416747,696240,"Species","Carcharhinus galapagensis","(Snodgrass & Heller, 1905)",105790,TRUE,"NT",6,2,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus galapagensis","Elasmobranchii",NA,"Western Galapagos Islands"
"25",417267,417267,741049,"Genus","Caryophyllia","Lamarck, 1801",135085,NA,NA,4,2,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia",NA,"Anthozoa",NA,"Western Galapagos Islands"
"26",417309,417309,417267,"Species","Caryophyllia diomedeae","Marenzeller, 1904",135139,NA,NA,8,3,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia diomedeae","Anthozoa",NA,"Western Galapagos Islands"
"27",417339,417339,417267,"Species","Caryophyllia perculta","Cairns, 1991",286757,NA,NA,8,3,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia perculta","Anthozoa",NA,"Western Galapagos Islands"
"28",417357,417357,417267,"Species","Caryophyllia solida","Cairns, 1991",286767,TRUE,"DD",4,3,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia solida","Anthozoa",NA,"Western Galapagos Islands"
"29",418430,418430,418406,"Species","Cephalopholis panamensis","(Steindachner, 1877)",279152,TRUE,"LC",7,1,"Chordata","Perciformes","Serranidae","Cephalopholis","Cephalopholis panamensis","Actinopteri",NA,"Western Galapagos Islands"
"30",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,NA,NA,7,2,"Mollusca",NA,NA,NA,NA,"Cephalopoda",NA,"Western Galapagos Islands"
"31",419131,419131,767107,"Family","Cerithiidae","Fleming, 1822",128,NA,NA,1,1,"Mollusca","Caenogastropoda incertae sedis","Cerithiidae",NA,NA,"Gastropoda",NA,"Western Galapagos Islands"
"32",419205,419205,696370,"Species","Cerithium columna","Sowerby I, 1834",216708,NA,NA,1,1,"Mollusca","Caenogastropoda incertae sedis","Cerithiidae","Cerithium","Cerithium columna","Gastropoda",NA,"Western Galapagos Islands"
